event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
AAPL_EVT_20110201_000000_0,2011-01-31 00:00:00+00:00,2011-02-01 00:00:00+00:00,10.2788,1,107,AAPL
AAPL_EVT_20110524_000000_1,2011-05-23 00:00:00+00:00,2011-05-24 00:00:00+00:00,10.0966,-1,185,AAPL
AAPL_EVT_20110802_000000_2,2011-08-01 00:00:00+00:00,2011-08-02 00:00:00+00:00,11.9717,1,233,AAPL
AAPL_EVT_20120118_000000_3,2012-01-17 00:00:00+00:00,2012-01-18 00:00:00+00:00,12.847,1,349,AAPL
AAPL_EVT_20130813_000000_4,2013-08-12 00:00:00+00:00,2013-08-13 00:00:00+00:00,14.5717,1,743,AAPL
AAPL_EVT_20130826_000000_5,2013-08-23 00:00:00+00:00,2013-08-26 00:00:00+00:00,15.494,1,752,AAPL
AAPL_EVT_20131115_000000_6,2013-11-14 00:00:00+00:00,2013-11-15 00:00:00+00:00,16.3908,1,810,AAPL
AAPL_EVT_20131224_000000_7,2013-12-23 00:00:00+00:00,2013-12-24 00:00:00+00:00,17.7381,1,836,AAPL
AAPL_EVT_20140129_000000_8,2014-01-28 00:00:00+00:00,2014-01-29 00:00:00+00:00,15.6882,-1,859,AAPL
AAPL_EVT_20140416_000000_9,2014-04-15 00:00:00+00:00,2014-04-16 00:00:00+00:00,16.2194,-1,913,AAPL
AAPL_EVT_20140505_000000_10,2014-05-02 00:00:00+00:00,2014-05-05 00:00:00+00:00,18.4762,1,925,AAPL
AAPL_EVT_20141023_000000_11,2014-10-22 00:00:00+00:00,2014-10-23 00:00:00+00:00,23.0537,1,1045,AAPL
AAPL_EVT_20150302_000000_12,2015-02-27 00:00:00+00:00,2015-03-02 00:00:00+00:00,28.8653,1,1132,AAPL
AAPL_EVT_20160329_000000_13,2016-03-28 00:00:00+00:00,2016-03-29 00:00:00+00:00,23.8599,1,1403,AAPL
AAPL_EVT_20160412_000000_14,2016-04-11 00:00:00+00:00,2016-04-12 00:00:00+00:00,24.8731,1,1413,AAPL
AAPL_EVT_20160506_000000_15,2016-05-05 00:00:00+00:00,2016-05-06 00:00:00+00:00,21.3665,-1,1431,AAPL
AAPL_EVT_20160627_000000_16,2016-06-24 00:00:00+00:00,2016-06-27 00:00:00+00:00,21.2819,-1,1466,AAPL
AAPL_EVT_20160915_000000_17,2016-09-14 00:00:00+00:00,2016-09-15 00:00:00+00:00,26.2014,1,1522,AAPL
AAPL_EVT_20161005_000000_18,2016-10-04 00:00:00+00:00,2016-10-05 00:00:00+00:00,26.0931,1,1536,AAPL
AAPL_EVT_20170109_000000_19,2017-01-06 00:00:00+00:00,2017-01-09 00:00:00+00:00,27.2776,1,1601,AAPL
AAPL_EVT_20170126_000000_20,2017-01-25 00:00:00+00:00,2017-01-26 00:00:00+00:00,28.136,1,1613,AAPL
AAPL_EVT_20170329_000000_21,2017-03-28 00:00:00+00:00,2017-03-29 00:00:00+00:00,33.3719,1,1656,AAPL
AAPL_EVT_20180529_000000_22,2018-05-25 00:00:00+00:00,2018-05-29 00:00:00+00:00,44.4353,1,1949,AAPL
AAPL_EVT_20181120_000000_23,2018-11-19 00:00:00+00:00,2018-11-20 00:00:00+00:00,42.5459,-1,2072,AAPL
AAPL_EVT_20190221_000000_24,2019-02-20 00:00:00+00:00,2019-02-21 00:00:00+00:00,41.1546,1,2133,AAPL
AAPL_EVT_20190328_000000_25,2019-03-27 00:00:00+00:00,2019-03-28 00:00:00+00:00,45.2669,1,2158,AAPL
AAPL_EVT_20190416_000000_26,2019-04-15 00:00:00+00:00,2019-04-16 00:00:00+00:00,47.78,1,2171,AAPL
AAPL_EVT_20190827_000000_27,2019-08-26 00:00:00+00:00,2019-08-27 00:00:00+00:00,50.1718,1,2263,AAPL
AAPL_EVT_20190927_000000_28,2019-09-26 00:00:00+00:00,2019-09-27 00:00:00+00:00,53.2368,1,2285,AAPL
AAPL_EVT_20191104_000000_29,2019-11-01 00:00:00+00:00,2019-11-04 00:00:00+00:00,62.1132,1,2311,AAPL
AAPL_EVT_20191209_000000_30,2019-12-06 00:00:00+00:00,2019-12-09 00:00:00+00:00,65.3693,1,2335,AAPL
AAPL_EVT_20200402_000000_31,2020-04-01 00:00:00+00:00,2020-04-02 00:00:00+00:00,58.3249,-1,2414,AAPL
AAPL_EVT_20200701_000000_32,2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,88.8456,1,2476,AAPL
AAPL_EVT_20210602_000000_33,2021-06-01 00:00:00+00:00,2021-06-02 00:00:00+00:00,121.789,-1,2707,AAPL
AAPL_EVT_20211116_000000_34,2021-11-15 00:00:00+00:00,2021-11-16 00:00:00+00:00,147.363,1,2824,AAPL
AAPL_EVT_20211206_000000_35,2021-12-03 00:00:00+00:00,2021-12-06 00:00:00+00:00,161.464,1,2837,AAPL
AAPL_EVT_20220104_000000_36,2022-01-03 00:00:00+00:00,2022-01-04 00:00:00+00:00,179.49,1,2857,AAPL
AAPL_EVT_20220912_000000_37,2022-09-09 00:00:00+00:00,2022-09-12 00:00:00+00:00,157.495,1,3029,AAPL
AAPL_EVT_20230105_000000_38,2023-01-04 00:00:00+00:00,2023-01-05 00:00:00+00:00,125.669,-1,3109,AAPL
AAPL_EVT_20230428_000000_39,2023-04-27 00:00:00+00:00,2023-04-28 00:00:00+00:00,166.808,1,3187,AAPL
AAPL_EVT_20230530_000000_40,2023-05-26 00:00:00+00:00,2023-05-30 00:00:00+00:00,175.434,1,3208,AAPL
AAPL_EVT_20240403_000000_41,2024-04-02 00:00:00+00:00,2024-04-03 00:00:00+00:00,167.996,-1,3420,AAPL
AAPL_EVT_20240528_000000_42,2024-05-24 00:00:00+00:00,2024-05-28 00:00:00+00:00,190.869,1,3458,AAPL
AAPL_EVT_20240715_000000_43,2024-07-12 00:00:00+00:00,2024-07-15 00:00:00+00:00,235.688,1,3490,AAPL
AAPL_EVT_20241126_000000_44,2024-11-25 00:00:00+00:00,2024-11-26 00:00:00+00:00,233.074,1,3585,AAPL
AAPL_EVT_20250224_000000_45,2025-02-21 00:00:00+00:00,2025-02-24 00:00:00+00:00,244.925,1,3643,AAPL
AAPL_EVT_20250416_000000_46,2025-04-15 00:00:00+00:00,2025-04-16 00:00:00+00:00,198.36,-1,3680,AAPL
AAPL_EVT_20250716_000000_47,2025-07-15 00:00:00+00:00,2025-07-16 00:00:00+00:00,210.295,1,3741,AAPL
AAPL_EVT_20250825_000000_48,2025-08-22 00:00:00+00:00,2025-08-25 00:00:00+00:00,226.48,1,3769,AAPL
