event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
ABT_EVT_20110425_000000_0,2011-04-21 00:00:00+00:00,2011-04-25 00:00:00+00:00,19.4097,1,164,ABT
ABT_EVT_20110511_000000_1,2011-05-10 00:00:00+00:00,2011-05-11 00:00:00+00:00,19.9121,1,176,ABT
ABT_EVT_20110722_000000_2,2011-07-21 00:00:00+00:00,2011-07-22 00:00:00+00:00,20.1053,1,226,ABT
ABT_EVT_20110819_000000_3,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,18.4357,-1,246,ABT
ABT_EVT_20120221_000000_4,2012-02-17 00:00:00+00:00,2012-02-21 00:00:00+00:00,21.7839,1,372,ABT
ABT_EVT_20120620_000000_5,2012-06-19 00:00:00+00:00,2012-06-20 00:00:00+00:00,24.506,1,456,ABT
ABT_EVT_20121016_000000_6,2012-10-15 00:00:00+00:00,2012-10-16 00:00:00+00:00,28.5408,1,538,ABT
ABT_EVT_20130702_000000_7,2013-07-01 00:00:00+00:00,2013-07-02 00:00:00+00:00,29.1622,-1,714,ABT
ABT_EVT_20130828_000000_8,2013-08-27 00:00:00+00:00,2013-08-28 00:00:00+00:00,28.4418,-1,754,ABT
ABT_EVT_20130925_000000_9,2013-09-24 00:00:00+00:00,2013-09-25 00:00:00+00:00,28.7351,-1,773,ABT
ABT_EVT_20140106_000000_10,2014-01-03 00:00:00+00:00,2014-01-06 00:00:00+00:00,32.9513,1,843,ABT
ABT_EVT_20140110_000000_11,2014-01-09 00:00:00+00:00,2014-01-10 00:00:00+00:00,33.0197,1,847,ABT
ABT_EVT_20140425_000000_12,2014-04-24 00:00:00+00:00,2014-04-25 00:00:00+00:00,32.6531,-1,919,ABT
ABT_EVT_20140606_000000_13,2014-06-05 00:00:00+00:00,2014-06-06 00:00:00+00:00,34.084,1,948,ABT
ABT_EVT_20150218_000000_14,2015-02-17 00:00:00+00:00,2015-02-18 00:00:00+00:00,39.9799,1,1124,ABT
ABT_EVT_20150811_000000_15,2015-08-10 00:00:00+00:00,2015-08-11 00:00:00+00:00,43.7987,1,1245,ABT
ABT_EVT_20160212_000000_16,2016-02-11 00:00:00+00:00,2016-02-12 00:00:00+00:00,32.4232,-1,1373,ABT
ABT_EVT_20160808_000000_17,2016-08-05 00:00:00+00:00,2016-08-08 00:00:00+00:00,40.2979,1,1495,ABT
ABT_EVT_20170302_000000_18,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,41.2134,1,1637,ABT
ABT_EVT_20170518_000000_19,2017-05-17 00:00:00+00:00,2017-05-18 00:00:00+00:00,39.3447,-1,1691,ABT
ABT_EVT_20180608_000000_20,2018-06-07 00:00:00+00:00,2018-06-08 00:00:00+00:00,58.5938,1,1957,ABT
ABT_EVT_20180710_000000_21,2018-07-09 00:00:00+00:00,2018-07-10 00:00:00+00:00,58.1757,1,1978,ABT
ABT_EVT_20181203_000000_22,2018-11-30 00:00:00+00:00,2018-12-03 00:00:00+00:00,69.679,1,2080,ABT
ABT_EVT_20190628_000000_23,2019-06-27 00:00:00+00:00,2019-06-28 00:00:00+00:00,79.3066,1,2222,ABT
ABT_EVT_20190718_000000_24,2019-07-17 00:00:00+00:00,2019-07-18 00:00:00+00:00,81.9018,1,2235,ABT
ABT_EVT_20210115_000000_25,2021-01-14 00:00:00+00:00,2021-01-15 00:00:00+00:00,106.967,1,2613,ABT
ABT_EVT_20210208_000000_26,2021-02-05 00:00:00+00:00,2021-02-08 00:00:00+00:00,121.553,1,2628,ABT
ABT_EVT_20210609_000000_27,2021-06-08 00:00:00+00:00,2021-06-09 00:00:00+00:00,105.224,-1,2712,ABT
ABT_EVT_20210816_000000_28,2021-08-13 00:00:00+00:00,2021-08-16 00:00:00+00:00,121.177,1,2759,ABT
ABT_EVT_20210915_000000_29,2021-09-14 00:00:00+00:00,2021-09-15 00:00:00+00:00,124.308,1,2780,ABT
ABT_EVT_20211004_000000_30,2021-10-01 00:00:00+00:00,2021-10-04 00:00:00+00:00,114.241,-1,2793,ABT
ABT_EVT_20211223_000000_31,2021-12-22 00:00:00+00:00,2021-12-23 00:00:00+00:00,137.349,1,2850,ABT
ABT_EVT_20220520_000000_32,2022-05-19 00:00:00+00:00,2022-05-20 00:00:00+00:00,112.368,-1,2952,ABT
ABT_EVT_20230501_000000_33,2023-04-28 00:00:00+00:00,2023-05-01 00:00:00+00:00,110.46,1,3188,ABT
ABT_EVT_20240305_000000_34,2024-03-04 00:00:00+00:00,2024-03-05 00:00:00+00:00,120.44,1,3400,ABT
ABT_EVT_20240415_000000_35,2024-04-12 00:00:00+00:00,2024-04-15 00:00:00+00:00,110.09,-1,3428,ABT
ABT_EVT_20241127_000000_36,2024-11-26 00:00:00+00:00,2024-11-27 00:00:00+00:00,118.35,1,3586,ABT
ABT_EVT_20250310_000000_37,2025-03-07 00:00:00+00:00,2025-03-10 00:00:00+00:00,136.43,1,3653,ABT
