event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
ADBE_EVT_20110418_000000_0,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,33.98,1,160,ADBE
ADBE_EVT_20110519_000000_1,2011-05-18 00:00:00+00:00,2011-05-19 00:00:00+00:00,35.0,1,182,ADBE
ADBE_EVT_20110613_000000_2,2011-06-10 00:00:00+00:00,2011-06-13 00:00:00+00:00,31.67,-1,198,ADBE
ADBE_EVT_20110616_000000_3,2011-06-15 00:00:00+00:00,2011-06-16 00:00:00+00:00,31.11,-1,201,ADBE
ADBE_EVT_20110711_000000_4,2011-07-08 00:00:00+00:00,2011-07-11 00:00:00+00:00,31.18,-1,217,ADBE
ADBE_EVT_20110819_000000_5,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,23.06,-1,246,ADBE
ADBE_EVT_20120106_000000_6,2012-01-05 00:00:00+00:00,2012-01-06 00:00:00+00:00,28.37,1,342,ADBE
ADBE_EVT_20120322_000000_7,2012-03-21 00:00:00+00:00,2012-03-22 00:00:00+00:00,33.31,1,394,ADBE
ADBE_EVT_20120921_000000_8,2012-09-20 00:00:00+00:00,2012-09-21 00:00:00+00:00,34.36,1,521,ADBE
ADBE_EVT_20130321_000000_9,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00,41.99,1,643,ADBE
ADBE_EVT_20130718_000000_10,2013-07-17 00:00:00+00:00,2013-07-18 00:00:00+00:00,48.04,1,725,ADBE
ADBE_EVT_20150814_000000_11,2015-08-13 00:00:00+00:00,2015-08-14 00:00:00+00:00,83.96,1,1248,ADBE
ADBE_EVT_20151223_000000_12,2015-12-22 00:00:00+00:00,2015-12-23 00:00:00+00:00,94.42,1,1339,ADBE
ADBE_EVT_20160819_000000_13,2016-08-18 00:00:00+00:00,2016-08-19 00:00:00+00:00,100.31,1,1504,ADBE
ADBE_EVT_20161202_000000_14,2016-12-01 00:00:00+00:00,2016-12-02 00:00:00+00:00,99.52,-1,1577,ADBE
ADBE_EVT_20170201_000000_15,2017-01-31 00:00:00+00:00,2017-02-01 00:00:00+00:00,113.31,1,1617,ADBE
ADBE_EVT_20170313_000000_16,2017-03-10 00:00:00+00:00,2017-03-13 00:00:00+00:00,121.265,1,1644,ADBE
ADBE_EVT_20170413_000000_17,2017-04-12 00:00:00+00:00,2017-04-13 00:00:00+00:00,129.63,1,1667,ADBE
ADBE_EVT_20170522_000000_18,2017-05-19 00:00:00+00:00,2017-05-22 00:00:00+00:00,137.38,1,1693,ADBE
ADBE_EVT_20170816_000000_19,2017-08-15 00:00:00+00:00,2017-08-16 00:00:00+00:00,150.7,1,1753,ADBE
ADBE_EVT_20170831_000000_20,2017-08-30 00:00:00+00:00,2017-08-31 00:00:00+00:00,154.36,1,1764,ADBE
ADBE_EVT_20170919_000000_21,2017-09-18 00:00:00+00:00,2017-09-19 00:00:00+00:00,156.3,1,1776,ADBE
ADBE_EVT_20171027_000000_22,2017-10-26 00:00:00+00:00,2017-10-27 00:00:00+00:00,174.22,1,1804,ADBE
ADBE_EVT_20171113_000000_23,2017-11-10 00:00:00+00:00,2017-11-13 00:00:00+00:00,180.5,1,1815,ADBE
ADBE_EVT_20180201_000000_24,2018-01-31 00:00:00+00:00,2018-02-01 00:00:00+00:00,199.12,1,1869,ADBE
ADBE_EVT_20180216_000000_25,2018-02-15 00:00:00+00:00,2018-02-16 00:00:00+00:00,202.52,1,1880,ADBE
ADBE_EVT_20190103_000000_26,2019-01-02 00:00:00+00:00,2019-01-03 00:00:00+00:00,220.88,-1,2100,ADBE
ADBE_EVT_20190709_000000_27,2019-07-08 00:00:00+00:00,2019-07-09 00:00:00+00:00,300.56,1,2228,ADBE
ADBE_EVT_20200108_000000_28,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,333.81,1,2355,ADBE
ADBE_EVT_20200403_000000_29,2020-04-02 00:00:00+00:00,2020-04-03 00:00:00+00:00,302.06,-1,2415,ADBE
ADBE_EVT_20200518_000000_30,2020-05-15 00:00:00+00:00,2020-05-18 00:00:00+00:00,371.59,1,2445,ADBE
ADBE_EVT_20201124_000000_31,2020-11-23 00:00:00+00:00,2020-11-24 00:00:00+00:00,461.41,-1,2578,ADBE
ADBE_EVT_20210426_000000_32,2021-04-23 00:00:00+00:00,2021-04-26 00:00:00+00:00,513.57,1,2681,ADBE
ADBE_EVT_20210611_000000_33,2021-06-10 00:00:00+00:00,2021-06-11 00:00:00+00:00,529.75,1,2714,ADBE
ADBE_EVT_20210618_000000_34,2021-06-17 00:00:00+00:00,2021-06-18 00:00:00+00:00,569.9612,1,2719,ADBE
ADBE_EVT_20211011_000000_35,2021-10-08 00:00:00+00:00,2021-10-11 00:00:00+00:00,574.5,-1,2798,ADBE
ADBE_EVT_20220324_000000_36,2022-03-23 00:00:00+00:00,2022-03-24 00:00:00+00:00,426.08,-1,2912,ADBE
ADBE_EVT_20220506_000000_37,2022-05-05 00:00:00+00:00,2022-05-06 00:00:00+00:00,395.0,-1,2942,ADBE
ADBE_EVT_20230209_000000_38,2023-02-08 00:00:00+00:00,2023-02-09 00:00:00+00:00,384.97,1,3133,ADBE
ADBE_EVT_20230526_000000_39,2023-05-25 00:00:00+00:00,2023-05-26 00:00:00+00:00,396.72,1,3207,ADBE
ADBE_EVT_20231019_000000_40,2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,560.0,1,3307,ADBE
ADBE_EVT_20240126_000000_41,2024-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,620.7,1,3374,ADBE
ADBE_EVT_20240306_000000_42,2024-03-05 00:00:00+00:00,2024-03-06 00:00:00+00:00,548.0,-1,3401,ADBE
ADBE_EVT_20240318_000000_43,2024-03-15 00:00:00+00:00,2024-03-18 00:00:00+00:00,495.55,-1,3409,ADBE
ADBE_EVT_20240628_000000_44,2024-06-27 00:00:00+00:00,2024-06-28 00:00:00+00:00,549.7,1,3480,ADBE
ADBE_EVT_20240716_000000_45,2024-07-15 00:00:00+00:00,2024-07-16 00:00:00+00:00,564.6,1,3491,ADBE
ADBE_EVT_20240910_000000_46,2024-09-09 00:00:00+00:00,2024-09-10 00:00:00+00:00,576.75,1,3530,ADBE
ADBE_EVT_20241017_000000_47,2024-10-16 00:00:00+00:00,2024-10-17 00:00:00+00:00,506.51,-1,3557,ADBE
ADBE_EVT_20250106_000000_48,2025-01-03 00:00:00+00:00,2025-01-06 00:00:00+00:00,431.88,-1,3611,ADBE
ADBE_EVT_20250401_000000_49,2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,381.13,-1,3669,ADBE
ADBE_EVT_20250606_000000_50,2025-06-05 00:00:00+00:00,2025-06-06 00:00:00+00:00,417.54,1,3715,ADBE
