event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
ADI_EVT_20101025_000000_0,2010-10-22 00:00:00+00:00,2010-10-25 00:00:00+00:00,24.0891,1,39,ADI
ADI_EVT_20101123_000000_1,2010-11-22 00:00:00+00:00,2010-11-23 00:00:00+00:00,26.6127,1,60,ADI
ADI_EVT_20110218_000000_2,2011-02-17 00:00:00+00:00,2011-02-18 00:00:00+00:00,31.1039,1,120,ADI
ADI_EVT_20110519_000000_3,2011-05-18 00:00:00+00:00,2011-05-19 00:00:00+00:00,32.1534,1,182,ADI
ADI_EVT_20110819_000000_4,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,23.1315,-1,246,ADI
ADI_EVT_20120402_000000_5,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,31.3397,1,401,ADI
ADI_EVT_20120604_000000_6,2012-06-01 00:00:00+00:00,2012-06-04 00:00:00+00:00,28.0587,-1,444,ADI
ADI_EVT_20130724_000000_7,2013-07-23 00:00:00+00:00,2013-07-24 00:00:00+00:00,39.2846,1,729,ADI
ADI_EVT_20130813_000000_8,2013-08-12 00:00:00+00:00,2013-08-13 00:00:00+00:00,39.8251,1,743,ADI
ADI_EVT_20140307_000000_9,2014-03-06 00:00:00+00:00,2014-03-07 00:00:00+00:00,42.621,1,885,ADI
ADI_EVT_20140630_000000_10,2014-06-27 00:00:00+00:00,2014-06-30 00:00:00+00:00,44.5047,1,964,ADI
ADI_EVT_20141222_000000_11,2014-12-19 00:00:00+00:00,2014-12-22 00:00:00+00:00,47.8518,1,1086,ADI
ADI_EVT_20150226_000000_12,2015-02-25 00:00:00+00:00,2015-02-26 00:00:00+00:00,50.0215,1,1130,ADI
ADI_EVT_20150422_000000_13,2015-04-21 00:00:00+00:00,2015-04-22 00:00:00+00:00,54.8312,1,1168,ADI
ADI_EVT_20160707_000000_14,2016-07-06 00:00:00+00:00,2016-07-07 00:00:00+00:00,48.7147,-1,1473,ADI
ADI_EVT_20170922_000000_15,2017-09-21 00:00:00+00:00,2017-09-22 00:00:00+00:00,75.726,1,1779,ADI
ADI_EVT_20171107_000000_16,2017-11-06 00:00:00+00:00,2017-11-07 00:00:00+00:00,83.1965,1,1811,ADI
ADI_EVT_20180112_000000_17,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,82.7142,1,1856,ADI
ADI_EVT_20180601_000000_18,2018-05-31 00:00:00+00:00,2018-06-01 00:00:00+00:00,89.1887,1,1952,ADI
ADI_EVT_20180621_000000_19,2018-06-20 00:00:00+00:00,2018-06-21 00:00:00+00:00,92.963,1,1966,ADI
ADI_EVT_20181004_000000_20,2018-10-03 00:00:00+00:00,2018-10-04 00:00:00+00:00,84.0121,-1,2039,ADI
ADI_EVT_20190125_000000_21,2019-01-24 00:00:00+00:00,2019-01-25 00:00:00+00:00,88.7824,1,2115,ADI
ADI_EVT_20190501_000000_22,2019-04-30 00:00:00+00:00,2019-05-01 00:00:00+00:00,108.582,1,2181,ADI
ADI_EVT_20190524_000000_23,2019-05-23 00:00:00+00:00,2019-05-24 00:00:00+00:00,92.7499,-1,2198,ADI
ADI_EVT_20190919_000000_24,2019-09-18 00:00:00+00:00,2019-09-19 00:00:00+00:00,109.301,1,2279,ADI
ADI_EVT_20200305_000000_25,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,103.68,-1,2394,ADI
ADI_EVT_20200521_000000_26,2020-05-20 00:00:00+00:00,2020-05-21 00:00:00+00:00,107.862,1,2448,ADI
ADI_EVT_20200731_000000_27,2020-07-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,111.431,-1,2497,ADI
ADI_EVT_20201019_000000_28,2020-10-16 00:00:00+00:00,2020-10-19 00:00:00+00:00,119.765,1,2552,ADI
ADI_EVT_20201105_000000_29,2020-11-04 00:00:00+00:00,2020-11-05 00:00:00+00:00,122.487,1,2565,ADI
ADI_EVT_20210216_000000_30,2021-02-12 00:00:00+00:00,2021-02-16 00:00:00+00:00,157.211,1,2633,ADI
ADI_EVT_20210518_000000_31,2021-05-17 00:00:00+00:00,2021-05-18 00:00:00+00:00,145.032,-1,2697,ADI
ADI_EVT_20210625_000000_32,2021-06-24 00:00:00+00:00,2021-06-25 00:00:00+00:00,163.09,1,2724,ADI
ADI_EVT_20210923_000000_33,2021-09-22 00:00:00+00:00,2021-09-23 00:00:00+00:00,170.604,1,2786,ADI
ADI_EVT_20211112_000000_34,2021-11-11 00:00:00+00:00,2021-11-12 00:00:00+00:00,179.47,1,2822,ADI
ADI_EVT_20220705_000000_35,2022-07-01 00:00:00+00:00,2022-07-05 00:00:00+00:00,138.613,-1,2981,ADI
ADI_EVT_20220811_000000_36,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,174.539,1,3008,ADI
ADI_EVT_20230306_000000_37,2023-03-03 00:00:00+00:00,2023-03-06 00:00:00+00:00,187.32,1,3149,ADI
ADI_EVT_20230724_000000_38,2023-07-21 00:00:00+00:00,2023-07-24 00:00:00+00:00,191.44,1,3245,ADI
ADI_EVT_20231124_000000_39,2023-11-22 00:00:00+00:00,2023-11-24 00:00:00+00:00,182.8,1,3332,ADI
ADI_EVT_20231208_000000_40,2023-12-07 00:00:00+00:00,2023-12-08 00:00:00+00:00,184.25,1,3342,ADI
ADI_EVT_20240613_000000_41,2024-06-12 00:00:00+00:00,2024-06-13 00:00:00+00:00,232.55,1,3470,ADI
ADI_EVT_20250610_000000_42,2025-06-09 00:00:00+00:00,2025-06-10 00:00:00+00:00,228.27,1,3717,ADI
ADI_EVT_20250625_000000_43,2025-06-24 00:00:00+00:00,2025-06-25 00:00:00+00:00,235.6,1,3727,ADI
