event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
ADP_EVT_20110819_000000_0,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,30.7698,-1,246,ADP
ADP_EVT_20120118_000000_1,2012-01-17 00:00:00+00:00,2012-01-18 00:00:00+00:00,38.047,1,349,ADP
ADP_EVT_20120327_000000_2,2012-03-26 00:00:00+00:00,2012-03-27 00:00:00+00:00,38.3045,1,397,ADP
ADP_EVT_20120402_000000_3,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,37.8636,1,401,ADP
ADP_EVT_20120529_000000_4,2012-05-25 00:00:00+00:00,2012-05-29 00:00:00+00:00,36.5155,-1,440,ADP
ADP_EVT_20121129_000000_5,2012-11-28 00:00:00+00:00,2012-11-29 00:00:00+00:00,39.0273,-1,567,ADP
ADP_EVT_20130226_000000_6,2013-02-25 00:00:00+00:00,2013-02-26 00:00:00+00:00,42.9248,1,626,ADP
ADP_EVT_20130510_000000_7,2013-05-09 00:00:00+00:00,2013-05-10 00:00:00+00:00,49.5907,1,678,ADP
ADP_EVT_20130723_000000_8,2013-07-22 00:00:00+00:00,2013-07-23 00:00:00+00:00,52.079,1,728,ADP
ADP_EVT_20131101_000000_9,2013-10-31 00:00:00+00:00,2013-11-01 00:00:00+00:00,53.9488,1,800,ADP
ADP_EVT_20131209_000000_10,2013-12-06 00:00:00+00:00,2013-12-09 00:00:00+00:00,57.0622,1,825,ADP
ADP_EVT_20140721_000000_11,2014-07-18 00:00:00+00:00,2014-07-21 00:00:00+00:00,58.7743,1,978,ADP
ADP_EVT_20161208_000000_12,2016-12-07 00:00:00+00:00,2016-12-08 00:00:00+00:00,86.0805,1,1581,ADP
ADP_EVT_20170313_000000_13,2017-03-10 00:00:00+00:00,2017-03-13 00:00:00+00:00,92.8607,1,1644,ADP
ADP_EVT_20170317_000000_14,2017-03-16 00:00:00+00:00,2017-03-17 00:00:00+00:00,92.5619,1,1648,ADP
ADP_EVT_20170510_000000_15,2017-05-09 00:00:00+00:00,2017-05-10 00:00:00+00:00,86.0558,-1,1685,ADP
ADP_EVT_20170518_000000_16,2017-05-17 00:00:00+00:00,2017-05-18 00:00:00+00:00,86.2146,-1,1691,ADP
ADP_EVT_20170814_000000_17,2017-08-11 00:00:00+00:00,2017-08-14 00:00:00+00:00,97.5896,1,1751,ADP
ADP_EVT_20171002_000000_18,2017-09-29 00:00:00+00:00,2017-10-02 00:00:00+00:00,97.985,1,1785,ADP
ADP_EVT_20180326_000000_19,2018-03-23 00:00:00+00:00,2018-03-26 00:00:00+00:00,100.633,-1,1905,ADP
ADP_EVT_20180921_000000_20,2018-09-20 00:00:00+00:00,2018-09-21 00:00:00+00:00,137.094,1,2030,ADP
ADP_EVT_20190102_000000_21,2018-12-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,118.996,-1,2099,ADP
ADP_EVT_20200402_000000_22,2020-04-01 00:00:00+00:00,2020-04-02 00:00:00+00:00,120.831,-1,2414,ADP
ADP_EVT_20201029_000000_23,2020-10-28 00:00:00+00:00,2020-10-29 00:00:00+00:00,148.149,1,2560,ADP
ADP_EVT_20210122_000000_24,2021-01-21 00:00:00+00:00,2021-01-22 00:00:00+00:00,155.2,-1,2617,ADP
ADP_EVT_20210607_000000_25,2021-06-04 00:00:00+00:00,2021-06-07 00:00:00+00:00,191.7,1,2710,ADP
ADP_EVT_20210823_000000_26,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,206.375,1,2764,ADP
ADP_EVT_20210929_000000_27,2021-09-28 00:00:00+00:00,2021-09-29 00:00:00+00:00,193.446,-1,2790,ADP
ADP_EVT_20220614_000000_28,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,203.649,-1,2968,ADP
ADP_EVT_20220923_000000_29,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,229.13,-1,3038,ADP
ADP_EVT_20221122_000000_30,2022-11-21 00:00:00+00:00,2022-11-22 00:00:00+00:00,258.577,1,3080,ADP
ADP_EVT_20221213_000000_31,2022-12-12 00:00:00+00:00,2022-12-13 00:00:00+00:00,273.89,1,3094,ADP
ADP_EVT_20230206_000000_32,2023-02-03 00:00:00+00:00,2023-02-06 00:00:00+00:00,223.63,-1,3130,ADP
ADP_EVT_20230426_000000_33,2023-04-25 00:00:00+00:00,2023-04-26 00:00:00+00:00,203.13,-1,3185,ADP
ADP_EVT_20230829_000000_34,2023-08-28 00:00:00+00:00,2023-08-29 00:00:00+00:00,253.88,1,3271,ADP
ADP_EVT_20231120_000000_35,2023-11-17 00:00:00+00:00,2023-11-20 00:00:00+00:00,228.64,-1,3329,ADP
ADP_EVT_20240215_000000_36,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,251.6,1,3388,ADP
ADP_EVT_20240910_000000_37,2024-09-09 00:00:00+00:00,2024-09-10 00:00:00+00:00,277.05,1,3530,ADP
ADP_EVT_20241009_000000_38,2024-10-08 00:00:00+00:00,2024-10-09 00:00:00+00:00,285.83,1,3551,ADP
ADP_EVT_20241031_000000_39,2024-10-30 00:00:00+00:00,2024-10-31 00:00:00+00:00,291.51,1,3567,ADP
ADP_EVT_20250214_000000_40,2025-02-13 00:00:00+00:00,2025-02-14 00:00:00+00:00,310.0,1,3638,ADP
ADP_EVT_20250604_000000_41,2025-06-03 00:00:00+00:00,2025-06-04 00:00:00+00:00,325.72,1,3713,ADP
