event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
AMD_EVT_20110104_000000_0,2011-01-03 00:00:00+00:00,2011-01-04 00:00:00+00:00,8.56,1,88,AMD
AMD_EVT_20110303_000000_1,2011-03-02 00:00:00+00:00,2011-03-03 00:00:00+00:00,9.31,1,128,AMD
AMD_EVT_20110405_000000_2,2011-04-04 00:00:00+00:00,2011-04-05 00:00:00+00:00,8.23,-1,151,AMD
AMD_EVT_20110512_000000_3,2011-05-11 00:00:00+00:00,2011-05-12 00:00:00+00:00,8.78,1,177,AMD
AMD_EVT_20110616_000000_4,2011-06-15 00:00:00+00:00,2011-06-16 00:00:00+00:00,7.65,-1,201,AMD
AMD_EVT_20111014_000000_5,2011-10-13 00:00:00+00:00,2011-10-14 00:00:00+00:00,5.05,-1,285,AMD
AMD_EVT_20120403_000000_6,2012-04-02 00:00:00+00:00,2012-04-03 00:00:00+00:00,8.09,1,402,AMD
AMD_EVT_20121106_000000_7,2012-11-05 00:00:00+00:00,2012-11-06 00:00:00+00:00,2.12,-1,551,AMD
AMD_EVT_20130115_000000_8,2013-01-14 00:00:00+00:00,2013-01-15 00:00:00+00:00,2.62,1,598,AMD
AMD_EVT_20130820_000000_9,2013-08-19 00:00:00+00:00,2013-08-20 00:00:00+00:00,3.62,-1,748,AMD
AMD_EVT_20131218_000000_10,2013-12-17 00:00:00+00:00,2013-12-18 00:00:00+00:00,3.64,1,832,AMD
AMD_EVT_20150303_000000_11,2015-03-02 00:00:00+00:00,2015-03-03 00:00:00+00:00,3.21,1,1133,AMD
AMD_EVT_20160203_000000_12,2016-02-02 00:00:00+00:00,2016-02-03 00:00:00+00:00,2.04,-1,1366,AMD
AMD_EVT_20160725_000000_13,2016-07-22 00:00:00+00:00,2016-07-25 00:00:00+00:00,5.93,1,1485,AMD
AMD_EVT_20160819_000000_14,2016-08-18 00:00:00+00:00,2016-08-19 00:00:00+00:00,7.24,1,1504,AMD
AMD_EVT_20161207_000000_15,2016-12-06 00:00:00+00:00,2016-12-07 00:00:00+00:00,9.65,1,1580,AMD
AMD_EVT_20170103_000000_16,2016-12-30 00:00:00+00:00,2017-01-03 00:00:00+00:00,11.42,1,1597,AMD
AMD_EVT_20170727_000000_17,2017-07-26 00:00:00+00:00,2017-07-27 00:00:00+00:00,14.99,1,1739,AMD
AMD_EVT_20171023_000000_18,2017-10-20 00:00:00+00:00,2017-10-23 00:00:00+00:00,13.94,1,1800,AMD
AMD_EVT_20171109_000000_19,2017-11-08 00:00:00+00:00,2017-11-09 00:00:00+00:00,11.25,-1,1813,AMD
AMD_EVT_20171204_000000_20,2017-12-01 00:00:00+00:00,2017-12-04 00:00:00+00:00,10.85,-1,1829,AMD
AMD_EVT_20180129_000000_21,2018-01-26 00:00:00+00:00,2018-01-29 00:00:00+00:00,13.13,1,1866,AMD
AMD_EVT_20180420_000000_22,2018-04-19 00:00:00+00:00,2018-04-20 00:00:00+00:00,10.05,-1,1923,AMD
AMD_EVT_20180911_000000_23,2018-09-10 00:00:00+00:00,2018-09-11 00:00:00+00:00,30.02,1,2022,AMD
AMD_EVT_20190226_000000_24,2019-02-25 00:00:00+00:00,2019-02-26 00:00:00+00:00,24.65,1,2136,AMD
AMD_EVT_20190911_000000_25,2019-09-10 00:00:00+00:00,2019-09-11 00:00:00+00:00,30.38,-1,2273,AMD
AMD_EVT_20191025_000000_26,2019-10-24 00:00:00+00:00,2019-10-25 00:00:00+00:00,31.9,1,2305,AMD
AMD_EVT_20191101_000000_27,2019-10-31 00:00:00+00:00,2019-11-01 00:00:00+00:00,34.37,1,2310,AMD
AMD_EVT_20191113_000000_28,2019-11-12 00:00:00+00:00,2019-11-13 00:00:00+00:00,36.65,1,2318,AMD
AMD_EVT_20200611_000000_29,2020-06-10 00:00:00+00:00,2020-06-11 00:00:00+00:00,55.94,1,2462,AMD
AMD_EVT_20200825_000000_30,2020-08-24 00:00:00+00:00,2020-08-25 00:00:00+00:00,83.36,1,2514,AMD
AMD_EVT_20211126_000000_31,2021-11-24 00:00:00+00:00,2021-11-26 00:00:00+00:00,155.8,1,2831,AMD
AMD_EVT_20220128_000000_32,2022-01-27 00:00:00+00:00,2022-01-28 00:00:00+00:00,101.55,-1,2874,AMD
AMD_EVT_20220712_000000_33,2022-07-11 00:00:00+00:00,2022-07-12 00:00:00+00:00,76.98,-1,2986,AMD
AMD_EVT_20220923_000000_34,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,68.0,-1,3038,AMD
AMD_EVT_20230202_000000_35,2023-02-01 00:00:00+00:00,2023-02-02 00:00:00+00:00,84.29,1,3128,AMD
AMD_EVT_20230209_000000_36,2023-02-08 00:00:00+00:00,2023-02-09 00:00:00+00:00,85.88,1,3133,AMD
AMD_EVT_20230316_000000_37,2023-03-15 00:00:00+00:00,2023-03-16 00:00:00+00:00,89.72,1,3157,AMD
AMD_EVT_20230330_000000_38,2023-03-29 00:00:00+00:00,2023-03-30 00:00:00+00:00,98.0,1,3167,AMD
AMD_EVT_20230511_000000_39,2023-05-10 00:00:00+00:00,2023-05-11 00:00:00+00:00,98.155,1,3196,AMD
AMD_EVT_20230607_000000_40,2023-06-06 00:00:00+00:00,2023-06-07 00:00:00+00:00,124.025,1,3214,AMD
AMD_EVT_20230828_000000_41,2023-08-25 00:00:00+00:00,2023-08-28 00:00:00+00:00,103.47,-1,3270,AMD
AMD_EVT_20231207_000000_42,2023-12-06 00:00:00+00:00,2023-12-07 00:00:00+00:00,120.785,1,3341,AMD
AMD_EVT_20240108_000000_43,2024-01-05 00:00:00+00:00,2024-01-08 00:00:00+00:00,140.36,1,3361,AMD
AMD_EVT_20240607_000000_44,2024-06-06 00:00:00+00:00,2024-06-07 00:00:00+00:00,166.59,1,3466,AMD
AMD_EVT_20240802_000000_45,2024-08-01 00:00:00+00:00,2024-08-02 00:00:00+00:00,133.5,-1,3504,AMD
AMD_EVT_20241129_000000_46,2024-11-27 00:00:00+00:00,2024-11-29 00:00:00+00:00,136.24,-1,3587,AMD
AMD_EVT_20250314_000000_47,2025-03-13 00:00:00+00:00,2025-03-14 00:00:00+00:00,99.64,-1,3657,AMD
AMD_EVT_20250724_000000_48,2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,159.12,1,3747,AMD
