event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
AMGN_EVT_20110125_000000_0,2011-01-24 00:00:00+00:00,2011-01-25 00:00:00+00:00,42.6538,1,102,AMGN
AMGN_EVT_20110601_000000_1,2011-05-31 00:00:00+00:00,2011-06-01 00:00:00+00:00,45.1695,1,190,AMGN
AMGN_EVT_20110803_000000_2,2011-08-02 00:00:00+00:00,2011-08-03 00:00:00+00:00,39.9906,-1,234,AMGN
AMGN_EVT_20111212_000000_3,2011-12-09 00:00:00+00:00,2011-12-12 00:00:00+00:00,44.1419,1,325,AMGN
AMGN_EVT_20120619_000000_4,2012-06-18 00:00:00+00:00,2012-06-19 00:00:00+00:00,55.1223,1,455,AMGN
AMGN_EVT_20120716_000000_5,2012-07-13 00:00:00+00:00,2012-07-16 00:00:00+00:00,58.5961,1,473,AMGN
AMGN_EVT_20121025_000000_6,2012-10-24 00:00:00+00:00,2012-10-25 00:00:00+00:00,67.6916,1,545,AMGN
AMGN_EVT_20130125_000000_7,2013-01-24 00:00:00+00:00,2013-01-25 00:00:00+00:00,63.8678,-1,605,AMGN
AMGN_EVT_20130315_000000_8,2013-03-14 00:00:00+00:00,2013-03-15 00:00:00+00:00,71.2836,1,639,AMGN
AMGN_EVT_20130422_000000_9,2013-04-19 00:00:00+00:00,2013-04-22 00:00:00+00:00,86.9443,1,664,AMGN
AMGN_EVT_20131002_000000_10,2013-10-01 00:00:00+00:00,2013-10-02 00:00:00+00:00,89.147,1,778,AMGN
AMGN_EVT_20131216_000000_11,2013-12-13 00:00:00+00:00,2013-12-16 00:00:00+00:00,88.6572,-1,830,AMGN
AMGN_EVT_20140110_000000_12,2014-01-09 00:00:00+00:00,2014-01-10 00:00:00+00:00,93.5858,1,847,AMGN
AMGN_EVT_20140131_000000_13,2014-01-30 00:00:00+00:00,2014-01-31 00:00:00+00:00,93.2083,1,861,AMGN
AMGN_EVT_20141119_000000_14,2014-11-18 00:00:00+00:00,2014-11-19 00:00:00+00:00,129.261,1,1064,AMGN
AMGN_EVT_20150202_000000_15,2015-01-30 00:00:00+00:00,2015-02-02 00:00:00+00:00,122.965,-1,1113,AMGN
AMGN_EVT_20150330_000000_16,2015-03-27 00:00:00+00:00,2015-03-30 00:00:00+00:00,132.565,1,1152,AMGN
AMGN_EVT_20150814_000000_17,2015-08-13 00:00:00+00:00,2015-08-14 00:00:00+00:00,136.74,1,1248,AMGN
AMGN_EVT_20150923_000000_18,2015-09-22 00:00:00+00:00,2015-09-23 00:00:00+00:00,118.829,-1,1275,AMGN
AMGN_EVT_20161012_000000_19,2016-10-11 00:00:00+00:00,2016-10-12 00:00:00+00:00,136.956,-1,1541,AMGN
AMGN_EVT_20170213_000000_20,2017-02-10 00:00:00+00:00,2017-02-13 00:00:00+00:00,141.746,1,1625,AMGN
AMGN_EVT_20170531_000000_21,2017-05-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,130.776,-1,1699,AMGN
AMGN_EVT_20171120_000000_22,2017-11-17 00:00:00+00:00,2017-11-20 00:00:00+00:00,146.565,-1,1820,AMGN
AMGN_EVT_20180129_000000_23,2018-01-26 00:00:00+00:00,2018-01-29 00:00:00+00:00,169.278,1,1866,AMGN
AMGN_EVT_20190520_000000_24,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,152.236,-1,2194,AMGN
AMGN_EVT_20191107_000000_25,2019-11-06 00:00:00+00:00,2019-11-07 00:00:00+00:00,197.172,1,2314,AMGN
AMGN_EVT_20191118_000000_26,2019-11-15 00:00:00+00:00,2019-11-18 00:00:00+00:00,202.275,1,2321,AMGN
AMGN_EVT_20200716_000000_27,2020-07-15 00:00:00+00:00,2020-07-16 00:00:00+00:00,233.835,1,2486,AMGN
AMGN_EVT_20210805_000000_28,2021-08-04 00:00:00+00:00,2021-08-05 00:00:00+00:00,218.221,-1,2752,AMGN
AMGN_EVT_20210908_000000_29,2021-09-07 00:00:00+00:00,2021-09-08 00:00:00+00:00,212.766,-1,2775,AMGN
AMGN_EVT_20211001_000000_30,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,205.325,-1,2792,AMGN
AMGN_EVT_20211130_000000_31,2021-11-29 00:00:00+00:00,2021-11-30 00:00:00+00:00,196.526,-1,2833,AMGN
AMGN_EVT_20211201_000000_32,2021-11-30 00:00:00+00:00,2021-12-01 00:00:00+00:00,194.307,-1,2834,AMGN
AMGN_EVT_20221024_000000_33,2022-10-21 00:00:00+00:00,2022-10-24 00:00:00+00:00,253.206,1,3059,AMGN
AMGN_EVT_20221108_000000_34,2022-11-07 00:00:00+00:00,2022-11-08 00:00:00+00:00,280.632,1,3070,AMGN
AMGN_EVT_20230728_000000_35,2023-07-27 00:00:00+00:00,2023-07-28 00:00:00+00:00,236.82,1,3249,AMGN
AMGN_EVT_20230919_000000_36,2023-09-18 00:00:00+00:00,2023-09-19 00:00:00+00:00,263.14,1,3285,AMGN
AMGN_EVT_20240521_000000_37,2024-05-20 00:00:00+00:00,2024-05-21 00:00:00+00:00,314.11,1,3454,AMGN
AMGN_EVT_20241203_000000_38,2024-12-02 00:00:00+00:00,2024-12-03 00:00:00+00:00,277.0,-1,3589,AMGN
AMGN_EVT_20250717_000000_39,2025-07-16 00:00:00+00:00,2025-07-17 00:00:00+00:00,297.59,1,3742,AMGN
