event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
AMZN_EVT_20110307_000000_0,2011-03-04 00:00:00+00:00,2011-03-07 00:00:00+00:00,8.5925,-1,130,AMZN
AMZN_EVT_20110318_000000_1,2011-03-17 00:00:00+00:00,2011-03-18 00:00:00+00:00,8.063,-1,139,AMZN
AMZN_EVT_20110617_000000_2,2011-06-16 00:00:00+00:00,2011-06-17 00:00:00+00:00,9.3255,-1,202,AMZN
AMZN_EVT_20110720_000000_3,2011-07-19 00:00:00+00:00,2011-07-20 00:00:00+00:00,11.0015,1,224,AMZN
AMZN_EVT_20111223_000000_4,2011-12-22 00:00:00+00:00,2011-12-23 00:00:00+00:00,8.961,-1,334,AMZN
AMZN_EVT_20121101_000000_5,2012-10-31 00:00:00+00:00,2012-11-01 00:00:00+00:00,11.7115,-1,548,AMZN
AMZN_EVT_20121219_000000_6,2012-12-18 00:00:00+00:00,2012-12-19 00:00:00+00:00,13.065,1,581,AMZN
AMZN_EVT_20130125_000000_7,2013-01-24 00:00:00+00:00,2013-01-25 00:00:00+00:00,13.75,1,605,AMZN
AMZN_EVT_20130722_000000_8,2013-07-19 00:00:00+00:00,2013-07-22 00:00:00+00:00,15.4625,1,727,AMZN
AMZN_EVT_20131115_000000_9,2013-11-14 00:00:00+00:00,2013-11-15 00:00:00+00:00,18.3815,1,810,AMZN
AMZN_EVT_20140516_000000_10,2014-05-15 00:00:00+00:00,2014-05-16 00:00:00+00:00,14.64,-1,934,AMZN
AMZN_EVT_20141007_000000_11,2014-10-06 00:00:00+00:00,2014-10-07 00:00:00+00:00,15.9715,-1,1033,AMZN
AMZN_EVT_20141105_000000_12,2014-11-04 00:00:00+00:00,2014-11-05 00:00:00+00:00,15.1505,-1,1054,AMZN
AMZN_EVT_20150113_000000_13,2015-01-12 00:00:00+00:00,2015-01-13 00:00:00+00:00,14.874,-1,1100,AMZN
AMZN_EVT_20150427_000000_14,2015-04-24 00:00:00+00:00,2015-04-27 00:00:00+00:00,22.193,1,1171,AMZN
AMZN_EVT_20150730_000000_15,2015-07-29 00:00:00+00:00,2015-07-30 00:00:00+00:00,26.3825,1,1237,AMZN
AMZN_EVT_20160502_000000_16,2016-04-29 00:00:00+00:00,2016-05-02 00:00:00+00:00,33.196,1,1427,AMZN
AMZN_EVT_20160830_000000_17,2016-08-29 00:00:00+00:00,2016-08-30 00:00:00+00:00,38.5525,1,1511,AMZN
AMZN_EVT_20170824_000000_18,2017-08-23 00:00:00+00:00,2017-08-24 00:00:00+00:00,47.871,-1,1759,AMZN
AMZN_EVT_20181106_000000_19,2018-11-05 00:00:00+00:00,2018-11-06 00:00:00+00:00,80.9175,-1,2062,AMZN
AMZN_EVT_20190329_000000_20,2019-03-28 00:00:00+00:00,2019-03-29 00:00:00+00:00,89.329,1,2159,AMZN
AMZN_EVT_20190417_000000_21,2019-04-16 00:00:00+00:00,2019-04-17 00:00:00+00:00,93.6495,1,2172,AMZN
AMZN_EVT_20190722_000000_22,2019-07-19 00:00:00+00:00,2019-07-22 00:00:00+00:00,98.557,1,2237,AMZN
AMZN_EVT_20190826_000000_23,2019-08-23 00:00:00+00:00,2019-08-26 00:00:00+00:00,88.3455,-1,2262,AMZN
AMZN_EVT_20200103_000000_24,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,93.225,1,2352,AMZN
AMZN_EVT_20200117_000000_25,2020-01-16 00:00:00+00:00,2020-01-17 00:00:00+00:00,94.2945,1,2362,AMZN
AMZN_EVT_20200803_000000_26,2020-07-31 00:00:00+00:00,2020-08-03 00:00:00+00:00,159.026,1,2498,AMZN
AMZN_EVT_20210202_000000_27,2021-02-01 00:00:00+00:00,2021-02-02 00:00:00+00:00,169.0,1,2624,AMZN
