event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
AVGO_EVT_20110720_000000_0,2011-07-19 00:00:00+00:00,2011-07-20 00:00:00+00:00,2.64194,1,223,AVGO
AVGO_EVT_20111213_000000_1,2011-12-12 00:00:00+00:00,2011-12-13 00:00:00+00:00,2.15841,-1,325,AVGO
AVGO_EVT_20120327_000000_2,2012-03-26 00:00:00+00:00,2012-03-27 00:00:00+00:00,2.84888,1,396,AVGO
AVGO_EVT_20120517_000000_3,2012-05-16 00:00:00+00:00,2012-05-17 00:00:00+00:00,2.27663,-1,432,AVGO
AVGO_EVT_20120702_000000_4,2012-06-29 00:00:00+00:00,2012-07-02 00:00:00+00:00,2.64533,1,463,AVGO
AVGO_EVT_20130211_000000_5,2013-02-08 00:00:00+00:00,2013-02-11 00:00:00+00:00,2.64132,1,615,AVGO
AVGO_EVT_20130321_000000_6,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00,2.65793,1,642,AVGO
AVGO_EVT_20130916_000000_7,2013-09-13 00:00:00+00:00,2013-09-16 00:00:00+00:00,2.97221,1,765,AVGO
AVGO_EVT_20131007_000000_8,2013-10-04 00:00:00+00:00,2013-10-07 00:00:00+00:00,3.28058,1,780,AVGO
AVGO_EVT_20140721_000000_9,2014-07-18 00:00:00+00:00,2014-07-21 00:00:00+00:00,5.73346,1,977,AVGO
AVGO_EVT_20140902_000000_10,2014-08-29 00:00:00+00:00,2014-09-02 00:00:00+00:00,6.38346,1,1007,AVGO
AVGO_EVT_20140918_000000_11,2014-09-17 00:00:00+00:00,2014-09-18 00:00:00+00:00,6.80918,1,1019,AVGO
AVGO_EVT_20141124_000000_12,2014-11-21 00:00:00+00:00,2014-11-24 00:00:00+00:00,6.99224,1,1066,AVGO
AVGO_EVT_20150611_000000_13,2015-06-10 00:00:00+00:00,2015-06-11 00:00:00+00:00,11.0526,1,1202,AVGO
AVGO_EVT_20151222_000000_14,2015-12-21 00:00:00+00:00,2015-12-22 00:00:00+00:00,11.5469,1,1337,AVGO
AVGO_EVT_20160719_000000_15,2016-07-18 00:00:00+00:00,2016-07-19 00:00:00+00:00,12.7463,1,1480,AVGO
AVGO_EVT_20170213_000000_16,2017-02-10 00:00:00+00:00,2017-02-13 00:00:00+00:00,16.4684,1,1624,AVGO
AVGO_EVT_20180612_000000_17,2018-06-11 00:00:00+00:00,2018-06-12 00:00:00+00:00,21.2918,1,1958,AVGO
AVGO_EVT_20180730_000000_18,2018-07-27 00:00:00+00:00,2018-07-30 00:00:00+00:00,18.2056,-1,1991,AVGO
AVGO_EVT_20181002_000000_19,2018-10-01 00:00:00+00:00,2018-10-02 00:00:00+00:00,20.6662,1,2036,AVGO
AVGO_EVT_20181105_000000_20,2018-11-02 00:00:00+00:00,2018-11-05 00:00:00+00:00,18.1677,-1,2060,AVGO
AVGO_EVT_20191120_000000_21,2019-11-19 00:00:00+00:00,2019-11-20 00:00:00+00:00,27.22,1,2322,AVGO
AVGO_EVT_20200402_000000_22,2020-04-01 00:00:00+00:00,2020-04-02 00:00:00+00:00,19.6867,-1,2413,AVGO
AVGO_EVT_20201207_000000_23,2020-12-04 00:00:00+00:00,2020-12-07 00:00:00+00:00,37.58,1,2585,AVGO
AVGO_EVT_20201215_000000_24,2020-12-14 00:00:00+00:00,2020-12-15 00:00:00+00:00,37.478,1,2591,AVGO
AVGO_EVT_20210511_000000_25,2021-05-10 00:00:00+00:00,2021-05-11 00:00:00+00:00,38.9849,-1,2691,AVGO
AVGO_EVT_20210518_000000_26,2021-05-17 00:00:00+00:00,2021-05-18 00:00:00+00:00,40.7202,-1,2696,AVGO
AVGO_EVT_20211130_000000_27,2021-11-29 00:00:00+00:00,2021-11-30 00:00:00+00:00,52.4539,1,2832,AVGO
AVGO_EVT_20220113_000000_28,2022-01-12 00:00:00+00:00,2022-01-13 00:00:00+00:00,58.8067,1,2863,AVGO
AVGO_EVT_20220811_000000_29,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,52.7005,1,3007,AVGO
AVGO_EVT_20221020_000000_30,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,41.7434,-1,3056,AVGO
AVGO_EVT_20221230_000000_31,2022-12-29 00:00:00+00:00,2022-12-30 00:00:00+00:00,53.3796,1,3105,AVGO
AVGO_EVT_20230613_000000_32,2023-06-12 00:00:00+00:00,2023-06-13 00:00:00+00:00,83.8999,1,3217,AVGO
AVGO_EVT_20230922_000000_33,2023-09-21 00:00:00+00:00,2023-09-22 00:00:00+00:00,79.893,-1,3287,AVGO
AVGO_EVT_20231208_000000_34,2023-12-07 00:00:00+00:00,2023-12-08 00:00:00+00:00,91.376,1,3341,AVGO
AVGO_EVT_20231222_000000_35,2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,111.597,1,3351,AVGO
AVGO_EVT_20240209_000000_36,2024-02-08 00:00:00+00:00,2024-02-09 00:00:00+00:00,123.87,1,3383,AVGO
AVGO_EVT_20250122_000000_37,2025-01-21 00:00:00+00:00,2025-01-22 00:00:00+00:00,246.75,1,3620,AVGO
AVGO_EVT_20250327_000000_38,2025-03-26 00:00:00+00:00,2025-03-27 00:00:00+00:00,177.655,-1,3665,AVGO
AVGO_EVT_20250528_000000_39,2025-05-27 00:00:00+00:00,2025-05-28 00:00:00+00:00,237.15,1,3707,AVGO
AVGO_EVT_20250611_000000_40,2025-06-10 00:00:00+00:00,2025-06-11 00:00:00+00:00,246.355,1,3717,AVGO
AVGO_EVT_20250716_000000_41,2025-07-15 00:00:00+00:00,2025-07-16 00:00:00+00:00,280.105,1,3740,AVGO
AVGO_EVT_20250825_000000_42,2025-08-22 00:00:00+00:00,2025-08-25 00:00:00+00:00,292.81,1,3768,AVGO
