event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
BAC_EVT_20101217_000000_0,2010-12-16 00:00:00+00:00,2010-12-17 00:00:00+00:00,10.5607,1,77,BAC
BAC_EVT_20110215_000000_1,2011-02-14 00:00:00+00:00,2011-02-15 00:00:00+00:00,12.4599,1,117,BAC
BAC_EVT_20111207_000000_2,2011-12-06 00:00:00+00:00,2011-12-07 00:00:00+00:00,4.8453,-1,322,BAC
BAC_EVT_20111213_000000_3,2011-12-12 00:00:00+00:00,2011-12-13 00:00:00+00:00,4.70163,-1,326,BAC
BAC_EVT_20130213_000000_4,2013-02-12 00:00:00+00:00,2013-02-13 00:00:00+00:00,10.4958,1,618,BAC
BAC_EVT_20130611_000000_5,2013-06-10 00:00:00+00:00,2013-06-11 00:00:00+00:00,11.1587,1,699,BAC
BAC_EVT_20131108_000000_6,2013-11-07 00:00:00+00:00,2013-11-08 00:00:00+00:00,11.805,-1,805,BAC
BAC_EVT_20131220_000000_7,2013-12-19 00:00:00+00:00,2013-12-20 00:00:00+00:00,13.4242,1,834,BAC
BAC_EVT_20140515_000000_8,2014-05-14 00:00:00+00:00,2014-05-15 00:00:00+00:00,12.6376,-1,933,BAC
BAC_EVT_20140703_000000_9,2014-07-02 00:00:00+00:00,2014-07-03 00:00:00+00:00,13.7129,1,967,BAC
BAC_EVT_20140909_000000_10,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,13.9035,1,1013,BAC
BAC_EVT_20141006_000000_11,2014-10-03 00:00:00+00:00,2014-10-06 00:00:00+00:00,14.8659,1,1032,BAC
BAC_EVT_20150519_000000_12,2015-05-18 00:00:00+00:00,2015-05-19 00:00:00+00:00,14.2786,1,1187,BAC
BAC_EVT_20150624_000000_13,2015-06-23 00:00:00+00:00,2015-06-24 00:00:00+00:00,15.1399,1,1212,BAC
BAC_EVT_20151005_000000_14,2015-10-02 00:00:00+00:00,2015-10-05 00:00:00+00:00,13.3869,-1,1283,BAC
BAC_EVT_20160202_000000_15,2016-02-01 00:00:00+00:00,2016-02-02 00:00:00+00:00,11.9395,-1,1365,BAC
BAC_EVT_20160222_000000_16,2016-02-19 00:00:00+00:00,2016-02-22 00:00:00+00:00,10.7561,-1,1378,BAC
BAC_EVT_20160526_000000_17,2016-05-25 00:00:00+00:00,2016-05-26 00:00:00+00:00,13.0658,1,1445,BAC
BAC_EVT_20160705_000000_18,2016-07-01 00:00:00+00:00,2016-07-05 00:00:00+00:00,11.3168,-1,1471,BAC
BAC_EVT_20161201_000000_19,2016-11-30 00:00:00+00:00,2016-12-01 00:00:00+00:00,18.905,1,1576,BAC
BAC_EVT_20170308_000000_20,2017-03-07 00:00:00+00:00,2017-03-08 00:00:00+00:00,22.6611,1,1641,BAC
BAC_EVT_20170407_000000_21,2017-04-06 00:00:00+00:00,2017-04-07 00:00:00+00:00,20.3878,-1,1663,BAC
BAC_EVT_20170607_000000_22,2017-06-06 00:00:00+00:00,2017-06-07 00:00:00+00:00,19.8054,-1,1704,BAC
BAC_EVT_20171017_000000_23,2017-10-16 00:00:00+00:00,2017-10-17 00:00:00+00:00,23.5421,1,1796,BAC
BAC_EVT_20171130_000000_24,2017-11-29 00:00:00+00:00,2017-11-30 00:00:00+00:00,25.6574,1,1827,BAC
BAC_EVT_20171219_000000_25,2017-12-18 00:00:00+00:00,2017-12-19 00:00:00+00:00,26.5363,1,1840,BAC
BAC_EVT_20180504_000000_26,2018-05-03 00:00:00+00:00,2018-05-04 00:00:00+00:00,26.0875,-1,1933,BAC
BAC_EVT_20180626_000000_27,2018-06-25 00:00:00+00:00,2018-06-26 00:00:00+00:00,25.7682,-1,1969,BAC
BAC_EVT_20190724_000000_28,2019-07-23 00:00:00+00:00,2019-07-24 00:00:00+00:00,27.7431,1,2239,BAC
BAC_EVT_20190821_000000_29,2019-08-20 00:00:00+00:00,2019-08-21 00:00:00+00:00,24.8451,-1,2259,BAC
BAC_EVT_20200108_000000_30,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,32.2802,1,2355,BAC
BAC_EVT_20200324_000000_31,2020-03-23 00:00:00+00:00,2020-03-24 00:00:00+00:00,18.25,-1,2407,BAC
BAC_EVT_20200617_000000_32,2020-06-16 00:00:00+00:00,2020-06-17 00:00:00+00:00,24.5084,1,2466,BAC
BAC_EVT_20201110_000000_33,2020-11-09 00:00:00+00:00,2020-11-10 00:00:00+00:00,26.1896,1,2568,BAC
BAC_EVT_20201125_000000_34,2020-11-24 00:00:00+00:00,2020-11-25 00:00:00+00:00,27.3563,1,2579,BAC
BAC_EVT_20201216_000000_35,2020-12-15 00:00:00+00:00,2020-12-16 00:00:00+00:00,27.6146,1,2593,BAC
BAC_EVT_20210113_000000_36,2021-01-12 00:00:00+00:00,2021-01-13 00:00:00+00:00,32.0523,1,2611,BAC
BAC_EVT_20210412_000000_37,2021-04-09 00:00:00+00:00,2021-04-12 00:00:00+00:00,38.5316,1,2671,BAC
BAC_EVT_20210723_000000_38,2021-07-22 00:00:00+00:00,2021-07-23 00:00:00+00:00,36.9624,-1,2743,BAC
BAC_EVT_20210927_000000_39,2021-09-24 00:00:00+00:00,2021-09-27 00:00:00+00:00,41.5091,1,2788,BAC
BAC_EVT_20211214_000000_40,2021-12-13 00:00:00+00:00,2021-12-14 00:00:00+00:00,42.5983,-1,2843,BAC
BAC_EVT_20220519_000000_41,2022-05-18 00:00:00+00:00,2022-05-19 00:00:00+00:00,33.6735,-1,2951,BAC
BAC_EVT_20221107_000000_42,2022-11-04 00:00:00+00:00,2022-11-07 00:00:00+00:00,36.7949,1,3069,BAC
BAC_EVT_20221223_000000_43,2022-12-22 00:00:00+00:00,2022-12-23 00:00:00+00:00,32.4,-1,3102,BAC
BAC_EVT_20230214_000000_44,2023-02-13 00:00:00+00:00,2023-02-14 00:00:00+00:00,35.63,1,3136,BAC
BAC_EVT_20230406_000000_45,2023-04-05 00:00:00+00:00,2023-04-06 00:00:00+00:00,27.72,-1,3172,BAC
BAC_EVT_20231207_000000_46,2023-12-06 00:00:00+00:00,2023-12-07 00:00:00+00:00,30.59,1,3341,BAC
BAC_EVT_20240621_000000_47,2024-06-20 00:00:00+00:00,2024-06-21 00:00:00+00:00,39.855,1,3475,BAC
BAC_EVT_20250404_000000_48,2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,35.2,-1,3672,BAC
BAC_EVT_20250825_000000_49,2025-08-22 00:00:00+00:00,2025-08-25 00:00:00+00:00,49.39,1,3769,BAC
