event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
BA_EVT_20110509_000000_0,2011-05-06 00:00:00+00:00,2011-05-09 00:00:00+00:00,63.707,1,174,BA
BA_EVT_20110923_000000_1,2011-09-22 00:00:00+00:00,2011-09-23 00:00:00+00:00,47.619,-1,270,BA
BA_EVT_20111209_000000_2,2011-12-08 00:00:00+00:00,2011-12-09 00:00:00+00:00,57.936,1,324,BA
BA_EVT_20120524_000000_3,2012-05-23 00:00:00+00:00,2012-05-24 00:00:00+00:00,59.357,-1,438,BA
BA_EVT_20131014_000000_4,2013-10-11 00:00:00+00:00,2013-10-14 00:00:00+00:00,99.98,1,786,BA
BA_EVT_20140116_000000_5,2014-01-15 00:00:00+00:00,2014-01-16 00:00:00+00:00,119.93,1,851,BA
BA_EVT_20140522_000000_6,2014-05-21 00:00:00+00:00,2014-05-22 00:00:00+00:00,113.79,1,938,BA
BA_EVT_20140807_000000_7,2014-08-06 00:00:00+00:00,2014-08-07 00:00:00+00:00,103.48,-1,991,BA
BA_EVT_20140922_000000_8,2014-09-19 00:00:00+00:00,2014-09-22 00:00:00+00:00,112.51,1,1022,BA
BA_EVT_20150129_000000_9,2015-01-28 00:00:00+00:00,2015-01-29 00:00:00+00:00,122.19,1,1111,BA
BA_EVT_20150608_000000_10,2015-06-05 00:00:00+00:00,2015-06-08 00:00:00+00:00,124.2,-1,1200,BA
BA_EVT_20160428_000000_11,2016-04-27 00:00:00+00:00,2016-04-28 00:00:00+00:00,123.35,1,1425,BA
BA_EVT_20160816_000000_12,2016-08-15 00:00:00+00:00,2016-08-16 00:00:00+00:00,123.41,1,1501,BA
BA_EVT_20161025_000000_13,2016-10-24 00:00:00+00:00,2016-10-25 00:00:00+00:00,126.54,1,1550,BA
BA_EVT_20161208_000000_14,2016-12-07 00:00:00+00:00,2016-12-08 00:00:00+00:00,143.34,1,1581,BA
BA_EVT_20170104_000000_15,2017-01-03 00:00:00+00:00,2017-01-04 00:00:00+00:00,146.29,1,1598,BA
BA_EVT_20170503_000000_16,2017-05-02 00:00:00+00:00,2017-05-03 00:00:00+00:00,171.53,1,1680,BA
BA_EVT_20171128_000000_17,2017-11-27 00:00:00+00:00,2017-11-28 00:00:00+00:00,254.44,1,1825,BA
BA_EVT_20180201_000000_18,2018-01-31 00:00:00+00:00,2018-02-01 00:00:00+00:00,336.35,1,1869,BA
BA_EVT_20180521_000000_19,2018-05-18 00:00:00+00:00,2018-05-21 00:00:00+00:00,345.0,1,1944,BA
BA_EVT_20180525_000000_20,2018-05-24 00:00:00+00:00,2018-05-25 00:00:00+00:00,344.66,1,1948,BA
BA_EVT_20190212_000000_21,2019-02-11 00:00:00+00:00,2019-02-12 00:00:00+00:00,397.45,1,2127,BA
BA_EVT_20190507_000000_22,2019-05-06 00:00:00+00:00,2019-05-07 00:00:00+00:00,357.73,-1,2185,BA
BA_EVT_20190604_000000_23,2019-06-03 00:00:00+00:00,2019-06-04 00:00:00+00:00,336.46,-1,2204,BA
BA_EVT_20190813_000000_24,2019-08-12 00:00:00+00:00,2019-08-13 00:00:00+00:00,327.94,-1,2253,BA
BA_EVT_20201028_000000_25,2020-10-27 00:00:00+00:00,2020-10-28 00:00:00+00:00,153.0,-1,2559,BA
BA_EVT_20201124_000000_26,2020-11-23 00:00:00+00:00,2020-11-24 00:00:00+00:00,219.43,1,2578,BA
BA_EVT_20210512_000000_27,2021-05-11 00:00:00+00:00,2021-05-12 00:00:00+00:00,227.25,-1,2693,BA
BA_EVT_20210730_000000_28,2021-07-29 00:00:00+00:00,2021-07-30 00:00:00+00:00,229.39,-1,2748,BA
BA_EVT_20211116_000000_29,2021-11-15 00:00:00+00:00,2021-11-16 00:00:00+00:00,232.94,1,2824,BA
BA_EVT_20220127_000000_30,2022-01-26 00:00:00+00:00,2022-01-27 00:00:00+00:00,196.38,-1,2873,BA
BA_EVT_20220315_000000_31,2022-03-14 00:00:00+00:00,2022-03-15 00:00:00+00:00,176.3,-1,2905,BA
BA_EVT_20230512_000000_32,2023-05-11 00:00:00+00:00,2023-05-12 00:00:00+00:00,201.84,-1,3197,BA
BA_EVT_20230808_000000_33,2023-08-07 00:00:00+00:00,2023-08-08 00:00:00+00:00,236.52,1,3256,BA
BA_EVT_20231020_000000_34,2023-10-19 00:00:00+00:00,2023-10-20 00:00:00+00:00,182.68,-1,3308,BA
BA_EVT_20231211_000000_35,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,243.5,1,3343,BA
BA_EVT_20231227_000000_36,2023-12-26 00:00:00+00:00,2023-12-27 00:00:00+00:00,262.63,1,3354,BA
BA_EVT_20240813_000000_37,2024-08-12 00:00:00+00:00,2024-08-13 00:00:00+00:00,164.5,-1,3511,BA
BA_EVT_20241010_000000_38,2024-10-09 00:00:00+00:00,2024-10-10 00:00:00+00:00,149.07,-1,3552,BA
BA_EVT_20250724_000000_39,2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,233.904,1,3747,BA
BA_EVT_20250814_000000_40,2025-08-13 00:00:00+00:00,2025-08-14 00:00:00+00:00,231.55,1,3762,BA
