event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
BK_EVT_20101101_000000_0,2010-10-29 00:00:00+00:00,2010-11-01 00:00:00+00:00,19.3429,-1,44,BK
BK_EVT_20101119_000000_1,2010-11-18 00:00:00+00:00,2010-11-19 00:00:00+00:00,21.4311,1,58,BK
BK_EVT_20101208_000000_2,2010-12-07 00:00:00+00:00,2010-12-08 00:00:00+00:00,21.6522,1,70,BK
BK_EVT_20110523_000000_3,2011-05-20 00:00:00+00:00,2011-05-23 00:00:00+00:00,21.5117,-1,184,BK
BK_EVT_20120531_000000_4,2012-05-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,16.048,-1,442,BK
BK_EVT_20120724_000000_5,2012-07-23 00:00:00+00:00,2012-07-24 00:00:00+00:00,16.2613,-1,479,BK
BK_EVT_20121102_000000_6,2012-11-01 00:00:00+00:00,2012-11-02 00:00:00+00:00,20.1625,1,549,BK
BK_EVT_20130115_000000_7,2013-01-14 00:00:00+00:00,2013-01-15 00:00:00+00:00,21.2513,1,598,BK
BK_EVT_20130220_000000_8,2013-02-19 00:00:00+00:00,2013-02-20 00:00:00+00:00,22.6279,1,622,BK
BK_EVT_20131029_000000_9,2013-10-28 00:00:00+00:00,2013-10-29 00:00:00+00:00,25.9435,1,797,BK
BK_EVT_20131223_000000_10,2013-12-20 00:00:00+00:00,2013-12-23 00:00:00+00:00,27.7654,1,835,BK
BK_EVT_20140214_000000_11,2014-02-13 00:00:00+00:00,2014-02-14 00:00:00+00:00,26.1194,-1,871,BK
BK_EVT_20140331_000000_12,2014-03-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,28.8945,1,901,BK
BK_EVT_20140619_000000_13,2014-06-18 00:00:00+00:00,2014-06-19 00:00:00+00:00,29.3848,1,957,BK
BK_EVT_20140903_000000_14,2014-09-02 00:00:00+00:00,2014-09-03 00:00:00+00:00,32.8812,1,1009,BK
BK_EVT_20151005_000000_15,2015-10-02 00:00:00+00:00,2015-10-05 00:00:00+00:00,33.2251,-1,1283,BK
BK_EVT_20160209_000000_16,2016-02-08 00:00:00+00:00,2016-02-09 00:00:00+00:00,27.6367,-1,1370,BK
BK_EVT_20160415_000000_17,2016-04-14 00:00:00+00:00,2016-04-15 00:00:00+00:00,32.2297,1,1416,BK
BK_EVT_20160519_000000_18,2016-05-18 00:00:00+00:00,2016-05-19 00:00:00+00:00,34.7728,1,1440,BK
BK_EVT_20160706_000000_19,2016-07-05 00:00:00+00:00,2016-07-06 00:00:00+00:00,31.3099,-1,1472,BK
BK_EVT_20160829_000000_20,2016-08-26 00:00:00+00:00,2016-08-29 00:00:00+00:00,35.0018,1,1510,BK
BK_EVT_20170302_000000_21,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,41.851,1,1637,BK
BK_EVT_20170627_000000_22,2017-06-26 00:00:00+00:00,2017-06-27 00:00:00+00:00,43.1648,1,1718,BK
BK_EVT_20180109_000000_23,2018-01-08 00:00:00+00:00,2018-01-09 00:00:00+00:00,48.1833,1,1853,BK
BK_EVT_20180409_000000_24,2018-04-06 00:00:00+00:00,2018-04-09 00:00:00+00:00,44.5494,-1,1914,BK
BK_EVT_20181029_000000_25,2018-10-26 00:00:00+00:00,2018-10-29 00:00:00+00:00,40.8605,-1,2056,BK
BK_EVT_20190109_000000_26,2019-01-08 00:00:00+00:00,2019-01-09 00:00:00+00:00,42.5389,-1,2104,BK
BK_EVT_20190226_000000_27,2019-02-25 00:00:00+00:00,2019-02-26 00:00:00+00:00,47.3963,1,2136,BK
BK_EVT_20190904_000000_28,2019-09-03 00:00:00+00:00,2019-09-04 00:00:00+00:00,38.0844,-1,2268,BK
BK_EVT_20191028_000000_29,2019-10-25 00:00:00+00:00,2019-10-28 00:00:00+00:00,42.7168,1,2306,BK
BK_EVT_20200108_000000_30,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,47.011,1,2355,BK
BK_EVT_20200417_000000_31,2020-04-16 00:00:00+00:00,2020-04-17 00:00:00+00:00,34.4642,1,2424,BK
BK_EVT_20200916_000000_32,2020-09-15 00:00:00+00:00,2020-09-16 00:00:00+00:00,32.6316,-1,2529,BK
BK_EVT_20200930_000000_33,2020-09-29 00:00:00+00:00,2020-09-30 00:00:00+00:00,31.6951,-1,2539,BK
BK_EVT_20210113_000000_34,2021-01-12 00:00:00+00:00,2021-01-13 00:00:00+00:00,43.9038,1,2611,BK
