event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
BLK_EVT_20110323_000000_0,2011-03-22 00:00:00+00:00,2011-03-23 00:00:00+00:00,127.611,-1,141,BLK
BLK_EVT_20120531_000000_1,2012-05-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,121.438,-1,441,BLK
BLK_EVT_20130321_000000_2,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00,188.446,1,642,BLK
BLK_EVT_20130729_000000_3,2013-07-26 00:00:00+00:00,2013-07-29 00:00:00+00:00,213.564,1,731,BLK
BLK_EVT_20140117_000000_4,2014-01-16 00:00:00+00:00,2014-01-17 00:00:00+00:00,241.02,1,851,BLK
BLK_EVT_20140904_000000_5,2014-09-03 00:00:00+00:00,2014-09-04 00:00:00+00:00,255.64,1,1009,BLK
BLK_EVT_20141204_000000_6,2014-12-03 00:00:00+00:00,2014-12-04 00:00:00+00:00,274.27,1,1073,BLK
BLK_EVT_20150812_000000_7,2015-08-11 00:00:00+00:00,2015-08-12 00:00:00+00:00,254.363,-1,1245,BLK
BLK_EVT_20150831_000000_8,2015-08-28 00:00:00+00:00,2015-08-31 00:00:00+00:00,241.648,-1,1258,BLK
BLK_EVT_20151029_000000_9,2015-10-28 00:00:00+00:00,2015-10-29 00:00:00+00:00,271.856,1,1300,BLK
BLK_EVT_20151201_000000_10,2015-11-30 00:00:00+00:00,2015-12-01 00:00:00+00:00,287.17,1,1322,BLK
BLK_EVT_20160330_000000_11,2016-03-29 00:00:00+00:00,2016-03-30 00:00:00+00:00,273.789,1,1403,BLK
BLK_EVT_20160526_000000_12,2016-05-25 00:00:00+00:00,2016-05-26 00:00:00+00:00,290.09,1,1444,BLK
BLK_EVT_20161012_000000_13,2016-10-11 00:00:00+00:00,2016-10-12 00:00:00+00:00,284.323,-1,1540,BLK
BLK_EVT_20161121_000000_14,2016-11-18 00:00:00+00:00,2016-11-21 00:00:00+00:00,302.065,1,1568,BLK
BLK_EVT_20161202_000000_15,2016-12-01 00:00:00+00:00,2016-12-02 00:00:00+00:00,304.312,1,1576,BLK
BLK_EVT_20161219_000000_16,2016-12-16 00:00:00+00:00,2016-12-19 00:00:00+00:00,318.357,1,1587,BLK
BLK_EVT_20170118_000000_17,2017-01-17 00:00:00+00:00,2017-01-18 00:00:00+00:00,305.309,-1,1606,BLK
BLK_EVT_20171124_000000_18,2017-11-22 00:00:00+00:00,2017-11-24 00:00:00+00:00,397.777,1,1822,BLK
BLK_EVT_20180321_000000_19,2018-03-20 00:00:00+00:00,2018-03-21 00:00:00+00:00,466.598,1,1901,BLK
BLK_EVT_20180717_000000_20,2018-07-16 00:00:00+00:00,2018-07-17 00:00:00+00:00,421.028,-1,1982,BLK
BLK_EVT_20181220_000000_21,2018-12-19 00:00:00+00:00,2018-12-20 00:00:00+00:00,314.561,-1,2091,BLK
BLK_EVT_20190312_000000_22,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,368.789,1,2145,BLK
BLK_EVT_20190430_000000_23,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00,411.787,1,2179,BLK
BLK_EVT_20190711_000000_24,2019-07-10 00:00:00+00:00,2019-07-11 00:00:00+00:00,412.564,1,2229,BLK
BLK_EVT_20190815_000000_25,2019-08-14 00:00:00+00:00,2019-08-15 00:00:00+00:00,357.671,-1,2254,BLK
BLK_EVT_20190821_000000_26,2019-08-20 00:00:00+00:00,2019-08-21 00:00:00+00:00,365.683,-1,2258,BLK
BLK_EVT_20200103_000000_27,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,440.425,1,2351,BLK
BLK_EVT_20200204_000000_28,2020-02-03 00:00:00+00:00,2020-02-04 00:00:00+00:00,472.401,1,2372,BLK
BLK_EVT_20200714_000000_29,2020-07-13 00:00:00+00:00,2020-07-14 00:00:00+00:00,492.148,1,2483,BLK
BLK_EVT_20200818_000000_30,2020-08-17 00:00:00+00:00,2020-08-18 00:00:00+00:00,526.297,1,2508,BLK
BLK_EVT_20200827_000000_31,2020-08-26 00:00:00+00:00,2020-08-27 00:00:00+00:00,527.94,1,2515,BLK
BLK_EVT_20201112_000000_32,2020-11-11 00:00:00+00:00,2020-11-12 00:00:00+00:00,596.325,1,2569,BLK
BLK_EVT_20210524_000000_33,2021-05-21 00:00:00+00:00,2021-05-24 00:00:00+00:00,784.65,1,2700,BLK
BLK_EVT_20210712_000000_34,2021-07-09 00:00:00+00:00,2021-07-12 00:00:00+00:00,820.028,1,2733,BLK
BLK_EVT_20210903_000000_35,2021-09-02 00:00:00+00:00,2021-09-03 00:00:00+00:00,863.256,1,2772,BLK
BLK_EVT_20211112_000000_36,2021-11-11 00:00:00+00:00,2021-11-12 00:00:00+00:00,887.765,1,2821,BLK
BLK_EVT_20220519_000000_37,2022-05-18 00:00:00+00:00,2022-05-19 00:00:00+00:00,541.073,-1,2950,BLK
BLK_EVT_20221006_000000_38,2022-10-05 00:00:00+00:00,2022-10-06 00:00:00+00:00,544.049,-1,3046,BLK
BLK_EVT_20230627_000000_39,2023-06-26 00:00:00+00:00,2023-06-27 00:00:00+00:00,654.715,1,3226,BLK
BLK_EVT_20230719_000000_40,2023-07-18 00:00:00+00:00,2023-07-19 00:00:00+00:00,708.87,1,3241,BLK
BLK_EVT_20240913_000000_41,2024-09-12 00:00:00+00:00,2024-09-13 00:00:00+00:00,878.966,1,3532,BLK
BLK_EVT_20241029_000000_42,2024-10-28 00:00:00+00:00,2024-10-29 00:00:00+00:00,974.825,1,3564,BLK
