event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
BRK-A_EVT_20110225_000000_0,2011-02-24 00:00:00+00:00,2011-02-25 00:00:00+00:00,125249.0,1,123,BRK-A
BRK-A_EVT_20110803_000000_1,2011-08-02 00:00:00+00:00,2011-08-03 00:00:00+00:00,110388.0,-1,233,BRK-A
BRK-A_EVT_20110923_000000_2,2011-09-22 00:00:00+00:00,2011-09-23 00:00:00+00:00,99990.0,-1,269,BRK-A
BRK-A_EVT_20120924_000000_3,2012-09-21 00:00:00+00:00,2012-09-24 00:00:00+00:00,133505.0,1,521,BRK-A
BRK-A_EVT_20130103_000000_4,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,140000.0,1,589,BRK-A
BRK-A_EVT_20130110_000000_5,2013-01-09 00:00:00+00:00,2013-01-10 00:00:00+00:00,140750.0,1,594,BRK-A
BRK-A_EVT_20130204_000000_6,2013-02-01 00:00:00+00:00,2013-02-04 00:00:00+00:00,146942.77,1,610,BRK-A
BRK-A_EVT_20130708_000000_7,2013-07-05 00:00:00+00:00,2013-07-08 00:00:00+00:00,172900.0,1,716,BRK-A
BRK-A_EVT_20131025_000000_8,2013-10-24 00:00:00+00:00,2013-10-25 00:00:00+00:00,175021.0,1,794,BRK-A
BRK-A_EVT_20150427_000000_9,2015-04-24 00:00:00+00:00,2015-04-27 00:00:00+00:00,214575.23,-1,1170,BRK-A
BRK-A_EVT_20150626_000000_10,2015-06-25 00:00:00+00:00,2015-06-26 00:00:00+00:00,210000.0,-1,1213,BRK-A
BRK-A_EVT_20160830_000000_11,2016-08-29 00:00:00+00:00,2016-08-30 00:00:00+00:00,224040.0,1,1510,BRK-A
BRK-A_EVT_20171016_000000_12,2017-10-13 00:00:00+00:00,2017-10-16 00:00:00+00:00,281800.0,1,1794,BRK-A
BRK-A_EVT_20180703_000000_13,2018-07-02 00:00:00+00:00,2018-07-03 00:00:00+00:00,284899.99,-1,1973,BRK-A
BRK-A_EVT_20190716_000000_14,2019-07-15 00:00:00+00:00,2019-07-16 00:00:00+00:00,321040.0,1,2232,BRK-A
BRK-A_EVT_20190815_000000_15,2019-08-14 00:00:00+00:00,2019-08-15 00:00:00+00:00,296600.0,-1,2254,BRK-A
BRK-A_EVT_20191209_000000_16,2019-12-06 00:00:00+00:00,2019-12-09 00:00:00+00:00,333640.0,1,2334,BRK-A
BRK-A_EVT_20200327_000000_17,2020-03-26 00:00:00+00:00,2020-03-27 00:00:00+00:00,267600.0,-1,2409,BRK-A
BRK-A_EVT_20200730_000000_18,2020-07-29 00:00:00+00:00,2020-07-30 00:00:00+00:00,290335.05,1,2495,BRK-A
BRK-A_EVT_20200824_000000_19,2020-08-21 00:00:00+00:00,2020-08-24 00:00:00+00:00,315100.0,1,2512,BRK-A
BRK-A_EVT_20210111_000000_20,2021-01-08 00:00:00+00:00,2021-01-11 00:00:00+00:00,348100.0,1,2608,BRK-A
BRK-A_EVT_20210413_000000_21,2021-04-12 00:00:00+00:00,2021-04-13 00:00:00+00:00,401667.5,1,2671,BRK-A
BRK-A_EVT_20210921_000000_22,2021-09-20 00:00:00+00:00,2021-09-21 00:00:00+00:00,416570.5,-1,2783,BRK-A
BRK-A_EVT_20211222_000000_23,2021-12-21 00:00:00+00:00,2021-12-22 00:00:00+00:00,441459.875,1,2848,BRK-A
BRK-A_EVT_20220210_000000_24,2022-02-09 00:00:00+00:00,2022-02-10 00:00:00+00:00,481000.27,1,2882,BRK-A
BRK-A_EVT_20220408_000000_25,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,524139.26,1,2922,BRK-A
BRK-A_EVT_20230719_000000_26,2023-07-18 00:00:00+00:00,2023-07-19 00:00:00+00:00,523857.5,1,3241,BRK-A
BRK-A_EVT_20230821_000000_27,2023-08-18 00:00:00+00:00,2023-08-21 00:00:00+00:00,537448.0,1,3264,BRK-A
BRK-A_EVT_20240215_000000_28,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,602693.54,1,3387,BRK-A
BRK-A_EVT_20240819_000000_29,2024-08-16 00:00:00+00:00,2024-08-19 00:00:00+00:00,669042.73,1,3514,BRK-A
BRK-A_EVT_20250113_000000_30,2025-01-10 00:00:00+00:00,2025-01-13 00:00:00+00:00,662294.77,-1,3614,BRK-A
BRK-A_EVT_20250225_000000_31,2025-02-24 00:00:00+00:00,2025-02-25 00:00:00+00:00,754050.266,1,3643,BRK-A
BRK-A_EVT_20250521_000000_32,2025-05-20 00:00:00+00:00,2025-05-21 00:00:00+00:00,761264.875,-1,3703,BRK-A
