event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
BRK-B_EVT_20110803_000000_0,2011-08-02 00:00:00+00:00,2011-08-03 00:00:00+00:00,73.49,-1,233,BRK-B
BRK-B_EVT_20120402_000000_1,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,81.15,1,400,BRK-B
BRK-B_EVT_20120907_000000_2,2012-09-06 00:00:00+00:00,2012-09-07 00:00:00+00:00,86.71,1,510,BRK-B
BRK-B_EVT_20130110_000000_3,2013-01-09 00:00:00+00:00,2013-01-10 00:00:00+00:00,93.78,1,594,BRK-B
BRK-B_EVT_20130204_000000_4,2013-02-01 00:00:00+00:00,2013-02-04 00:00:00+00:00,97.76,1,610,BRK-B
BRK-B_EVT_20130708_000000_5,2013-07-05 00:00:00+00:00,2013-07-08 00:00:00+00:00,115.5,1,716,BRK-B
BRK-B_EVT_20131009_000000_6,2013-10-08 00:00:00+00:00,2013-10-09 00:00:00+00:00,111.66,-1,782,BRK-B
BRK-B_EVT_20131025_000000_7,2013-10-24 00:00:00+00:00,2013-10-25 00:00:00+00:00,116.78,1,794,BRK-B
BRK-B_EVT_20140331_000000_8,2014-03-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,124.25,1,900,BRK-B
BRK-B_EVT_20150327_000000_9,2015-03-26 00:00:00+00:00,2015-03-27 00:00:00+00:00,143.48,-1,1150,BRK-B
BRK-B_EVT_20150520_000000_10,2015-05-19 00:00:00+00:00,2015-05-20 00:00:00+00:00,146.41,1,1187,BRK-B
BRK-B_EVT_20150626_000000_11,2015-06-25 00:00:00+00:00,2015-06-26 00:00:00+00:00,139.92,-1,1213,BRK-B
BRK-B_EVT_20151005_000000_12,2015-10-02 00:00:00+00:00,2015-10-05 00:00:00+00:00,130.5,-1,1282,BRK-B
BRK-B_EVT_20160105_000000_13,2016-01-04 00:00:00+00:00,2016-01-05 00:00:00+00:00,130.75,-1,1345,BRK-B
BRK-B_EVT_20160810_000000_14,2016-08-09 00:00:00+00:00,2016-08-10 00:00:00+00:00,147.0,1,1496,BRK-B
BRK-B_EVT_20160830_000000_15,2016-08-29 00:00:00+00:00,2016-08-30 00:00:00+00:00,149.25,1,1510,BRK-B
BRK-B_EVT_20170518_000000_16,2017-05-17 00:00:00+00:00,2017-05-18 00:00:00+00:00,161.5,-1,1690,BRK-B
BRK-B_EVT_20171003_000000_17,2017-10-02 00:00:00+00:00,2017-10-03 00:00:00+00:00,185.6,1,1785,BRK-B
BRK-B_EVT_20171023_000000_18,2017-10-20 00:00:00+00:00,2017-10-23 00:00:00+00:00,189.18,1,1799,BRK-B
BRK-B_EVT_20180703_000000_19,2018-07-02 00:00:00+00:00,2018-07-03 00:00:00+00:00,188.46,-1,1973,BRK-B
BRK-B_EVT_20190530_000000_20,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00,199.06,-1,2200,BRK-B
BRK-B_EVT_20190626_000000_21,2019-06-25 00:00:00+00:00,2019-06-26 00:00:00+00:00,208.28,1,2219,BRK-B
BRK-B_EVT_20190628_000000_22,2019-06-27 00:00:00+00:00,2019-06-28 00:00:00+00:00,213.0,1,2221,BRK-B
BRK-B_EVT_20190716_000000_23,2019-07-15 00:00:00+00:00,2019-07-16 00:00:00+00:00,214.29,1,2232,BRK-B
BRK-B_EVT_20190815_000000_24,2019-08-14 00:00:00+00:00,2019-08-15 00:00:00+00:00,197.08,-1,2254,BRK-B
BRK-B_EVT_20191028_000000_25,2019-10-25 00:00:00+00:00,2019-10-28 00:00:00+00:00,212.31,1,2305,BRK-B
