event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
CAT_EVT_20110720_000000_0,2011-07-19 00:00:00+00:00,2011-07-20 00:00:00+00:00,81.7064,1,224,CAT
CAT_EVT_20111114_000000_1,2011-11-11 00:00:00+00:00,2011-11-14 00:00:00+00:00,72.3338,1,306,CAT
CAT_EVT_20120405_000000_2,2012-04-04 00:00:00+00:00,2012-04-05 00:00:00+00:00,78.7992,-1,404,CAT
CAT_EVT_20120626_000000_3,2012-06-25 00:00:00+00:00,2012-06-26 00:00:00+00:00,62.3654,-1,460,CAT
CAT_EVT_20130103_000000_4,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,70.5454,1,590,CAT
CAT_EVT_20130110_000000_5,2013-01-09 00:00:00+00:00,2013-01-10 00:00:00+00:00,72.0843,1,595,CAT
CAT_EVT_20130211_000000_6,2013-02-08 00:00:00+00:00,2013-02-11 00:00:00+00:00,73.4851,1,616,CAT
CAT_EVT_20130705_000000_7,2013-07-03 00:00:00+00:00,2013-07-05 00:00:00+00:00,62.9524,-1,716,CAT
CAT_EVT_20131021_000000_8,2013-10-18 00:00:00+00:00,2013-10-21 00:00:00+00:00,67.8493,1,791,CAT
CAT_EVT_20140312_000000_9,2014-03-11 00:00:00+00:00,2014-03-12 00:00:00+00:00,74.9726,1,888,CAT
CAT_EVT_20141016_000000_10,2014-10-15 00:00:00+00:00,2014-10-16 00:00:00+00:00,71.6837,-1,1040,CAT
CAT_EVT_20141124_000000_11,2014-11-21 00:00:00+00:00,2014-11-24 00:00:00+00:00,84.4745,1,1067,CAT
CAT_EVT_20150312_000000_12,2015-03-11 00:00:00+00:00,2015-03-12 00:00:00+00:00,64.2624,-1,1140,CAT
CAT_EVT_20150330_000000_13,2015-03-27 00:00:00+00:00,2015-03-30 00:00:00+00:00,64.1914,-1,1152,CAT
CAT_EVT_20160108_000000_14,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,52.9958,-1,1349,CAT
CAT_EVT_20160126_000000_15,2016-01-25 00:00:00+00:00,2016-01-26 00:00:00+00:00,48.7096,-1,1360,CAT
CAT_EVT_20160712_000000_16,2016-07-11 00:00:00+00:00,2016-07-12 00:00:00+00:00,66.2995,1,1476,CAT
CAT_EVT_20170508_000000_17,2017-05-05 00:00:00+00:00,2017-05-08 00:00:00+00:00,86.7592,1,1683,CAT
CAT_EVT_20170619_000000_18,2017-06-16 00:00:00+00:00,2017-06-19 00:00:00+00:00,94.142,1,1712,CAT
CAT_EVT_20170823_000000_19,2017-08-22 00:00:00+00:00,2017-08-23 00:00:00+00:00,101.036,1,1758,CAT
CAT_EVT_20171002_000000_20,2017-09-29 00:00:00+00:00,2017-10-02 00:00:00+00:00,109.293,1,1785,CAT
CAT_EVT_20190228_000000_21,2019-02-27 00:00:00+00:00,2019-02-28 00:00:00+00:00,125.984,1,2138,CAT
CAT_EVT_20190412_000000_22,2019-04-11 00:00:00+00:00,2019-04-12 00:00:00+00:00,128.213,1,2169,CAT
CAT_EVT_20190524_000000_23,2019-05-23 00:00:00+00:00,2019-05-24 00:00:00+00:00,112.992,-1,2198,CAT
CAT_EVT_20200210_000000_24,2020-02-07 00:00:00+00:00,2020-02-10 00:00:00+00:00,124.464,-1,2377,CAT
CAT_EVT_20200225_000000_25,2020-02-24 00:00:00+00:00,2020-02-25 00:00:00+00:00,124.416,-1,2387,CAT
CAT_EVT_20200318_000000_26,2020-03-17 00:00:00+00:00,2020-03-18 00:00:00+00:00,87.935,-1,2403,CAT
CAT_EVT_20200430_000000_27,2020-04-29 00:00:00+00:00,2020-04-30 00:00:00+00:00,111.404,1,2433,CAT
CAT_EVT_20200917_000000_28,2020-09-16 00:00:00+00:00,2020-09-17 00:00:00+00:00,142.537,1,2530,CAT
CAT_EVT_20201110_000000_29,2020-11-09 00:00:00+00:00,2020-11-10 00:00:00+00:00,164.515,1,2568,CAT
CAT_EVT_20201215_000000_30,2020-12-14 00:00:00+00:00,2020-12-15 00:00:00+00:00,172.201,1,2592,CAT
CAT_EVT_20211013_000000_31,2021-10-12 00:00:00+00:00,2021-10-13 00:00:00+00:00,185.103,-1,2800,CAT
CAT_EVT_20220113_000000_32,2022-01-12 00:00:00+00:00,2022-01-13 00:00:00+00:00,217.766,1,2864,CAT
CAT_EVT_20220711_000000_33,2022-07-08 00:00:00+00:00,2022-07-11 00:00:00+00:00,175.012,-1,2985,CAT
CAT_EVT_20220930_000000_34,2022-09-29 00:00:00+00:00,2022-09-30 00:00:00+00:00,164.787,-1,3043,CAT
CAT_EVT_20230725_000000_35,2023-07-24 00:00:00+00:00,2023-07-25 00:00:00+00:00,260.1,1,3246,CAT
CAT_EVT_20230906_000000_36,2023-09-05 00:00:00+00:00,2023-09-06 00:00:00+00:00,280.42,1,3276,CAT
CAT_EVT_20231019_000000_37,2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,257.91,-1,3307,CAT
CAT_EVT_20240126_000000_38,2024-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,301.0,1,3374,CAT
CAT_EVT_20240228_000000_39,2024-02-27 00:00:00+00:00,2024-02-28 00:00:00+00:00,327.39,1,3396,CAT
CAT_EVT_20240314_000000_40,2024-03-13 00:00:00+00:00,2024-03-14 00:00:00+00:00,344.55,1,3407,CAT
CAT_EVT_20240423_000000_41,2024-04-22 00:00:00+00:00,2024-04-23 00:00:00+00:00,360.0,1,3434,CAT
CAT_EVT_20250528_000000_42,2025-05-27 00:00:00+00:00,2025-05-28 00:00:00+00:00,351.8,1,3708,CAT
CAT_EVT_20250623_000000_43,2025-06-20 00:00:00+00:00,2025-06-23 00:00:00+00:00,360.0,1,3725,CAT
CAT_EVT_20250723_000000_44,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,419.785,1,3746,CAT
