event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
CL_EVT_20110329_000000_0,2011-03-28 00:00:00+00:00,2011-03-29 00:00:00+00:00,30.5145,1,145,CL
CL_EVT_20110421_000000_1,2011-04-20 00:00:00+00:00,2011-04-21 00:00:00+00:00,30.9923,1,162,CL
CL_EVT_20110520_000000_2,2011-05-19 00:00:00+00:00,2011-05-20 00:00:00+00:00,33.2565,1,182,CL
CL_EVT_20110908_000000_3,2011-09-07 00:00:00+00:00,2011-09-08 00:00:00+00:00,35.1484,1,258,CL
CL_EVT_20110915_000000_4,2011-09-14 00:00:00+00:00,2011-09-15 00:00:00+00:00,35.4497,1,263,CL
CL_EVT_20120210_000000_5,2012-02-09 00:00:00+00:00,2012-02-10 00:00:00+00:00,35.6402,1,365,CL
CL_EVT_20120307_000000_6,2012-03-06 00:00:00+00:00,2012-03-07 00:00:00+00:00,36.3215,1,382,CL
CL_EVT_20120402_000000_7,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,38.1275,1,400,CL
CL_EVT_20121210_000000_8,2012-12-07 00:00:00+00:00,2012-12-10 00:00:00+00:00,42.7773,1,573,CL
CL_EVT_20130204_000000_9,2013-02-01 00:00:00+00:00,2013-02-04 00:00:00+00:00,43.4981,1,610,CL
CL_EVT_20130426_000000_10,2013-04-25 00:00:00+00:00,2013-04-26 00:00:00+00:00,48.1835,1,667,CL
CL_EVT_20130703_000000_11,2013-07-02 00:00:00+00:00,2013-07-03 00:00:00+00:00,46.254,-1,714,CL
CL_EVT_20140701_000000_12,2014-06-30 00:00:00+00:00,2014-07-01 00:00:00+00:00,56.2794,1,964,CL
CL_EVT_20140910_000000_13,2014-09-09 00:00:00+00:00,2014-09-10 00:00:00+00:00,52.4432,-1,1013,CL
CL_EVT_20150416_000000_14,2015-04-15 00:00:00+00:00,2015-04-16 00:00:00+00:00,58.4063,1,1163,CL
CL_EVT_20150612_000000_15,2015-06-11 00:00:00+00:00,2015-06-12 00:00:00+00:00,55.7797,-1,1203,CL
CL_EVT_20151230_000000_16,2015-12-29 00:00:00+00:00,2015-12-30 00:00:00+00:00,57.4485,1,1342,CL
CL_EVT_20160310_000000_17,2016-03-09 00:00:00+00:00,2016-03-10 00:00:00+00:00,58.1851,1,1390,CL
CL_EVT_20160621_000000_18,2016-06-20 00:00:00+00:00,2016-06-21 00:00:00+00:00,61.8702,1,1461,CL
CL_EVT_20161021_000000_19,2016-10-20 00:00:00+00:00,2016-10-21 00:00:00+00:00,61.5888,-1,1547,CL
CL_EVT_20171205_000000_20,2017-12-04 00:00:00+00:00,2017-12-05 00:00:00+00:00,66.2455,1,1829,CL
CL_EVT_20180117_000000_21,2018-01-16 00:00:00+00:00,2018-01-17 00:00:00+00:00,67.305,1,1857,CL
CL_EVT_20180214_000000_22,2018-02-13 00:00:00+00:00,2018-02-14 00:00:00+00:00,62.2613,-1,1877,CL
CL_EVT_20180515_000000_23,2018-05-14 00:00:00+00:00,2018-05-15 00:00:00+00:00,55.4588,-1,1939,CL
CL_EVT_20181029_000000_24,2018-10-26 00:00:00+00:00,2018-10-29 00:00:00+00:00,53.7664,-1,2055,CL
CL_EVT_20190607_000000_25,2019-06-06 00:00:00+00:00,2019-06-07 00:00:00+00:00,67.4314,1,2206,CL
CL_EVT_20200910_000000_26,2020-09-09 00:00:00+00:00,2020-09-10 00:00:00+00:00,73.2019,1,2524,CL
CL_EVT_20211011_000000_27,2021-10-08 00:00:00+00:00,2021-10-11 00:00:00+00:00,73.6601,-1,2797,CL
CL_EVT_20220105_000000_28,2022-01-04 00:00:00+00:00,2022-01-05 00:00:00+00:00,82.7078,1,2857,CL
CL_EVT_20220420_000000_29,2022-04-19 00:00:00+00:00,2022-04-20 00:00:00+00:00,79.2312,1,2929,CL
CL_EVT_20220923_000000_30,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,74.7173,-1,3037,CL
CL_EVT_20230412_000000_31,2023-04-11 00:00:00+00:00,2023-04-12 00:00:00+00:00,76.02,1,3174,CL
CL_EVT_20230421_000000_32,2023-04-20 00:00:00+00:00,2023-04-21 00:00:00+00:00,77.18,1,3181,CL
CL_EVT_20230510_000000_33,2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,80.55,1,3194,CL
CL_EVT_20231212_000000_34,2023-12-11 00:00:00+00:00,2023-12-12 00:00:00+00:00,77.82,1,3343,CL
CL_EVT_20231227_000000_35,2023-12-26 00:00:00+00:00,2023-12-27 00:00:00+00:00,78.69,1,3353,CL
CL_EVT_20240124_000000_36,2024-01-23 00:00:00+00:00,2024-01-24 00:00:00+00:00,80.87,1,3371,CL
CL_EVT_20240226_000000_37,2024-02-23 00:00:00+00:00,2024-02-26 00:00:00+00:00,86.35,1,3393,CL
CL_EVT_20240718_000000_38,2024-07-17 00:00:00+00:00,2024-07-18 00:00:00+00:00,99.22,1,3492,CL
CL_EVT_20241114_000000_39,2024-11-13 00:00:00+00:00,2024-11-14 00:00:00+00:00,91.01,-1,3576,CL
CL_EVT_20250815_000000_40,2025-08-14 00:00:00+00:00,2025-08-15 00:00:00+00:00,85.01,-1,3762,CL
