event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
COP_EVT_20101221_000000_0,2010-12-20 00:00:00+00:00,2010-12-21 00:00:00+00:00,33.9751,1,78,COP
COP_EVT_20110112_000000_1,2011-01-11 00:00:00+00:00,2011-01-12 00:00:00+00:00,35.128,1,93,COP
COP_EVT_20110722_000000_2,2011-07-21 00:00:00+00:00,2011-07-22 00:00:00+00:00,39.4496,1,225,COP
COP_EVT_20110923_000000_3,2011-09-22 00:00:00+00:00,2011-09-23 00:00:00+00:00,32.2346,-1,269,COP
COP_EVT_20111205_000000_4,2011-12-02 00:00:00+00:00,2011-12-05 00:00:00+00:00,38.6321,1,319,COP
COP_EVT_20120531_000000_5,2012-05-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,36.8084,-1,441,COP
COP_EVT_20121018_000000_6,2012-10-17 00:00:00+00:00,2012-10-18 00:00:00+00:00,42.0579,1,539,COP
COP_EVT_20130814_000000_7,2013-08-13 00:00:00+00:00,2013-08-14 00:00:00+00:00,50.0711,1,743,COP
COP_EVT_20140409_000000_8,2014-04-08 00:00:00+00:00,2014-04-09 00:00:00+00:00,53.3617,1,907,COP
COP_EVT_20140505_000000_9,2014-05-02 00:00:00+00:00,2014-05-05 00:00:00+00:00,58.152,1,924,COP
COP_EVT_20140905_000000_10,2014-09-04 00:00:00+00:00,2014-09-05 00:00:00+00:00,61.7846,-1,1010,COP
COP_EVT_20150311_000000_11,2015-03-10 00:00:00+00:00,2015-03-11 00:00:00+00:00,48.2012,-1,1138,COP
COP_EVT_20150626_000000_12,2015-06-25 00:00:00+00:00,2015-06-26 00:00:00+00:00,49.6904,-1,1213,COP
COP_EVT_20151104_000000_13,2015-11-03 00:00:00+00:00,2015-11-04 00:00:00+00:00,46.5921,1,1304,COP
COP_EVT_20151229_000000_14,2015-12-28 00:00:00+00:00,2015-12-29 00:00:00+00:00,39.607,-1,1341,COP
COP_EVT_20160915_000000_15,2016-09-14 00:00:00+00:00,2016-09-15 00:00:00+00:00,33.5045,-1,1521,COP
COP_EVT_20170221_000000_16,2017-02-17 00:00:00+00:00,2017-02-21 00:00:00+00:00,40.7514,-1,1629,COP
COP_EVT_20170710_000000_17,2017-07-07 00:00:00+00:00,2017-07-10 00:00:00+00:00,36.4673,-1,1725,COP
COP_EVT_20170822_000000_18,2017-08-21 00:00:00+00:00,2017-08-22 00:00:00+00:00,36.5341,-1,1756,COP
COP_EVT_20180119_000000_19,2018-01-18 00:00:00+00:00,2018-01-19 00:00:00+00:00,51.4085,1,1859,COP
COP_EVT_20180807_000000_20,2018-08-06 00:00:00+00:00,2018-08-07 00:00:00+00:00,63.3357,1,1997,COP
COP_EVT_20190503_000000_21,2019-05-02 00:00:00+00:00,2019-05-03 00:00:00+00:00,54.505,-1,2182,COP
COP_EVT_20190805_000000_22,2019-08-02 00:00:00+00:00,2019-08-05 00:00:00+00:00,49.3995,-1,2246,COP
COP_EVT_20191206_000000_23,2019-12-05 00:00:00+00:00,2019-12-06 00:00:00+00:00,54.0643,1,2333,COP
COP_EVT_20200113_000000_24,2020-01-10 00:00:00+00:00,2020-01-13 00:00:00+00:00,58.5608,1,2357,COP
COP_EVT_20200327_000000_25,2020-03-26 00:00:00+00:00,2020-03-27 00:00:00+00:00,27.1785,-1,2409,COP
COP_EVT_20210108_000000_26,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,41.938,1,2607,COP
COP_EVT_20210216_000000_27,2021-02-12 00:00:00+00:00,2021-02-16 00:00:00+00:00,45.1455,1,2632,COP
COP_EVT_20210312_000000_28,2021-03-11 00:00:00+00:00,2021-03-12 00:00:00+00:00,56.658,1,2650,COP
COP_EVT_20210820_000000_29,2021-08-19 00:00:00+00:00,2021-08-20 00:00:00+00:00,49.5406,-1,2762,COP
COP_EVT_20220712_000000_30,2022-07-11 00:00:00+00:00,2022-07-12 00:00:00+00:00,80.7645,-1,2985,COP
COP_EVT_20221020_000000_31,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,122.034,1,3056,COP
COP_EVT_20230123_000000_32,2023-01-20 00:00:00+00:00,2023-01-23 00:00:00+00:00,122.46,1,3119,COP
COP_EVT_20230203_000000_33,2023-02-02 00:00:00+00:00,2023-02-03 00:00:00+00:00,111.31,-1,3128,COP
COP_EVT_20230227_000000_34,2023-02-24 00:00:00+00:00,2023-02-27 00:00:00+00:00,105.17,-1,3143,COP
COP_EVT_20250813_000000_35,2025-08-12 00:00:00+00:00,2025-08-13 00:00:00+00:00,94.4,1,3760,COP
