event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
COST_EVT_20110418_000000_0,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,57.3862,1,160,COST
COST_EVT_20110509_000000_1,2011-05-06 00:00:00+00:00,2011-05-09 00:00:00+00:00,60.7244,1,174,COST
COST_EVT_20120321_000000_2,2012-03-20 00:00:00+00:00,2012-03-21 00:00:00+00:00,68.9025,1,393,COST
COST_EVT_20120615_000000_3,2012-06-14 00:00:00+00:00,2012-06-15 00:00:00+00:00,69.1217,1,453,COST
COST_EVT_20120829_000000_4,2012-08-28 00:00:00+00:00,2012-08-29 00:00:00+00:00,73.3488,1,505,COST
COST_EVT_20121011_000000_5,2012-10-10 00:00:00+00:00,2012-10-11 00:00:00+00:00,78.1319,1,535,COST
COST_EVT_20121112_000000_6,2012-11-09 00:00:00+00:00,2012-11-12 00:00:00+00:00,73.2152,-1,555,COST
COST_EVT_20130425_000000_7,2013-04-24 00:00:00+00:00,2013-04-25 00:00:00+00:00,89.5036,1,667,COST
COST_EVT_20140730_000000_8,2014-07-29 00:00:00+00:00,2014-07-30 00:00:00+00:00,99.9266,1,985,COST
COST_EVT_20150306_000000_9,2015-03-05 00:00:00+00:00,2015-03-06 00:00:00+00:00,130.23,1,1136,COST
COST_EVT_20150506_000000_10,2015-05-05 00:00:00+00:00,2015-05-06 00:00:00+00:00,127.121,-1,1178,COST
COST_EVT_20150615_000000_11,2015-06-12 00:00:00+00:00,2015-06-15 00:00:00+00:00,120.653,-1,1205,COST
COST_EVT_20150626_000000_12,2015-06-25 00:00:00+00:00,2015-06-26 00:00:00+00:00,120.653,-1,1214,COST
COST_EVT_20151028_000000_13,2015-10-27 00:00:00+00:00,2015-10-28 00:00:00+00:00,138.122,1,1300,COST
COST_EVT_20151204_000000_14,2015-12-03 00:00:00+00:00,2015-12-04 00:00:00+00:00,144.3,1,1326,COST
COST_EVT_20160629_000000_15,2016-06-28 00:00:00+00:00,2016-06-29 00:00:00+00:00,138.301,1,1468,COST
COST_EVT_20170515_000000_16,2017-05-12 00:00:00+00:00,2017-05-15 00:00:00+00:00,157.992,1,1688,COST
COST_EVT_20170629_000000_17,2017-06-28 00:00:00+00:00,2017-06-29 00:00:00+00:00,148.665,-1,1720,COST
COST_EVT_20170710_000000_18,2017-07-07 00:00:00+00:00,2017-07-10 00:00:00+00:00,142.437,-1,1726,COST
COST_EVT_20171102_000000_19,2017-11-01 00:00:00+00:00,2017-11-02 00:00:00+00:00,152.411,1,1808,COST
COST_EVT_20180511_000000_20,2018-05-10 00:00:00+00:00,2018-05-11 00:00:00+00:00,183.352,1,1938,COST
COST_EVT_20190425_000000_21,2019-04-24 00:00:00+00:00,2019-04-25 00:00:00+00:00,232.887,1,2177,COST
COST_EVT_20190726_000000_22,2019-07-25 00:00:00+00:00,2019-07-26 00:00:00+00:00,265.372,1,2241,COST
COST_EVT_20190905_000000_23,2019-09-04 00:00:00+00:00,2019-09-05 00:00:00+00:00,283.648,1,2269,COST
COST_EVT_20191010_000000_24,2019-10-09 00:00:00+00:00,2019-10-10 00:00:00+00:00,283.847,1,2294,COST
COST_EVT_20200129_000000_25,2020-01-28 00:00:00+00:00,2020-01-29 00:00:00+00:00,296.133,1,2369,COST
COST_EVT_20200207_000000_26,2020-02-06 00:00:00+00:00,2020-02-07 00:00:00+00:00,295.934,1,2376,COST
COST_EVT_20200728_000000_27,2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,313.791,1,2494,COST
COST_EVT_20210212_000000_28,2021-02-11 00:00:00+00:00,2021-02-12 00:00:00+00:00,347.681,-1,2632,COST
COST_EVT_20210603_000000_29,2021-06-02 00:00:00+00:00,2021-06-03 00:00:00+00:00,375.812,1,2708,COST
COST_EVT_20211206_000000_30,2021-12-03 00:00:00+00:00,2021-12-06 00:00:00+00:00,528.712,1,2837,COST
COST_EVT_20220408_000000_31,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,603.268,1,2923,COST
COST_EVT_20220809_000000_32,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,542.66,1,3006,COST
COST_EVT_20221011_000000_33,2022-10-10 00:00:00+00:00,2022-10-11 00:00:00+00:00,464.162,-1,3050,COST
COST_EVT_20221229_000000_34,2022-12-28 00:00:00+00:00,2022-12-29 00:00:00+00:00,455.63,-1,3105,COST
COST_EVT_20230214_000000_35,2023-02-13 00:00:00+00:00,2023-02-14 00:00:00+00:00,505.01,1,3136,COST
COST_EVT_20230623_000000_36,2023-06-22 00:00:00+00:00,2023-06-23 00:00:00+00:00,523.13,1,3225,COST
COST_EVT_20230921_000000_37,2023-09-20 00:00:00+00:00,2023-09-21 00:00:00+00:00,564.07,1,3287,COST
COST_EVT_20231120_000000_38,2023-11-17 00:00:00+00:00,2023-11-20 00:00:00+00:00,577.34,1,3329,COST
COST_EVT_20231226_000000_39,2023-12-22 00:00:00+00:00,2023-12-26 00:00:00+00:00,673.01,1,3353,COST
COST_EVT_20241217_000000_40,2024-12-16 00:00:00+00:00,2024-12-17 00:00:00+00:00,994.0,1,3599,COST
COST_EVT_20250114_000000_41,2025-01-13 00:00:00+00:00,2025-01-14 00:00:00+00:00,924.3,-1,3616,COST
COST_EVT_20250408_000000_42,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,932.05,-1,3674,COST
COST_EVT_20250519_000000_43,2025-05-16 00:00:00+00:00,2025-05-19 00:00:00+00:00,1018.6,1,3702,COST
