event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
CRM_EVT_20101015_000000_0,2010-10-14 00:00:00+00:00,2010-10-15 00:00:00+00:00,27.125,-1,33,CRM
CRM_EVT_20110308_000000_1,2011-03-07 00:00:00+00:00,2011-03-08 00:00:00+00:00,31.86,-1,130,CRM
CRM_EVT_20110718_000000_2,2011-07-15 00:00:00+00:00,2011-07-18 00:00:00+00:00,38.44,1,221,CRM
CRM_EVT_20121212_000000_3,2012-12-11 00:00:00+00:00,2012-12-12 00:00:00+00:00,41.295,1,575,CRM
CRM_EVT_20130809_000000_4,2013-08-08 00:00:00+00:00,2013-08-09 00:00:00+00:00,45.23,1,740,CRM
CRM_EVT_20130903_000000_5,2013-08-30 00:00:00+00:00,2013-09-03 00:00:00+00:00,49.46,1,756,CRM
CRM_EVT_20131021_000000_6,2013-10-18 00:00:00+00:00,2013-10-21 00:00:00+00:00,56.15,1,790,CRM
CRM_EVT_20140909_000000_7,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,60.5,1,1012,CRM
CRM_EVT_20141107_000000_8,2014-11-06 00:00:00+00:00,2014-11-07 00:00:00+00:00,63.61,1,1055,CRM
CRM_EVT_20150408_000000_9,2015-04-07 00:00:00+00:00,2015-04-08 00:00:00+00:00,68.26,1,1157,CRM
CRM_EVT_20150901_000000_10,2015-08-31 00:00:00+00:00,2015-09-01 00:00:00+00:00,67.86,-1,1259,CRM
CRM_EVT_20160126_000000_11,2016-01-25 00:00:00+00:00,2016-01-26 00:00:00+00:00,69.96,-1,1359,CRM
CRM_EVT_20160203_000000_12,2016-02-02 00:00:00+00:00,2016-02-03 00:00:00+00:00,65.42,-1,1365,CRM
CRM_EVT_20160426_000000_13,2016-04-25 00:00:00+00:00,2016-04-26 00:00:00+00:00,76.8,1,1422,CRM
CRM_EVT_20160726_000000_14,2016-07-25 00:00:00+00:00,2016-07-26 00:00:00+00:00,82.0,1,1485,CRM
CRM_EVT_20161229_000000_15,2016-12-28 00:00:00+00:00,2016-12-29 00:00:00+00:00,68.85,-1,1594,CRM
CRM_EVT_20170605_000000_16,2017-06-02 00:00:00+00:00,2017-06-05 00:00:00+00:00,91.0,1,1701,CRM
CRM_EVT_20180402_000000_17,2018-03-29 00:00:00+00:00,2018-04-02 00:00:00+00:00,115.91,1,1908,CRM
CRM_EVT_20180531_000000_18,2018-05-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,129.37,1,1950,CRM
CRM_EVT_20190815_000000_19,2019-08-14 00:00:00+00:00,2019-08-15 00:00:00+00:00,141.1,-1,2254,CRM
CRM_EVT_20191119_000000_20,2019-11-18 00:00:00+00:00,2019-11-19 00:00:00+00:00,163.64,1,2321,CRM
CRM_EVT_20200117_000000_21,2020-01-16 00:00:00+00:00,2020-01-17 00:00:00+00:00,183.23,1,2361,CRM
CRM_EVT_20200129_000000_22,2020-01-28 00:00:00+00:00,2020-01-29 00:00:00+00:00,184.0,1,2368,CRM
CRM_EVT_20200327_000000_23,2020-03-26 00:00:00+00:00,2020-03-27 00:00:00+00:00,150.63,-1,2409,CRM
CRM_EVT_20211105_000000_24,2021-11-04 00:00:00+00:00,2021-11-05 00:00:00+00:00,308.5,1,2816,CRM
CRM_EVT_20211215_000000_25,2021-12-14 00:00:00+00:00,2021-12-15 00:00:00+00:00,254.85,-1,2843,CRM
CRM_EVT_20211220_000000_26,2021-12-17 00:00:00+00:00,2021-12-20 00:00:00+00:00,249.89,-1,2846,CRM
CRM_EVT_20220311_000000_27,2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,204.77,-1,2902,CRM
CRM_EVT_20220502_000000_28,2022-04-29 00:00:00+00:00,2022-05-02 00:00:00+00:00,175.09,-1,2937,CRM
CRM_EVT_20220811_000000_29,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,192.13,1,3007,CRM
CRM_EVT_20221010_000000_30,2022-10-07 00:00:00+00:00,2022-10-10 00:00:00+00:00,150.62,-1,3048,CRM
CRM_EVT_20221223_000000_31,2022-12-22 00:00:00+00:00,2022-12-23 00:00:00+00:00,128.73,-1,3101,CRM
CRM_EVT_20230209_000000_32,2023-02-08 00:00:00+00:00,2023-02-09 00:00:00+00:00,173.33,1,3132,CRM
CRM_EVT_20231211_000000_33,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,250.0,1,3342,CRM
CRM_EVT_20241205_000000_34,2024-12-04 00:00:00+00:00,2024-12-05 00:00:00+00:00,360.78,1,3590,CRM
CRM_EVT_20250117_000000_35,2025-01-16 00:00:00+00:00,2025-01-17 00:00:00+00:00,327.97,-1,3618,CRM
CRM_EVT_20250411_000000_36,2025-04-10 00:00:00+00:00,2025-04-11 00:00:00+00:00,254.37,-1,3676,CRM
