event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
CSCO_EVT_20101104_000000_0,2010-11-03 00:00:00+00:00,2010-11-04 00:00:00+00:00,16.9889,1,47,CSCO
CSCO_EVT_20140114_000000_1,2014-01-13 00:00:00+00:00,2014-01-14 00:00:00+00:00,16.9693,1,849,CSCO
CSCO_EVT_20140826_000000_2,2014-08-25 00:00:00+00:00,2014-08-26 00:00:00+00:00,19.1079,-1,1004,CSCO
CSCO_EVT_20150511_000000_3,2015-05-08 00:00:00+00:00,2015-05-11 00:00:00+00:00,23.2881,1,1181,CSCO
CSCO_EVT_20160129_000000_4,2016-01-28 00:00:00+00:00,2016-01-29 00:00:00+00:00,18.9125,-1,1363,CSCO
CSCO_EVT_20160209_000000_5,2016-02-08 00:00:00+00:00,2016-02-09 00:00:00+00:00,18.2683,-1,1370,CSCO
CSCO_EVT_20160513_000000_6,2016-05-12 00:00:00+00:00,2016-05-13 00:00:00+00:00,21.6532,-1,1436,CSCO
CSCO_EVT_20160812_000000_7,2016-08-11 00:00:00+00:00,2016-08-12 00:00:00+00:00,25.4494,1,1499,CSCO
CSCO_EVT_20161107_000000_8,2016-11-04 00:00:00+00:00,2016-11-07 00:00:00+00:00,25.4828,-1,1559,CSCO
CSCO_EVT_20170503_000000_9,2017-05-02 00:00:00+00:00,2017-05-03 00:00:00+00:00,28.8421,1,1680,CSCO
CSCO_EVT_20170707_000000_10,2017-07-06 00:00:00+00:00,2017-07-07 00:00:00+00:00,26.2124,-1,1725,CSCO
CSCO_EVT_20171128_000000_11,2017-11-27 00:00:00+00:00,2017-11-28 00:00:00+00:00,31.8017,1,1825,CSCO
CSCO_EVT_20171222_000000_12,2017-12-21 00:00:00+00:00,2017-12-22 00:00:00+00:00,33.1097,1,1843,CSCO
CSCO_EVT_20180824_000000_13,2018-08-23 00:00:00+00:00,2018-08-24 00:00:00+00:00,40.6413,1,2011,CSCO
CSCO_EVT_20180913_000000_14,2018-09-12 00:00:00+00:00,2018-09-13 00:00:00+00:00,41.205,1,2024,CSCO
CSCO_EVT_20181121_000000_15,2018-11-20 00:00:00+00:00,2018-11-21 00:00:00+00:00,39.8086,-1,2073,CSCO
CSCO_EVT_20190212_000000_16,2019-02-11 00:00:00+00:00,2019-02-12 00:00:00+00:00,42.1889,1,2127,CSCO
CSCO_EVT_20190312_000000_17,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,46.4191,1,2146,CSCO
CSCO_EVT_20190812_000000_18,2019-08-09 00:00:00+00:00,2019-08-12 00:00:00+00:00,47.242,-1,2252,CSCO
CSCO_EVT_20190826_000000_19,2019-08-23 00:00:00+00:00,2019-08-26 00:00:00+00:00,42.5237,-1,2262,CSCO
CSCO_EVT_20191115_000000_20,2019-11-14 00:00:00+00:00,2019-11-15 00:00:00+00:00,41.043,-1,2320,CSCO
CSCO_EVT_20191129_000000_21,2019-11-27 00:00:00+00:00,2019-11-29 00:00:00+00:00,41.1981,-1,2329,CSCO
CSCO_EVT_20200114_000000_22,2020-01-13 00:00:00+00:00,2020-01-14 00:00:00+00:00,43.9946,1,2359,CSCO
CSCO_EVT_20210212_000000_23,2021-02-11 00:00:00+00:00,2021-02-12 00:00:00+00:00,45.0336,1,2632,CSCO
CSCO_EVT_20210810_000000_24,2021-08-09 00:00:00+00:00,2021-08-10 00:00:00+00:00,53.45,1,2755,CSCO
CSCO_EVT_20220110_000000_25,2022-01-07 00:00:00+00:00,2022-01-10 00:00:00+00:00,59.3604,1,2861,CSCO
CSCO_EVT_20220506_000000_26,2022-05-05 00:00:00+00:00,2022-05-06 00:00:00+00:00,48.2633,-1,2942,CSCO
CSCO_EVT_20220908_000000_27,2022-09-07 00:00:00+00:00,2022-09-08 00:00:00+00:00,44.3481,1,3027,CSCO
CSCO_EVT_20220930_000000_28,2022-09-29 00:00:00+00:00,2022-09-30 00:00:00+00:00,40.2858,-1,3043,CSCO
CSCO_EVT_20221011_000000_29,2022-10-10 00:00:00+00:00,2022-10-11 00:00:00+00:00,39.81,-1,3050,CSCO
CSCO_EVT_20221118_000000_30,2022-11-17 00:00:00+00:00,2022-11-18 00:00:00+00:00,46.91,1,3078,CSCO
CSCO_EVT_20221201_000000_31,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,49.88,1,3086,CSCO
