event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
CVS_EVT_20110331_000000_0,2011-03-30 00:00:00+00:00,2011-03-31 00:00:00+00:00,26.0642,1,147,CVS
CVS_EVT_20110708_000000_1,2011-07-07 00:00:00+00:00,2011-07-08 00:00:00+00:00,29.6209,1,215,CVS
CVS_EVT_20110819_000000_2,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,25.4159,-1,245,CVS
CVS_EVT_20111201_000000_3,2011-11-30 00:00:00+00:00,2011-12-01 00:00:00+00:00,30.3384,1,317,CVS
CVS_EVT_20120201_000000_4,2012-01-31 00:00:00+00:00,2012-02-01 00:00:00+00:00,33.068,1,358,CVS
CVS_EVT_20120319_000000_5,2012-03-16 00:00:00+00:00,2012-03-19 00:00:00+00:00,35.5583,1,390,CVS
CVS_EVT_20120702_000000_6,2012-06-29 00:00:00+00:00,2012-07-02 00:00:00+00:00,37.0763,1,463,CVS
CVS_EVT_20120716_000000_7,2012-07-13 00:00:00+00:00,2012-07-16 00:00:00+00:00,37.8659,1,472,CVS
CVS_EVT_20121214_000000_8,2012-12-13 00:00:00+00:00,2012-12-14 00:00:00+00:00,39.0093,1,577,CVS
CVS_EVT_20130802_000000_9,2013-08-01 00:00:00+00:00,2013-08-02 00:00:00+00:00,49.8653,1,735,CVS
CVS_EVT_20140224_000000_10,2014-02-21 00:00:00+00:00,2014-02-24 00:00:00+00:00,58.0391,1,875,CVS
CVS_EVT_20140401_000000_11,2014-03-31 00:00:00+00:00,2014-04-01 00:00:00+00:00,60.5483,1,901,CVS
CVS_EVT_20140606_000000_12,2014-06-05 00:00:00+00:00,2014-06-06 00:00:00+00:00,64.2642,1,947,CVS
CVS_EVT_20141124_000000_13,2014-11-21 00:00:00+00:00,2014-11-24 00:00:00+00:00,73.7148,1,1066,CVS
CVS_EVT_20150729_000000_14,2015-07-28 00:00:00+00:00,2015-07-29 00:00:00+00:00,92.5934,1,1235,CVS
CVS_EVT_20160209_000000_15,2016-02-08 00:00:00+00:00,2016-02-09 00:00:00+00:00,72.7256,-1,1369,CVS
CVS_EVT_20160628_000000_16,2016-06-27 00:00:00+00:00,2016-06-28 00:00:00+00:00,79.0238,-1,1466,CVS
CVS_EVT_20161114_000000_17,2016-11-11 00:00:00+00:00,2016-11-14 00:00:00+00:00,63.0624,-1,1563,CVS
CVS_EVT_20170419_000000_18,2017-04-18 00:00:00+00:00,2017-04-19 00:00:00+00:00,66.9483,-1,1669,CVS
CVS_EVT_20170919_000000_19,2017-09-18 00:00:00+00:00,2017-09-19 00:00:00+00:00,72.2957,1,1775,CVS
CVS_EVT_20171106_000000_20,2017-11-03 00:00:00+00:00,2017-11-06 00:00:00+00:00,59.2873,-1,1809,CVS
CVS_EVT_20180112_000000_21,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,68.5749,1,1855,CVS
CVS_EVT_20180509_000000_22,2018-05-08 00:00:00+00:00,2018-05-09 00:00:00+00:00,53.6444,-1,1935,CVS
CVS_EVT_20190222_000000_23,2019-02-21 00:00:00+00:00,2019-02-22 00:00:00+00:00,55.9649,-1,2133,CVS
CVS_EVT_20190403_000000_24,2019-04-02 00:00:00+00:00,2019-04-03 00:00:00+00:00,47.2099,-1,2161,CVS
CVS_EVT_20190712_000000_25,2019-07-11 00:00:00+00:00,2019-07-12 00:00:00+00:00,52.6483,1,2230,CVS
CVS_EVT_20190830_000000_26,2019-08-29 00:00:00+00:00,2019-08-30 00:00:00+00:00,55.6585,1,2265,CVS
CVS_EVT_20191016_000000_27,2019-10-15 00:00:00+00:00,2019-10-16 00:00:00+00:00,59.6342,1,2297,CVS
CVS_EVT_20191029_000000_28,2019-10-28 00:00:00+00:00,2019-10-29 00:00:00+00:00,60.7232,1,2306,CVS
CVS_EVT_20200817_000000_29,2020-08-14 00:00:00+00:00,2020-08-17 00:00:00+00:00,62.2749,1,2507,CVS
CVS_EVT_20201229_000000_30,2020-12-28 00:00:00+00:00,2020-12-29 00:00:00+00:00,65.2366,1,2600,CVS
CVS_EVT_20210702_000000_31,2021-07-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,79.4003,-1,2728,CVS
CVS_EVT_20210818_000000_32,2021-08-17 00:00:00+00:00,2021-08-18 00:00:00+00:00,83.8988,1,2760,CVS
CVS_EVT_20211210_000000_33,2021-12-09 00:00:00+00:00,2021-12-10 00:00:00+00:00,95.5444,1,2840,CVS
CVS_EVT_20221115_000000_34,2022-11-14 00:00:00+00:00,2022-11-15 00:00:00+00:00,97.8,1,3074,CVS
CVS_EVT_20221208_000000_35,2022-12-07 00:00:00+00:00,2022-12-08 00:00:00+00:00,102.5,1,3090,CVS
CVS_EVT_20230103_000000_36,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,91.72,-1,3106,CVS
CVS_EVT_20230111_000000_37,2023-01-10 00:00:00+00:00,2023-01-11 00:00:00+00:00,91.56,-1,3112,CVS
CVS_EVT_20230202_000000_38,2023-02-01 00:00:00+00:00,2023-02-02 00:00:00+00:00,86.54,-1,3127,CVS
CVS_EVT_20231130_000000_39,2023-11-29 00:00:00+00:00,2023-11-30 00:00:00+00:00,67.1,-1,3335,CVS
CVS_EVT_20240418_000000_40,2024-04-17 00:00:00+00:00,2024-04-18 00:00:00+00:00,69.17,-1,3430,CVS
CVS_EVT_20240718_000000_41,2024-07-17 00:00:00+00:00,2024-07-18 00:00:00+00:00,61.0,1,3492,CVS
CVS_EVT_20241230_000000_42,2024-12-27 00:00:00+00:00,2024-12-30 00:00:00+00:00,44.115,-1,3606,CVS
CVS_EVT_20250725_000000_43,2025-07-24 00:00:00+00:00,2025-07-25 00:00:00+00:00,59.48,-1,3747,CVS
CVS_EVT_20250827_000000_44,2025-08-26 00:00:00+00:00,2025-08-27 00:00:00+00:00,71.63,1,3770,CVS
