event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
CVX_EVT_20110216_000000_0,2011-02-15 00:00:00+00:00,2011-02-16 00:00:00+00:00,60.4335,1,117,CVX
CVX_EVT_20110802_000000_1,2011-08-01 00:00:00+00:00,2011-08-02 00:00:00+00:00,65.9365,1,232,CVX
CVX_EVT_20110923_000000_2,2011-09-22 00:00:00+00:00,2011-09-23 00:00:00+00:00,57.2061,-1,269,CVX
CVX_EVT_20120104_000000_3,2012-01-03 00:00:00+00:00,2012-01-04 00:00:00+00:00,70.1102,1,339,CVX
CVX_EVT_20120308_000000_4,2012-03-07 00:00:00+00:00,2012-03-08 00:00:00+00:00,70.7773,1,383,CVX
CVX_EVT_20120314_000000_5,2012-03-13 00:00:00+00:00,2012-03-14 00:00:00+00:00,71.5858,1,387,CVX
CVX_EVT_20120727_000000_6,2012-07-26 00:00:00+00:00,2012-07-27 00:00:00+00:00,71.1519,1,481,CVX
CVX_EVT_20121102_000000_7,2012-11-01 00:00:00+00:00,2012-11-02 00:00:00+00:00,72.5798,-1,548,CVX
CVX_EVT_20130220_000000_8,2013-02-19 00:00:00+00:00,2013-02-20 00:00:00+00:00,77.2577,1,621,CVX
CVX_EVT_20130321_000000_9,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00,79.9809,1,642,CVX
CVX_EVT_20130521_000000_10,2013-05-20 00:00:00+00:00,2013-05-21 00:00:00+00:00,83.8677,1,684,CVX
CVX_EVT_20140724_000000_11,2014-07-23 00:00:00+00:00,2014-07-24 00:00:00+00:00,93.1521,1,980,CVX
CVX_EVT_20150428_000000_12,2015-04-27 00:00:00+00:00,2015-04-28 00:00:00+00:00,78.6095,1,1171,CVX
CVX_EVT_20150603_000000_13,2015-06-02 00:00:00+00:00,2015-06-03 00:00:00+00:00,73.8819,-1,1196,CVX
CVX_EVT_20150612_000000_14,2015-06-11 00:00:00+00:00,2015-06-12 00:00:00+00:00,72.5222,-1,1203,CVX
CVX_EVT_20160317_000000_15,2016-03-16 00:00:00+00:00,2016-03-17 00:00:00+00:00,72.0784,1,1395,CVX
CVX_EVT_20160329_000000_16,2016-03-28 00:00:00+00:00,2016-03-29 00:00:00+00:00,70.238,1,1402,CVX
CVX_EVT_20160909_000000_17,2016-09-08 00:00:00+00:00,2016-09-09 00:00:00+00:00,79.0445,1,1517,CVX
CVX_EVT_20161111_000000_18,2016-11-10 00:00:00+00:00,2016-11-11 00:00:00+00:00,82.1843,1,1562,CVX
CVX_EVT_20161116_000000_19,2016-11-15 00:00:00+00:00,2016-11-16 00:00:00+00:00,83.5673,1,1565,CVX
CVX_EVT_20161219_000000_20,2016-12-16 00:00:00+00:00,2016-12-19 00:00:00+00:00,91.4306,1,1587,CVX
CVX_EVT_20170217_000000_21,2017-02-16 00:00:00+00:00,2017-02-17 00:00:00+00:00,86.0973,-1,1628,CVX
CVX_EVT_20170724_000000_22,2017-07-21 00:00:00+00:00,2017-07-24 00:00:00+00:00,81.2722,-1,1735,CVX
CVX_EVT_20171211_000000_23,2017-12-08 00:00:00+00:00,2017-12-11 00:00:00+00:00,96.5904,1,1833,CVX
CVX_EVT_20171222_000000_24,2017-12-21 00:00:00+00:00,2017-12-22 00:00:00+00:00,100.277,1,1842,CVX
CVX_EVT_20180222_000000_25,2018-02-21 00:00:00+00:00,2018-02-22 00:00:00+00:00,88.8605,-1,1882,CVX
CVX_EVT_20190904_000000_26,2019-09-03 00:00:00+00:00,2019-09-04 00:00:00+00:00,100.979,-1,2267,CVX
CVX_EVT_20191113_000000_27,2019-11-12 00:00:00+00:00,2019-11-13 00:00:00+00:00,103.535,1,2317,CVX
CVX_EVT_20200210_000000_28,2020-02-07 00:00:00+00:00,2020-02-10 00:00:00+00:00,94.227,-1,2376,CVX
CVX_EVT_20200330_000000_29,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,59.7206,-1,2410,CVX
CVX_EVT_20200902_000000_30,2020-09-01 00:00:00+00:00,2020-09-02 00:00:00+00:00,75.0749,-1,2519,CVX
CVX_EVT_20200930_000000_31,2020-09-29 00:00:00+00:00,2020-09-30 00:00:00+00:00,65.3035,-1,2538,CVX
CVX_EVT_20210616_000000_32,2021-06-15 00:00:00+00:00,2021-06-16 00:00:00+00:00,103.593,1,2716,CVX
CVX_EVT_20211004_000000_33,2021-10-01 00:00:00+00:00,2021-10-04 00:00:00+00:00,100.19,1,2792,CVX
CVX_EVT_20211008_000000_34,2021-10-07 00:00:00+00:00,2021-10-08 00:00:00+00:00,101.916,1,2796,CVX
CVX_EVT_20220126_000000_35,2022-01-25 00:00:00+00:00,2022-01-26 00:00:00+00:00,128.28,1,2871,CVX
CVX_EVT_20220712_000000_36,2022-07-11 00:00:00+00:00,2022-07-12 00:00:00+00:00,136.199,-1,2985,CVX
CVX_EVT_20230127_000000_37,2023-01-26 00:00:00+00:00,2023-01-27 00:00:00+00:00,184.23,1,3123,CVX
CVX_EVT_20230216_000000_38,2023-02-15 00:00:00+00:00,2023-02-16 00:00:00+00:00,168.19,-1,3137,CVX
CVX_EVT_20230310_000000_39,2023-03-09 00:00:00+00:00,2023-03-10 00:00:00+00:00,160.94,-1,3152,CVX
CVX_EVT_20230517_000000_40,2023-05-16 00:00:00+00:00,2023-05-17 00:00:00+00:00,154.785,-1,3199,CVX
CVX_EVT_20231117_000000_41,2023-11-16 00:00:00+00:00,2023-11-17 00:00:00+00:00,142.95,-1,3327,CVX
CVX_EVT_20240103_000000_42,2024-01-02 00:00:00+00:00,2024-01-03 00:00:00+00:00,149.39,1,3357,CVX
CVX_EVT_20241121_000000_43,2024-11-20 00:00:00+00:00,2024-11-21 00:00:00+00:00,162.02,1,3581,CVX
