event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
C_EVT_20110602_000000_0,2011-06-01 00:00:00+00:00,2011-06-02 00:00:00+00:00,32.8599,-1,191,C
C_EVT_20111103_000000_1,2011-11-02 00:00:00+00:00,2011-11-03 00:00:00+00:00,25.3693,1,299,C
C_EVT_20120229_000000_2,2012-02-28 00:00:00+00:00,2012-02-29 00:00:00+00:00,27.7824,1,378,C
C_EVT_20120821_000000_3,2012-08-20 00:00:00+00:00,2012-08-21 00:00:00+00:00,25.059,1,499,C
C_EVT_20120928_000000_4,2012-09-27 00:00:00+00:00,2012-09-28 00:00:00+00:00,27.1333,1,526,C
C_EVT_20121105_000000_5,2012-11-02 00:00:00+00:00,2012-11-05 00:00:00+00:00,30.9315,1,550,C
C_EVT_20121226_000000_6,2012-12-24 00:00:00+00:00,2012-12-26 00:00:00+00:00,32.6818,1,585,C
C_EVT_20130426_000000_7,2013-04-25 00:00:00+00:00,2013-04-26 00:00:00+00:00,38.9849,1,668,C
C_EVT_20130610_000000_8,2013-06-07 00:00:00+00:00,2013-06-10 00:00:00+00:00,43.1424,1,698,C
C_EVT_20130731_000000_9,2013-07-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,42.9016,1,734,C
C_EVT_20140106_000000_10,2014-01-03 00:00:00+00:00,2014-01-06 00:00:00+00:00,44.5031,1,843,C
C_EVT_20140723_000000_11,2014-07-22 00:00:00+00:00,2014-07-23 00:00:00+00:00,41.1914,1,980,C
C_EVT_20150127_000000_12,2015-01-26 00:00:00+00:00,2015-01-27 00:00:00+00:00,39.9032,-1,1109,C
C_EVT_20150511_000000_13,2015-05-08 00:00:00+00:00,2015-05-11 00:00:00+00:00,44.8398,1,1181,C
C_EVT_20150729_000000_14,2015-07-28 00:00:00+00:00,2015-07-29 00:00:00+00:00,48.6976,1,1236,C
C_EVT_20160203_000000_15,2016-02-02 00:00:00+00:00,2016-02-03 00:00:00+00:00,33.9054,-1,1366,C
C_EVT_20160321_000000_16,2016-03-18 00:00:00+00:00,2016-03-21 00:00:00+00:00,36.2255,1,1398,C
C_EVT_20160526_000000_17,2016-05-25 00:00:00+00:00,2016-05-26 00:00:00+00:00,39.2786,1,1445,C
C_EVT_20160705_000000_18,2016-07-01 00:00:00+00:00,2016-07-05 00:00:00+00:00,34.5506,-1,1471,C
C_EVT_20161005_000000_19,2016-10-04 00:00:00+00:00,2016-10-05 00:00:00+00:00,40.2321,1,1536,C
C_EVT_20161025_000000_20,2016-10-24 00:00:00+00:00,2016-10-25 00:00:00+00:00,41.4733,1,1550,C
C_EVT_20170302_000000_21,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,52.0064,1,1637,C
C_EVT_20171127_000000_22,2017-11-24 00:00:00+00:00,2017-11-27 00:00:00+00:00,60.8959,-1,1824,C
C_EVT_20180117_000000_23,2018-01-16 00:00:00+00:00,2018-01-17 00:00:00+00:00,65.5878,1,1858,C
C_EVT_20180417_000000_24,2018-04-16 00:00:00+00:00,2018-04-17 00:00:00+00:00,60.5101,-1,1920,C
C_EVT_20180502_000000_25,2018-05-01 00:00:00+00:00,2018-05-02 00:00:00+00:00,58.198,-1,1931,C
C_EVT_20190524_000000_26,2019-05-23 00:00:00+00:00,2019-05-24 00:00:00+00:00,56.8118,-1,2198,C
C_EVT_20190628_000000_27,2019-06-27 00:00:00+00:00,2019-06-28 00:00:00+00:00,61.2208,1,2222,C
C_EVT_20190930_000000_28,2019-09-27 00:00:00+00:00,2019-09-30 00:00:00+00:00,62.142,1,2286,C
C_EVT_20201029_000000_29,2020-10-28 00:00:00+00:00,2020-10-29 00:00:00+00:00,37.8984,-1,2560,C
C_EVT_20201202_000000_30,2020-12-01 00:00:00+00:00,2020-12-02 00:00:00+00:00,51.6442,1,2583,C
C_EVT_20201222_000000_31,2020-12-21 00:00:00+00:00,2020-12-22 00:00:00+00:00,56.9988,1,2597,C
C_EVT_20211230_000000_32,2021-12-29 00:00:00+00:00,2021-12-30 00:00:00+00:00,58.2773,-1,2854,C
C_EVT_20221020_000000_33,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,42.8936,-1,3057,C
C_EVT_20230601_000000_34,2023-05-31 00:00:00+00:00,2023-06-01 00:00:00+00:00,44.6801,-1,3210,C
C_EVT_20231214_000000_35,2023-12-13 00:00:00+00:00,2023-12-14 00:00:00+00:00,50.01,1,3346,C
C_EVT_20240306_000000_36,2024-03-05 00:00:00+00:00,2024-03-06 00:00:00+00:00,57.07,1,3401,C
C_EVT_20240409_000000_37,2024-04-08 00:00:00+00:00,2024-04-09 00:00:00+00:00,61.75,1,3424,C
C_EVT_20240513_000000_38,2024-05-10 00:00:00+00:00,2024-05-13 00:00:00+00:00,63.62,1,3448,C
C_EVT_20241016_000000_39,2024-10-15 00:00:00+00:00,2024-10-16 00:00:00+00:00,63.44,1,3556,C
C_EVT_20250404_000000_40,2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,60.25,-1,3672,C
C_EVT_20250710_000000_41,2025-07-09 00:00:00+00:00,2025-07-10 00:00:00+00:00,85.83,1,3737,C
