event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
DHR_EVT_20111004_000000_0,2011-10-03 00:00:00+00:00,2011-10-04 00:00:00+00:00,28.8035,-1,277,DHR
DHR_EVT_20120113_000000_1,2012-01-12 00:00:00+00:00,2012-01-13 00:00:00+00:00,36.3217,1,347,DHR
DHR_EVT_20120222_000000_2,2012-02-21 00:00:00+00:00,2012-02-22 00:00:00+00:00,38.3431,1,373,DHR
DHR_EVT_20120402_000000_3,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,40.4628,1,401,DHR
DHR_EVT_20120611_000000_4,2012-06-08 00:00:00+00:00,2012-06-11 00:00:00+00:00,37.4216,-1,449,DHR
DHR_EVT_20121012_000000_5,2012-10-11 00:00:00+00:00,2012-10-12 00:00:00+00:00,40.5741,1,536,DHR
DHR_EVT_20130722_000000_6,2013-07-19 00:00:00+00:00,2013-07-22 00:00:00+00:00,49.7641,1,727,DHR
DHR_EVT_20131018_000000_7,2013-10-17 00:00:00+00:00,2013-10-18 00:00:00+00:00,52.6344,1,790,DHR
DHR_EVT_20140227_000000_8,2014-02-26 00:00:00+00:00,2014-02-27 00:00:00+00:00,55.3124,1,879,DHR
DHR_EVT_20140620_000000_9,2014-06-19 00:00:00+00:00,2014-06-20 00:00:00+00:00,58.1789,1,958,DHR
DHR_EVT_20140724_000000_10,2014-07-23 00:00:00+00:00,2014-07-24 00:00:00+00:00,54.9886,-1,981,DHR
DHR_EVT_20150506_000000_11,2015-05-05 00:00:00+00:00,2015-05-06 00:00:00+00:00,60.2863,-1,1178,DHR
DHR_EVT_20150514_000000_12,2015-05-13 00:00:00+00:00,2015-05-14 00:00:00+00:00,64.149,1,1184,DHR
DHR_EVT_20150522_000000_13,2015-05-21 00:00:00+00:00,2015-05-22 00:00:00+00:00,63.3993,1,1190,DHR
DHR_EVT_20150929_000000_14,2015-09-28 00:00:00+00:00,2015-09-29 00:00:00+00:00,60.5352,-1,1279,DHR
DHR_EVT_20151127_000000_15,2015-11-25 00:00:00+00:00,2015-11-27 00:00:00+00:00,71.1006,1,1321,DHR
DHR_EVT_20160226_000000_16,2016-02-25 00:00:00+00:00,2016-02-26 00:00:00+00:00,64.8678,1,1382,DHR
DHR_EVT_20170111_000000_17,2017-01-10 00:00:00+00:00,2017-01-11 00:00:00+00:00,78.8026,1,1603,DHR
DHR_EVT_20170818_000000_18,2017-08-17 00:00:00+00:00,2017-08-18 00:00:00+00:00,78.7986,-1,1755,DHR
DHR_EVT_20171002_000000_19,2017-09-29 00:00:00+00:00,2017-10-02 00:00:00+00:00,84.0674,1,1785,DHR
DHR_EVT_20180717_000000_20,2018-07-16 00:00:00+00:00,2018-07-17 00:00:00+00:00,96.464,-1,1983,DHR
DHR_EVT_20180830_000000_21,2018-08-29 00:00:00+00:00,2018-08-30 00:00:00+00:00,101.142,1,2015,DHR
DHR_EVT_20180926_000000_22,2018-09-25 00:00:00+00:00,2018-09-26 00:00:00+00:00,106.262,1,2033,DHR
DHR_EVT_20181029_000000_23,2018-10-26 00:00:00+00:00,2018-10-29 00:00:00+00:00,96.7156,-1,2056,DHR
DHR_EVT_20190212_000000_24,2019-02-11 00:00:00+00:00,2019-02-12 00:00:00+00:00,108.867,1,2127,DHR
DHR_EVT_20191105_000000_25,2019-11-04 00:00:00+00:00,2019-11-05 00:00:00+00:00,133.658,-1,2312,DHR
DHR_EVT_20200325_000000_26,2020-03-24 00:00:00+00:00,2020-03-25 00:00:00+00:00,125.394,-1,2408,DHR
DHR_EVT_20200716_000000_27,2020-07-15 00:00:00+00:00,2020-07-16 00:00:00+00:00,186.914,1,2486,DHR
DHR_EVT_20201103_000000_28,2020-11-02 00:00:00+00:00,2020-11-03 00:00:00+00:00,233.562,1,2563,DHR
DHR_EVT_20210216_000000_29,2021-02-12 00:00:00+00:00,2021-02-16 00:00:00+00:00,246.357,1,2633,DHR
DHR_EVT_20210723_000000_30,2021-07-22 00:00:00+00:00,2021-07-23 00:00:00+00:00,288.884,1,2743,DHR
DHR_EVT_20210823_000000_31,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,320.343,1,2764,DHR
DHR_EVT_20211108_000000_32,2021-11-05 00:00:00+00:00,2021-11-08 00:00:00+00:00,293.585,-1,2818,DHR
DHR_EVT_20211223_000000_33,2021-12-22 00:00:00+00:00,2021-12-23 00:00:00+00:00,317.299,1,2850,DHR
DHR_EVT_20220217_000000_34,2022-02-16 00:00:00+00:00,2022-02-17 00:00:00+00:00,266.937,-1,2888,DHR
DHR_EVT_20220307_000000_35,2022-03-04 00:00:00+00:00,2022-03-07 00:00:00+00:00,270.061,-1,2899,DHR
DHR_EVT_20230124_000000_36,2023-01-23 00:00:00+00:00,2023-01-24 00:00:00+00:00,273.0,1,3121,DHR
DHR_EVT_20230601_000000_37,2023-05-31 00:00:00+00:00,2023-06-01 00:00:00+00:00,229.71,-1,3210,DHR
DHR_EVT_20231019_000000_38,2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,208.47,-1,3307,DHR
DHR_EVT_20240927_000000_39,2024-09-26 00:00:00+00:00,2024-09-27 00:00:00+00:00,277.49,1,3543,DHR
DHR_EVT_20241220_000000_40,2024-12-19 00:00:00+00:00,2024-12-20 00:00:00+00:00,226.96,-1,3602,DHR
DHR_EVT_20250401_000000_41,2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,204.99,-1,3669,DHR
