event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
DIS_EVT_20101223_000000_0,2010-12-22 00:00:00+00:00,2010-12-23 00:00:00+00:00,33.328,1,81,DIS
DIS_EVT_20110124_000000_1,2011-01-21 00:00:00+00:00,2011-01-24 00:00:00+00:00,34.905,1,101,DIS
DIS_EVT_20110525_000000_2,2011-05-24 00:00:00+00:00,2011-05-25 00:00:00+00:00,36.033,-1,186,DIS
DIS_EVT_20110602_000000_3,2011-06-01 00:00:00+00:00,2011-06-02 00:00:00+00:00,35.531,-1,191,DIS
DIS_EVT_20110623_000000_4,2011-06-22 00:00:00+00:00,2011-06-23 00:00:00+00:00,33.355,-1,206,DIS
DIS_EVT_20111028_000000_5,2011-10-27 00:00:00+00:00,2011-10-28 00:00:00+00:00,31.902,1,295,DIS
DIS_EVT_20111222_000000_6,2011-12-21 00:00:00+00:00,2011-12-22 00:00:00+00:00,32.574,1,333,DIS
DIS_EVT_20120327_000000_7,2012-03-26 00:00:00+00:00,2012-03-27 00:00:00+00:00,39.743,1,397,DIS
DIS_EVT_20120523_000000_8,2012-05-22 00:00:00+00:00,2012-05-23 00:00:00+00:00,39.61,1,437,DIS
DIS_EVT_20121115_000000_9,2012-11-14 00:00:00+00:00,2012-11-15 00:00:00+00:00,42.297,-1,558,DIS
DIS_EVT_20130409_000000_10,2013-04-08 00:00:00+00:00,2013-04-09 00:00:00+00:00,53.38,1,655,DIS
DIS_EVT_20130521_000000_11,2013-05-20 00:00:00+00:00,2013-05-21 00:00:00+00:00,60.318,1,685,DIS
DIS_EVT_20130621_000000_12,2013-06-20 00:00:00+00:00,2013-06-21 00:00:00+00:00,56.927,-1,707,DIS
DIS_EVT_20130905_000000_13,2013-09-04 00:00:00+00:00,2013-09-05 00:00:00+00:00,55.519,-1,759,DIS
DIS_EVT_20131021_000000_14,2013-10-18 00:00:00+00:00,2013-10-21 00:00:00+00:00,61.156,1,791,DIS
DIS_EVT_20140305_000000_15,2014-03-04 00:00:00+00:00,2014-03-05 00:00:00+00:00,75.557,1,883,DIS
DIS_EVT_20140918_000000_16,2014-09-17 00:00:00+00:00,2014-09-18 00:00:00+00:00,83.113,1,1020,DIS
DIS_EVT_20150330_000000_17,2015-03-27 00:00:00+00:00,2015-03-30 00:00:00+00:00,98.842,1,1152,DIS
DIS_EVT_20150729_000000_18,2015-07-28 00:00:00+00:00,2015-07-29 00:00:00+00:00,111.42,1,1236,DIS
DIS_EVT_20151118_000000_19,2015-11-17 00:00:00+00:00,2015-11-18 00:00:00+00:00,108.95,1,1315,DIS
DIS_EVT_20160209_000000_20,2016-02-08 00:00:00+00:00,2016-02-09 00:00:00+00:00,85.051,-1,1370,DIS
DIS_EVT_20160503_000000_21,2016-05-02 00:00:00+00:00,2016-05-03 00:00:00+00:00,98.003,1,1428,DIS
DIS_EVT_20170412_000000_22,2017-04-11 00:00:00+00:00,2017-04-12 00:00:00+00:00,108.24,1,1666,DIS
DIS_EVT_20180302_000000_23,2018-03-01 00:00:00+00:00,2018-03-02 00:00:00+00:00,99.196,-1,1889,DIS
DIS_EVT_20180806_000000_24,2018-08-03 00:00:00+00:00,2018-08-06 00:00:00+00:00,112.41,1,1997,DIS
DIS_EVT_20190103_000000_25,2019-01-02 00:00:00+00:00,2019-01-03 00:00:00+00:00,107.17,-1,2100,DIS
DIS_EVT_20190312_000000_26,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,113.33,1,2146,DIS
