event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
DVN_EVT_20110520_000000_0,2011-05-19 00:00:00+00:00,2011-05-20 00:00:00+00:00,61.6705,-1,183,DVN
DVN_EVT_20120227_000000_1,2012-02-24 00:00:00+00:00,2012-02-27 00:00:00+00:00,56.4144,1,376,DVN
DVN_EVT_20120320_000000_2,2012-03-19 00:00:00+00:00,2012-03-20 00:00:00+00:00,56.6224,1,392,DVN
DVN_EVT_20120611_000000_3,2012-06-08 00:00:00+00:00,2012-06-11 00:00:00+00:00,44.8085,-1,449,DVN
DVN_EVT_20120711_000000_4,2012-07-10 00:00:00+00:00,2012-07-11 00:00:00+00:00,42.0811,-1,470,DVN
DVN_EVT_20130122_000000_5,2013-01-18 00:00:00+00:00,2013-01-22 00:00:00+00:00,41.3528,1,602,DVN
DVN_EVT_20130405_000000_6,2013-04-04 00:00:00+00:00,2013-04-05 00:00:00+00:00,40.5471,-1,653,DVN
DVN_EVT_20130620_000000_7,2013-06-19 00:00:00+00:00,2013-06-20 00:00:00+00:00,41.2784,-1,706,DVN
DVN_EVT_20130701_000000_8,2013-06-28 00:00:00+00:00,2013-07-01 00:00:00+00:00,40.0549,-1,713,DVN
DVN_EVT_20131121_000000_9,2013-11-20 00:00:00+00:00,2013-11-21 00:00:00+00:00,48.7649,1,814,DVN
DVN_EVT_20140529_000000_10,2014-05-28 00:00:00+00:00,2014-05-29 00:00:00+00:00,57.2152,1,942,DVN
DVN_EVT_20140721_000000_11,2014-07-18 00:00:00+00:00,2014-07-21 00:00:00+00:00,59.9425,1,978,DVN
DVN_EVT_20141212_000000_12,2014-12-11 00:00:00+00:00,2014-12-12 00:00:00+00:00,41.4808,-1,1080,DVN
DVN_EVT_20150619_000000_13,2015-06-18 00:00:00+00:00,2015-06-19 00:00:00+00:00,48.4252,-1,1209,DVN
DVN_EVT_20151214_000000_14,2015-12-11 00:00:00+00:00,2015-12-14 00:00:00+00:00,26.7589,-1,1332,DVN
DVN_EVT_20151229_000000_15,2015-12-28 00:00:00+00:00,2015-12-29 00:00:00+00:00,25.9071,-1,1342,DVN
DVN_EVT_20160317_000000_16,2016-03-16 00:00:00+00:00,2016-03-17 00:00:00+00:00,21.9082,1,1396,DVN
DVN_EVT_20160722_000000_17,2016-07-21 00:00:00+00:00,2016-07-22 00:00:00+00:00,30.5251,1,1484,DVN
DVN_EVT_20160824_000000_18,2016-08-23 00:00:00+00:00,2016-08-24 00:00:00+00:00,36.4034,1,1507,DVN
DVN_EVT_20170106_000000_19,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,39.91,1,1600,DVN
DVN_EVT_20170614_000000_20,2017-06-13 00:00:00+00:00,2017-06-14 00:00:00+00:00,27.1955,-1,1709,DVN
DVN_EVT_20171222_000000_21,2017-12-21 00:00:00+00:00,2017-12-22 00:00:00+00:00,33.6656,1,1843,DVN
DVN_EVT_20180607_000000_22,2018-06-06 00:00:00+00:00,2018-06-07 00:00:00+00:00,34.1842,1,1956,DVN
DVN_EVT_20180906_000000_23,2018-09-05 00:00:00+00:00,2018-09-06 00:00:00+00:00,34.1023,-1,2019,DVN
DVN_EVT_20181009_000000_24,2018-10-08 00:00:00+00:00,2018-10-09 00:00:00+00:00,31.9839,-1,2042,DVN
DVN_EVT_20181105_000000_25,2018-11-02 00:00:00+00:00,2018-11-05 00:00:00+00:00,27.0637,-1,2061,DVN
DVN_EVT_20190823_000000_26,2019-08-22 00:00:00+00:00,2019-08-23 00:00:00+00:00,18.7386,-1,2261,DVN
DVN_EVT_20191018_000000_27,2019-10-17 00:00:00+00:00,2019-10-18 00:00:00+00:00,17.0126,-1,2300,DVN
DVN_EVT_20200117_000000_28,2020-01-16 00:00:00+00:00,2020-01-17 00:00:00+00:00,22.2565,1,2362,DVN
DVN_EVT_20200305_000000_29,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,13.0966,-1,2394,DVN
DVN_EVT_20200327_000000_30,2020-03-26 00:00:00+00:00,2020-03-27 00:00:00+00:00,5.87813,-1,2410,DVN
DVN_EVT_20210120_000000_31,2021-01-19 00:00:00+00:00,2021-01-20 00:00:00+00:00,17.6412,1,2615,DVN
DVN_EVT_20210225_000000_32,2021-02-24 00:00:00+00:00,2021-02-25 00:00:00+00:00,19.5131,1,2640,DVN
DVN_EVT_20220713_000000_33,2022-07-12 00:00:00+00:00,2022-07-13 00:00:00+00:00,49.08,-1,2987,DVN
DVN_EVT_20230104_000000_34,2023-01-03 00:00:00+00:00,2023-01-04 00:00:00+00:00,56.88,-1,3108,DVN
DVN_EVT_20230310_000000_35,2023-03-09 00:00:00+00:00,2023-03-10 00:00:00+00:00,52.85,-1,3153,DVN
DVN_EVT_20231117_000000_36,2023-11-16 00:00:00+00:00,2023-11-17 00:00:00+00:00,44.8,-1,3328,DVN
DVN_EVT_20240424_000000_37,2024-04-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,52.2,1,3435,DVN
DVN_EVT_20240909_000000_38,2024-09-06 00:00:00+00:00,2024-09-09 00:00:00+00:00,41.5,-1,3529,DVN
DVN_EVT_20241024_000000_39,2024-10-23 00:00:00+00:00,2024-10-24 00:00:00+00:00,39.71,-1,3562,DVN
