event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
EOG_EVT_20110524_000000_0,2011-05-23 00:00:00+00:00,2011-05-24 00:00:00+00:00,42.083,-1,185,EOG
EOG_EVT_20120201_000000_1,2012-01-31 00:00:00+00:00,2012-02-01 00:00:00+00:00,42.9607,1,359,EOG
EOG_EVT_20120319_000000_2,2012-03-16 00:00:00+00:00,2012-03-19 00:00:00+00:00,46.9186,1,391,EOG
EOG_EVT_20120622_000000_3,2012-06-21 00:00:00+00:00,2012-06-22 00:00:00+00:00,35.3311,-1,458,EOG
EOG_EVT_20120827_000000_4,2012-08-24 00:00:00+00:00,2012-08-27 00:00:00+00:00,43.9868,1,503,EOG
EOG_EVT_20130823_000000_5,2013-08-22 00:00:00+00:00,2013-08-23 00:00:00+00:00,62.6768,1,751,EOG
EOG_EVT_20131028_000000_6,2013-10-25 00:00:00+00:00,2013-10-28 00:00:00+00:00,74.6986,1,796,EOG
EOG_EVT_20140226_000000_7,2014-02-25 00:00:00+00:00,2014-02-26 00:00:00+00:00,74.692,1,878,EOG
EOG_EVT_20140905_000000_8,2014-09-04 00:00:00+00:00,2014-09-05 00:00:00+00:00,85.1083,-1,1011,EOG
EOG_EVT_20150113_000000_9,2015-01-12 00:00:00+00:00,2015-01-13 00:00:00+00:00,69.4335,-1,1100,EOG
EOG_EVT_20150416_000000_10,2015-04-15 00:00:00+00:00,2015-04-16 00:00:00+00:00,80.2411,1,1164,EOG
EOG_EVT_20151104_000000_11,2015-11-03 00:00:00+00:00,2015-11-04 00:00:00+00:00,72.8566,1,1305,EOG
EOG_EVT_20160302_000000_12,2016-03-01 00:00:00+00:00,2016-03-02 00:00:00+00:00,53.6248,-1,1385,EOG
EOG_EVT_20170505_000000_13,2017-05-04 00:00:00+00:00,2017-05-05 00:00:00+00:00,74.1839,-1,1682,EOG
EOG_EVT_20170825_000000_14,2017-08-24 00:00:00+00:00,2017-08-25 00:00:00+00:00,70.9679,-1,1760,EOG
EOG_EVT_20171222_000000_15,2017-12-21 00:00:00+00:00,2017-12-22 00:00:00+00:00,89.2361,1,1843,EOG
EOG_EVT_20180201_000000_16,2018-01-31 00:00:00+00:00,2018-02-01 00:00:00+00:00,96.543,1,1869,EOG
EOG_EVT_20190524_000000_17,2019-05-23 00:00:00+00:00,2019-05-24 00:00:00+00:00,75.8853,-1,2198,EOG
EOG_EVT_20190613_000000_18,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00,72.9715,-1,2211,EOG
EOG_EVT_20190730_000000_19,2019-07-29 00:00:00+00:00,2019-07-30 00:00:00+00:00,70.8946,-1,2243,EOG
EOG_EVT_20190802_000000_20,2019-08-01 00:00:00+00:00,2019-08-02 00:00:00+00:00,70.4263,-1,2246,EOG
EOG_EVT_20191015_000000_21,2019-10-14 00:00:00+00:00,2019-10-15 00:00:00+00:00,57.3262,-1,2297,EOG
EOG_EVT_20200115_000000_22,2020-01-14 00:00:00+00:00,2020-01-15 00:00:00+00:00,72.9639,1,2360,EOG
EOG_EVT_20200225_000000_23,2020-02-24 00:00:00+00:00,2020-02-25 00:00:00+00:00,59.9379,-1,2387,EOG
EOG_EVT_20200305_000000_24,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,52.786,-1,2394,EOG
EOG_EVT_20200318_000000_25,2020-03-17 00:00:00+00:00,2020-03-18 00:00:00+00:00,24.0864,-1,2403,EOG
EOG_EVT_20200617_000000_26,2020-06-16 00:00:00+00:00,2020-06-17 00:00:00+00:00,46.9822,1,2466,EOG
EOG_EVT_20200930_000000_27,2020-09-29 00:00:00+00:00,2020-09-30 00:00:00+00:00,31.6638,-1,2539,EOG
EOG_EVT_20210728_000000_28,2021-07-27 00:00:00+00:00,2021-07-28 00:00:00+00:00,66.2557,-1,2746,EOG
EOG_EVT_20210831_000000_29,2021-08-30 00:00:00+00:00,2021-08-31 00:00:00+00:00,60.9031,-1,2770,EOG
EOG_EVT_20221216_000000_30,2022-12-15 00:00:00+00:00,2022-12-16 00:00:00+00:00,125.0,-1,3097,EOG
EOG_EVT_20230307_000000_31,2023-03-06 00:00:00+00:00,2023-03-07 00:00:00+00:00,119.8,-1,3150,EOG
EOG_EVT_20230323_000000_32,2023-03-22 00:00:00+00:00,2023-03-23 00:00:00+00:00,106.4,-1,3162,EOG
EOG_EVT_20230531_000000_33,2023-05-30 00:00:00+00:00,2023-05-31 00:00:00+00:00,107.73,-1,3209,EOG
EOG_EVT_20240418_000000_34,2024-04-17 00:00:00+00:00,2024-04-18 00:00:00+00:00,133.03,1,3431,EOG
EOG_EVT_20250312_000000_35,2025-03-11 00:00:00+00:00,2025-03-12 00:00:00+00:00,124.49,-1,3655,EOG
EOG_EVT_20250730_000000_36,2025-07-29 00:00:00+00:00,2025-07-30 00:00:00+00:00,122.56,1,3751,EOG
