event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
FIS_EVT_20110228_000000_0,2011-02-25 00:00:00+00:00,2011-02-28 00:00:00+00:00,26.7567,1,124,FIS
FIS_EVT_20110706_000000_1,2011-07-05 00:00:00+00:00,2011-07-06 00:00:00+00:00,25.8195,-1,213,FIS
FIS_EVT_20110912_000000_2,2011-09-09 00:00:00+00:00,2011-09-12 00:00:00+00:00,21.0128,-1,260,FIS
FIS_EVT_20120118_000000_3,2012-01-17 00:00:00+00:00,2012-01-18 00:00:00+00:00,22.7543,1,348,FIS
FIS_EVT_20120222_000000_4,2012-02-21 00:00:00+00:00,2012-02-22 00:00:00+00:00,25.9119,1,372,FIS
FIS_EVT_20120731_000000_5,2012-07-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,27.0044,-1,483,FIS
FIS_EVT_20120808_000000_6,2012-08-07 00:00:00+00:00,2012-08-08 00:00:00+00:00,26.383,-1,489,FIS
FIS_EVT_20130409_000000_7,2013-04-08 00:00:00+00:00,2013-04-09 00:00:00+00:00,34.071,1,654,FIS
FIS_EVT_20130823_000000_8,2013-08-22 00:00:00+00:00,2013-08-23 00:00:00+00:00,40.0528,1,750,FIS
FIS_EVT_20140305_000000_9,2014-03-04 00:00:00+00:00,2014-03-05 00:00:00+00:00,49.8266,1,882,FIS
FIS_EVT_20140428_000000_10,2014-04-25 00:00:00+00:00,2014-04-28 00:00:00+00:00,46.1124,-1,919,FIS
FIS_EVT_20141219_000000_11,2014-12-18 00:00:00+00:00,2014-12-19 00:00:00+00:00,57.0524,1,1084,FIS
FIS_EVT_20170216_000000_12,2017-02-15 00:00:00+00:00,2017-02-16 00:00:00+00:00,75.0393,1,1627,FIS
FIS_EVT_20170314_000000_13,2017-03-13 00:00:00+00:00,2017-03-14 00:00:00+00:00,76.2027,1,1644,FIS
FIS_EVT_20170413_000000_14,2017-04-12 00:00:00+00:00,2017-04-13 00:00:00+00:00,74.4248,-1,1666,FIS
FIS_EVT_20170919_000000_15,2017-09-18 00:00:00+00:00,2017-09-19 00:00:00+00:00,87.1093,1,1775,FIS
FIS_EVT_20171027_000000_16,2017-10-26 00:00:00+00:00,2017-10-27 00:00:00+00:00,89.6011,1,1803,FIS
FIS_EVT_20171120_000000_17,2017-11-17 00:00:00+00:00,2017-11-20 00:00:00+00:00,86.1042,-1,1819,FIS
FIS_EVT_20190211_000000_18,2019-02-08 00:00:00+00:00,2019-02-11 00:00:00+00:00,103.696,1,2125,FIS
FIS_EVT_20190501_000000_19,2019-04-30 00:00:00+00:00,2019-05-01 00:00:00+00:00,109.912,1,2180,FIS
FIS_EVT_20190906_000000_20,2019-09-05 00:00:00+00:00,2019-09-06 00:00:00+00:00,132.304,1,2269,FIS
FIS_EVT_20200608_000000_21,2020-06-05 00:00:00+00:00,2020-06-08 00:00:00+00:00,136.679,1,2458,FIS
FIS_EVT_20210125_000000_22,2021-01-22 00:00:00+00:00,2021-01-25 00:00:00+00:00,124.573,-1,2617,FIS
FIS_EVT_20210324_000000_23,2021-03-23 00:00:00+00:00,2021-03-24 00:00:00+00:00,137.702,1,2658,FIS
FIS_EVT_20210929_000000_24,2021-09-28 00:00:00+00:00,2021-09-29 00:00:00+00:00,119.165,-1,2789,FIS
FIS_EVT_20220301_000000_25,2022-02-28 00:00:00+00:00,2022-03-01 00:00:00+00:00,92.8846,-1,2894,FIS
FIS_EVT_20220311_000000_26,2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,89.9394,-1,2902,FIS
FIS_EVT_20220715_000000_27,2022-07-14 00:00:00+00:00,2022-07-15 00:00:00+00:00,93.0159,-1,2988,FIS
FIS_EVT_20230123_000000_28,2023-01-20 00:00:00+00:00,2023-01-23 00:00:00+00:00,74.49,1,3119,FIS
FIS_EVT_20230308_000000_29,2023-03-07 00:00:00+00:00,2023-03-08 00:00:00+00:00,62.33,-1,3150,FIS
FIS_EVT_20230519_000000_30,2023-05-18 00:00:00+00:00,2023-05-19 00:00:00+00:00,58.28,1,3201,FIS
FIS_EVT_20230801_000000_31,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,60.4,1,3250,FIS
FIS_EVT_20230906_000000_32,2023-09-05 00:00:00+00:00,2023-09-06 00:00:00+00:00,55.19,-1,3275,FIS
FIS_EVT_20240312_000000_33,2024-03-11 00:00:00+00:00,2024-03-12 00:00:00+00:00,70.02,1,3404,FIS
FIS_EVT_20250117_000000_34,2025-01-16 00:00:00+00:00,2025-01-17 00:00:00+00:00,78.91,-1,3618,FIS
FIS_EVT_20250313_000000_35,2025-03-12 00:00:00+00:00,2025-03-13 00:00:00+00:00,68.11,-1,3655,FIS
FIS_EVT_20250815_000000_36,2025-08-14 00:00:00+00:00,2025-08-15 00:00:00+00:00,71.5,-1,3762,FIS
FIS_EVT_20250827_000000_37,2025-08-26 00:00:00+00:00,2025-08-27 00:00:00+00:00,70.2,-1,3770,FIS
