event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
F_EVT_20110211_000000_0,2011-02-10 00:00:00+00:00,2011-02-11 00:00:00+00:00,9.46099,-1,115,F
F_EVT_20110711_000000_1,2011-07-08 00:00:00+00:00,2011-07-11 00:00:00+00:00,8.03733,-1,217,F
F_EVT_20111028_000000_2,2011-10-27 00:00:00+00:00,2011-10-28 00:00:00+00:00,7.04887,1,295,F
F_EVT_20121019_000000_3,2012-10-18 00:00:00+00:00,2012-10-19 00:00:00+00:00,6.22487,1,541,F
F_EVT_20130503_000000_4,2013-05-02 00:00:00+00:00,2013-05-03 00:00:00+00:00,8.27158,1,673,F
F_EVT_20130610_000000_5,2013-06-07 00:00:00+00:00,2013-06-10 00:00:00+00:00,9.66084,1,698,F
F_EVT_20130917_000000_6,2013-09-16 00:00:00+00:00,2013-09-17 00:00:00+00:00,10.6297,1,767,F
F_EVT_20131022_000000_7,2013-10-21 00:00:00+00:00,2013-10-22 00:00:00+00:00,10.7535,1,792,F
F_EVT_20140203_000000_8,2014-01-31 00:00:00+00:00,2014-02-03 00:00:00+00:00,9.31949,-1,862,F
F_EVT_20140530_000000_9,2014-05-29 00:00:00+00:00,2014-05-30 00:00:00+00:00,10.2806,1,943,F
F_EVT_20140923_000000_10,2014-09-22 00:00:00+00:00,2014-09-23 00:00:00+00:00,10.2848,-1,1023,F
F_EVT_20141001_000000_11,2014-09-30 00:00:00+00:00,2014-10-01 00:00:00+00:00,9.31339,-1,1029,F
F_EVT_20141202_000000_12,2014-12-01 00:00:00+00:00,2014-12-02 00:00:00+00:00,10.077,1,1072,F
F_EVT_20150219_000000_13,2015-02-18 00:00:00+00:00,2015-02-19 00:00:00+00:00,10.4042,1,1125,F
F_EVT_20150615_000000_14,2015-06-12 00:00:00+00:00,2015-06-15 00:00:00+00:00,9.76864,-1,1205,F
F_EVT_20150728_000000_15,2015-07-27 00:00:00+00:00,2015-07-28 00:00:00+00:00,9.70508,-1,1235,F
F_EVT_20160422_000000_16,2016-04-21 00:00:00+00:00,2016-04-22 00:00:00+00:00,9.3266,1,1421,F
F_EVT_20160720_000000_17,2016-07-19 00:00:00+00:00,2016-07-20 00:00:00+00:00,9.4159,1,1482,F
F_EVT_20160916_000000_18,2016-09-15 00:00:00+00:00,2016-09-16 00:00:00+00:00,8.42755,-1,1523,F
F_EVT_20170518_000000_19,2017-05-17 00:00:00+00:00,2017-05-18 00:00:00+00:00,7.82588,-1,1691,F
F_EVT_20170817_000000_20,2017-08-16 00:00:00+00:00,2017-08-17 00:00:00+00:00,7.9705,-1,1754,F
F_EVT_20170905_000000_21,2017-09-01 00:00:00+00:00,2017-09-05 00:00:00+00:00,8.39201,1,1766,F
F_EVT_20171218_000000_22,2017-12-15 00:00:00+00:00,2017-12-18 00:00:00+00:00,9.46801,1,1839,F
F_EVT_20180209_000000_23,2018-02-08 00:00:00+00:00,2018-02-09 00:00:00+00:00,8.06933,-1,1875,F
F_EVT_20181011_000000_24,2018-10-10 00:00:00+00:00,2018-10-11 00:00:00+00:00,6.945,-1,2044,F
F_EVT_20181204_000000_25,2018-12-03 00:00:00+00:00,2018-12-04 00:00:00+00:00,7.65497,1,2081,F
F_EVT_20181219_000000_26,2018-12-18 00:00:00+00:00,2018-12-19 00:00:00+00:00,6.78128,-1,2091,F
F_EVT_20190102_000000_27,2018-12-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,6.03588,-1,2099,F
F_EVT_20190207_000000_28,2019-02-06 00:00:00+00:00,2019-02-07 00:00:00+00:00,7.02988,1,2124,F
F_EVT_20190508_000000_29,2019-05-07 00:00:00+00:00,2019-05-08 00:00:00+00:00,8.60083,1,2186,F
F_EVT_20200218_000000_30,2020-02-14 00:00:00+00:00,2020-02-18 00:00:00+00:00,7.05897,-1,2382,F
F_EVT_20200615_000000_31,2020-06-12 00:00:00+00:00,2020-06-15 00:00:00+00:00,5.37239,1,2464,F
F_EVT_20201103_000000_32,2020-11-02 00:00:00+00:00,2020-11-03 00:00:00+00:00,6.74593,1,2563,F
F_EVT_20210818_000000_33,2021-08-17 00:00:00+00:00,2021-08-18 00:00:00+00:00,11.2575,-1,2761,F
F_EVT_20211008_000000_34,2021-10-07 00:00:00+00:00,2021-10-08 00:00:00+00:00,12.9697,1,2797,F
F_EVT_20211022_000000_35,2021-10-21 00:00:00+00:00,2021-10-22 00:00:00+00:00,14.2745,1,2807,F
F_EVT_20220809_000000_36,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,13.8441,1,3006,F
F_EVT_20221020_000000_37,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,10.8302,-1,3057,F
F_EVT_20221202_000000_38,2022-12-01 00:00:00+00:00,2022-12-02 00:00:00+00:00,12.4863,1,3087,F
F_EVT_20230517_000000_39,2023-05-16 00:00:00+00:00,2023-05-17 00:00:00+00:00,10.4843,-1,3200,F
F_EVT_20230626_000000_40,2023-06-23 00:00:00+00:00,2023-06-26 00:00:00+00:00,12.9414,1,3226,F
F_EVT_20230712_000000_41,2023-07-11 00:00:00+00:00,2023-07-12 00:00:00+00:00,14.1977,1,3237,F
F_EVT_20230907_000000_42,2023-09-06 00:00:00+00:00,2023-09-07 00:00:00+00:00,11.1587,-1,3277,F
F_EVT_20240409_000000_43,2024-04-08 00:00:00+00:00,2024-04-09 00:00:00+00:00,12.9286,1,3424,F
F_EVT_20250305_000000_44,2025-03-04 00:00:00+00:00,2025-03-05 00:00:00+00:00,9.26,-1,3650,F
F_EVT_20250402_000000_45,2025-04-01 00:00:00+00:00,2025-04-02 00:00:00+00:00,9.835,1,3670,F
F_EVT_20250827_000000_46,2025-08-26 00:00:00+00:00,2025-08-27 00:00:00+00:00,11.82,1,3771,F
