event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
GE_EVT_20110225_000000_0,2011-02-24 00:00:00+00:00,2011-02-25 00:00:00+00:00,100.851,1,124,GE
GE_EVT_20110613_000000_1,2011-06-10 00:00:00+00:00,2011-06-13 00:00:00+00:00,89.1524,-1,198,GE
GE_EVT_20110907_000000_2,2011-09-06 00:00:00+00:00,2011-09-07 00:00:00+00:00,76.0871,-1,258,GE
GE_EVT_20111216_000000_3,2011-12-15 00:00:00+00:00,2011-12-16 00:00:00+00:00,83.984,1,329,GE
GE_EVT_20121012_000000_4,2012-10-11 00:00:00+00:00,2012-10-12 00:00:00+00:00,115.866,1,536,GE
GE_EVT_20130306_000000_5,2013-03-05 00:00:00+00:00,2013-03-06 00:00:00+00:00,123.989,1,632,GE
GE_EVT_20130920_000000_6,2013-09-19 00:00:00+00:00,2013-09-20 00:00:00+00:00,129.699,1,770,GE
GE_EVT_20131112_000000_7,2013-11-11 00:00:00+00:00,2013-11-12 00:00:00+00:00,142.223,1,807,GE
GE_EVT_20131217_000000_8,2013-12-16 00:00:00+00:00,2013-12-17 00:00:00+00:00,143.132,1,831,GE
GE_EVT_20140513_000000_9,2014-05-12 00:00:00+00:00,2014-05-13 00:00:00+00:00,144.543,1,931,GE
GE_EVT_20160203_000000_10,2016-02-02 00:00:00+00:00,2016-02-03 00:00:00+00:00,161.959,-1,1366,GE
GE_EVT_20170209_000000_11,2017-02-08 00:00:00+00:00,2017-02-09 00:00:00+00:00,173.683,-1,1623,GE
GE_EVT_20170801_000000_12,2017-07-31 00:00:00+00:00,2017-08-01 00:00:00+00:00,153.271,-1,1742,GE
GE_EVT_20181203_000000_13,2018-11-30 00:00:00+00:00,2018-12-03 00:00:00+00:00,47.0903,-1,2080,GE
GE_EVT_20190226_000000_14,2019-02-25 00:00:00+00:00,2019-02-26 00:00:00+00:00,67.4445,1,2136,GE
GE_EVT_20190614_000000_15,2019-06-13 00:00:00+00:00,2019-06-14 00:00:00+00:00,64.3603,1,2212,GE
GE_EVT_20190821_000000_16,2019-08-20 00:00:00+00:00,2019-08-21 00:00:00+00:00,52.3883,-1,2259,GE
GE_EVT_20200130_000000_17,2020-01-29 00:00:00+00:00,2020-01-30 00:00:00+00:00,80.9417,1,2370,GE
GE_EVT_20200213_000000_18,2020-02-12 00:00:00+00:00,2020-02-13 00:00:00+00:00,82.1205,1,2380,GE
GE_EVT_20200615_000000_19,2020-06-12 00:00:00+00:00,2020-06-15 00:00:00+00:00,43.6811,1,2464,GE
GE_EVT_20201029_000000_20,2020-10-28 00:00:00+00:00,2020-10-29 00:00:00+00:00,48.2973,1,2560,GE
GE_EVT_20210715_000000_21,2021-07-14 00:00:00+00:00,2021-07-15 00:00:00+00:00,80.2035,-1,2737,GE
GE_EVT_20220413_000000_22,2022-04-12 00:00:00+00:00,2022-04-13 00:00:00+00:00,71.412,-1,2926,GE
GE_EVT_20220630_000000_23,2022-06-29 00:00:00+00:00,2022-06-30 00:00:00+00:00,49.6024,-1,2979,GE
GE_EVT_20221010_000000_24,2022-10-07 00:00:00+00:00,2022-10-10 00:00:00+00:00,51.6489,-1,3049,GE
GE_EVT_20230310_000000_25,2023-03-09 00:00:00+00:00,2023-03-10 00:00:00+00:00,73.092,1,3153,GE
GE_EVT_20231211_000000_26,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,96.0223,1,3343,GE
GE_EVT_20250408_000000_27,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,176.88,-1,3674,GE
GE_EVT_20250724_000000_28,2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,263.5,1,3747,GE
