event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
GILD_EVT_20110331_000000_0,2011-03-30 00:00:00+00:00,2011-03-31 00:00:00+00:00,16.3694,1,148,GILD
GILD_EVT_20110601_000000_1,2011-05-31 00:00:00+00:00,2011-06-01 00:00:00+00:00,16.0479,1,190,GILD
GILD_EVT_20110729_000000_2,2011-07-28 00:00:00+00:00,2011-07-29 00:00:00+00:00,16.4519,1,231,GILD
GILD_EVT_20111108_000000_3,2011-11-07 00:00:00+00:00,2011-11-08 00:00:00+00:00,15.8774,1,302,GILD
GILD_EVT_20120214_000000_4,2012-02-13 00:00:00+00:00,2012-02-14 00:00:00+00:00,21.0321,1,368,GILD
GILD_EVT_20120515_000000_5,2012-05-14 00:00:00+00:00,2012-05-15 00:00:00+00:00,20.1933,1,431,GILD
GILD_EVT_20130211_000000_6,2013-02-08 00:00:00+00:00,2013-02-11 00:00:00+00:00,31.5776,1,616,GILD
GILD_EVT_20130325_000000_7,2013-03-22 00:00:00+00:00,2013-03-25 00:00:00+00:00,35.5255,1,645,GILD
GILD_EVT_20130529_000000_8,2013-05-28 00:00:00+00:00,2013-05-29 00:00:00+00:00,43.1886,1,690,GILD
GILD_EVT_20130621_000000_9,2013-06-20 00:00:00+00:00,2013-06-21 00:00:00+00:00,38.3177,-1,707,GILD
GILD_EVT_20140328_000000_10,2014-03-27 00:00:00+00:00,2014-03-28 00:00:00+00:00,54.5235,-1,900,GILD
GILD_EVT_20150102_000000_11,2014-12-31 00:00:00+00:00,2015-01-02 00:00:00+00:00,73.4529,-1,1093,GILD
GILD_EVT_20150528_000000_12,2015-05-27 00:00:00+00:00,2015-05-28 00:00:00+00:00,86.4684,1,1193,GILD
GILD_EVT_20150908_000000_13,2015-09-04 00:00:00+00:00,2015-09-08 00:00:00+00:00,80.4691,-1,1264,GILD
GILD_EVT_20160105_000000_14,2016-01-04 00:00:00+00:00,2016-01-05 00:00:00+00:00,77.8869,-1,1346,GILD
GILD_EVT_20160414_000000_15,2016-04-13 00:00:00+00:00,2016-04-14 00:00:00+00:00,76.1562,1,1415,GILD
GILD_EVT_20160613_000000_16,2016-06-10 00:00:00+00:00,2016-06-13 00:00:00+00:00,65.967,-1,1456,GILD
GILD_EVT_20170222_000000_17,2017-02-21 00:00:00+00:00,2017-02-22 00:00:00+00:00,55.2432,-1,1631,GILD
GILD_EVT_20170926_000000_18,2017-09-25 00:00:00+00:00,2017-09-26 00:00:00+00:00,68.3622,1,1781,GILD
GILD_EVT_20190321_000000_19,2019-03-20 00:00:00+00:00,2019-03-21 00:00:00+00:00,54.9662,-1,2153,GILD
GILD_EVT_20191009_000000_20,2019-10-08 00:00:00+00:00,2019-10-09 00:00:00+00:00,54.3928,-1,2293,GILD
GILD_EVT_20200420_000000_21,2020-04-17 00:00:00+00:00,2020-04-20 00:00:00+00:00,73.8268,1,2425,GILD
GILD_EVT_20200806_000000_22,2020-08-05 00:00:00+00:00,2020-08-06 00:00:00+00:00,61.9466,-1,2501,GILD
GILD_EVT_20200909_000000_23,2020-09-08 00:00:00+00:00,2020-09-09 00:00:00+00:00,57.6917,-1,2524,GILD
GILD_EVT_20211213_000000_24,2021-12-10 00:00:00+00:00,2021-12-13 00:00:00+00:00,66.3854,1,2842,GILD
GILD_EVT_20220913_000000_25,2022-09-12 00:00:00+00:00,2022-09-13 00:00:00+00:00,66.096,1,3030,GILD
GILD_EVT_20221107_000000_26,2022-11-04 00:00:00+00:00,2022-11-07 00:00:00+00:00,78.9006,1,3069,GILD
GILD_EVT_20230928_000000_27,2023-09-27 00:00:00+00:00,2023-09-28 00:00:00+00:00,75.79,-1,3292,GILD
GILD_EVT_20231103_000000_28,2023-11-02 00:00:00+00:00,2023-11-03 00:00:00+00:00,82.0,1,3318,GILD
GILD_EVT_20231211_000000_29,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,79.63,1,3343,GILD
GILD_EVT_20231226_000000_30,2023-12-22 00:00:00+00:00,2023-12-26 00:00:00+00:00,79.72,1,3353,GILD
GILD_EVT_20240110_000000_31,2024-01-09 00:00:00+00:00,2024-01-10 00:00:00+00:00,83.9,1,3363,GILD
GILD_EVT_20240509_000000_32,2024-05-08 00:00:00+00:00,2024-05-09 00:00:00+00:00,65.18,-1,3446,GILD
GILD_EVT_20240618_000000_33,2024-06-17 00:00:00+00:00,2024-06-18 00:00:00+00:00,64.17,-1,3473,GILD
GILD_EVT_20240829_000000_34,2024-08-28 00:00:00+00:00,2024-08-29 00:00:00+00:00,78.93,1,3523,GILD
GILD_EVT_20250708_000000_35,2025-07-07 00:00:00+00:00,2025-07-08 00:00:00+00:00,111.76,1,3735,GILD
