event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
GOOGL_EVT_20110418_000000_0,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,13.113,-1,160,GOOGL
GOOGL_EVT_20110517_000000_1,2011-05-16 00:00:00+00:00,2011-05-17 00:00:00+00:00,12.8295,-1,180,GOOGL
GOOGL_EVT_20120806_000000_2,2012-08-03 00:00:00+00:00,2012-08-06 00:00:00+00:00,15.9322,1,488,GOOGL
GOOGL_EVT_20120814_000000_3,2012-08-13 00:00:00+00:00,2012-08-14 00:00:00+00:00,16.4215,1,494,GOOGL
GOOGL_EVT_20120906_000000_4,2012-09-05 00:00:00+00:00,2012-09-06 00:00:00+00:00,17.087,1,510,GOOGL
GOOGL_EVT_20121004_000000_5,2012-10-03 00:00:00+00:00,2012-10-04 00:00:00+00:00,19.0001,1,530,GOOGL
GOOGL_EVT_20130131_000000_6,2013-01-30 00:00:00+00:00,2013-01-31 00:00:00+00:00,18.6953,1,609,GOOGL
GOOGL_EVT_20130710_000000_7,2013-07-09 00:00:00+00:00,2013-07-10 00:00:00+00:00,22.5044,1,719,GOOGL
GOOGL_EVT_20131114_000000_8,2013-11-13 00:00:00+00:00,2013-11-14 00:00:00+00:00,25.7547,1,809,GOOGL
GOOGL_EVT_20131122_000000_9,2013-11-21 00:00:00+00:00,2013-11-22 00:00:00+00:00,25.7422,1,815,GOOGL
GOOGL_EVT_20140115_000000_10,2014-01-14 00:00:00+00:00,2014-01-15 00:00:00+00:00,28.7209,1,850,GOOGL
GOOGL_EVT_20140305_000000_11,2014-03-04 00:00:00+00:00,2014-03-05 00:00:00+00:00,30.2653,1,883,GOOGL
GOOGL_EVT_20140414_000000_12,2014-04-11 00:00:00+00:00,2014-04-14 00:00:00+00:00,27.0848,-1,911,GOOGL
GOOGL_EVT_20141212_000000_13,2014-12-11 00:00:00+00:00,2014-12-12 00:00:00+00:00,26.2768,-1,1080,GOOGL
GOOGL_EVT_20141216_000000_14,2014-12-15 00:00:00+00:00,2014-12-16 00:00:00+00:00,25.5873,-1,1082,GOOGL
GOOGL_EVT_20150427_000000_15,2015-04-24 00:00:00+00:00,2015-04-27 00:00:00+00:00,28.5191,1,1171,GOOGL
GOOGL_EVT_20150812_000000_16,2015-08-11 00:00:00+00:00,2015-08-12 00:00:00+00:00,34.599,1,1246,GOOGL
GOOGL_EVT_20151229_000000_17,2015-12-28 00:00:00+00:00,2015-12-29 00:00:00+00:00,39.2074,1,1342,GOOGL
GOOGL_EVT_20160331_000000_18,2016-03-30 00:00:00+00:00,2016-03-31 00:00:00+00:00,38.2782,1,1405,GOOGL
GOOGL_EVT_20160620_000000_19,2016-06-17 00:00:00+00:00,2016-06-20 00:00:00+00:00,35.3872,-1,1461,GOOGL
GOOGL_EVT_20161025_000000_20,2016-10-24 00:00:00+00:00,2016-10-25 00:00:00+00:00,41.7735,1,1550,GOOGL
GOOGL_EVT_20170522_000000_21,2017-05-19 00:00:00+00:00,2017-05-22 00:00:00+00:00,47.6772,1,1693,GOOGL
GOOGL_EVT_20180612_000000_22,2018-06-11 00:00:00+00:00,2018-06-12 00:00:00+00:00,56.845,1,1959,GOOGL
GOOGL_EVT_20180802_000000_23,2018-08-01 00:00:00+00:00,2018-08-02 00:00:00+00:00,60.705,1,1995,GOOGL
GOOGL_EVT_20190613_000000_24,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00,54.0396,-1,2211,GOOGL
GOOGL_EVT_20190729_000000_25,2019-07-26 00:00:00+00:00,2019-07-29 00:00:00+00:00,61.9007,1,2242,GOOGL
GOOGL_EVT_20191129_000000_26,2019-11-27 00:00:00+00:00,2019-11-29 00:00:00+00:00,65.094,1,2329,GOOGL
GOOGL_EVT_20200103_000000_27,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,67.1565,1,2352,GOOGL
GOOGL_EVT_20200211_000000_28,2020-02-10 00:00:00+00:00,2020-02-11 00:00:00+00:00,75.3902,1,2378,GOOGL
GOOGL_EVT_20200323_000000_29,2020-03-20 00:00:00+00:00,2020-03-23 00:00:00+00:00,52.6277,-1,2406,GOOGL
GOOGL_EVT_20210212_000000_30,2021-02-11 00:00:00+00:00,2021-02-12 00:00:00+00:00,103.612,1,2632,GOOGL
GOOGL_EVT_20210618_000000_31,2021-06-17 00:00:00+00:00,2021-06-18 00:00:00+00:00,120.928,1,2719,GOOGL
GOOGL_EVT_20210721_000000_32,2021-07-20 00:00:00+00:00,2021-07-21 00:00:00+00:00,125.678,1,2741,GOOGL
GOOGL_EVT_20210823_000000_33,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,137.47,1,2764,GOOGL
GOOGL_EVT_20230614_000000_34,2023-06-13 00:00:00+00:00,2023-06-14 00:00:00+00:00,122.655,1,3219,GOOGL
GOOGL_EVT_20240409_000000_35,2024-04-08 00:00:00+00:00,2024-04-09 00:00:00+00:00,155.521,1,3424,GOOGL
GOOGL_EVT_20240429_000000_36,2024-04-26 00:00:00+00:00,2024-04-29 00:00:00+00:00,168.447,1,3438,GOOGL
GOOGL_EVT_20241120_000000_37,2024-11-19 00:00:00+00:00,2024-11-20 00:00:00+00:00,177.137,1,3581,GOOGL
GOOGL_EVT_20250417_000000_38,2025-04-16 00:00:00+00:00,2025-04-17 00:00:00+00:00,154.29,-1,3681,GOOGL
