event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
GS_EVT_20101027_000000_0,2010-10-26 00:00:00+00:00,2010-10-27 00:00:00+00:00,129.13,1,41,GS
GS_EVT_20110929_000000_1,2011-09-28 00:00:00+00:00,2011-09-29 00:00:00+00:00,81.6774,-1,274,GS
GS_EVT_20120611_000000_2,2012-06-08 00:00:00+00:00,2012-06-11 00:00:00+00:00,80.4219,-1,449,GS
GS_EVT_20120820_000000_3,2012-08-17 00:00:00+00:00,2012-08-20 00:00:00+00:00,86.5452,1,498,GS
GS_EVT_20121008_000000_4,2012-10-05 00:00:00+00:00,2012-10-08 00:00:00+00:00,99.4736,1,532,GS
GS_EVT_20130103_000000_5,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,111.293,1,590,GS
GS_EVT_20130129_000000_6,2013-01-28 00:00:00+00:00,2013-01-29 00:00:00+00:00,121.77,1,607,GS
GS_EVT_20130528_000000_7,2013-05-24 00:00:00+00:00,2013-05-28 00:00:00+00:00,136.862,1,689,GS
GS_EVT_20131210_000000_8,2013-12-09 00:00:00+00:00,2013-12-10 00:00:00+00:00,143.703,1,826,GS
GS_EVT_20140221_000000_9,2014-02-20 00:00:00+00:00,2014-02-21 00:00:00+00:00,140.645,-1,875,GS
GS_EVT_20140703_000000_10,2014-07-02 00:00:00+00:00,2014-07-03 00:00:00+00:00,144.634,1,967,GS
GS_EVT_20140825_000000_11,2014-08-22 00:00:00+00:00,2014-08-25 00:00:00+00:00,152.308,1,1003,GS
GS_EVT_20150807_000000_12,2015-08-06 00:00:00+00:00,2015-08-07 00:00:00+00:00,179.17,-1,1243,GS
GS_EVT_20160427_000000_13,2016-04-26 00:00:00+00:00,2016-04-27 00:00:00+00:00,146.369,1,1424,GS
GS_EVT_20160706_000000_14,2016-07-05 00:00:00+00:00,2016-07-06 00:00:00+00:00,126.65,-1,1472,GS
GS_EVT_20160810_000000_15,2016-08-09 00:00:00+00:00,2016-08-10 00:00:00+00:00,144.849,1,1497,GS
GS_EVT_20161108_000000_16,2016-11-07 00:00:00+00:00,2016-11-08 00:00:00+00:00,160.236,1,1560,GS
GS_EVT_20170302_000000_17,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,226.839,1,1637,GS
GS_EVT_20171219_000000_18,2017-12-18 00:00:00+00:00,2017-12-19 00:00:00+00:00,236.376,1,1840,GS
GS_EVT_20180502_000000_19,2018-05-01 00:00:00+00:00,2018-05-02 00:00:00+00:00,214.403,-1,1931,GS
GS_EVT_20180524_000000_20,2018-05-23 00:00:00+00:00,2018-05-24 00:00:00+00:00,214.403,-1,1947,GS
GS_EVT_20180629_000000_21,2018-06-28 00:00:00+00:00,2018-06-29 00:00:00+00:00,204.054,-1,1972,GS
GS_EVT_20181221_000000_22,2018-12-20 00:00:00+00:00,2018-12-21 00:00:00+00:00,154.131,-1,2093,GS
GS_EVT_20190711_000000_23,2019-07-10 00:00:00+00:00,2019-07-11 00:00:00+00:00,190.5,1,2230,GS
GS_EVT_20190722_000000_24,2019-07-19 00:00:00+00:00,2019-07-22 00:00:00+00:00,197.164,1,2237,GS
GS_EVT_20200103_000000_25,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,216.539,1,2352,GS
GS_EVT_20200305_000000_26,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,189.393,-1,2394,GS
GS_EVT_20200330_000000_27,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,149.113,-1,2411,GS
GS_EVT_20200429_000000_28,2020-04-28 00:00:00+00:00,2020-04-29 00:00:00+00:00,181.19,1,2432,GS
GS_EVT_20201215_000000_29,2020-12-14 00:00:00+00:00,2020-12-15 00:00:00+00:00,229.319,1,2592,GS
GS_EVT_20210205_000000_30,2021-02-04 00:00:00+00:00,2021-02-05 00:00:00+00:00,282.457,1,2627,GS
GS_EVT_20210309_000000_31,2021-03-08 00:00:00+00:00,2021-03-09 00:00:00+00:00,315.885,1,2648,GS
GS_EVT_20210902_000000_32,2021-09-01 00:00:00+00:00,2021-09-02 00:00:00+00:00,402.316,1,2772,GS
GS_EVT_20211101_000000_33,2021-10-29 00:00:00+00:00,2021-11-01 00:00:00+00:00,404.217,1,2813,GS
GS_EVT_20211129_000000_34,2021-11-26 00:00:00+00:00,2021-11-29 00:00:00+00:00,381.852,-1,2832,GS
GS_EVT_20220506_000000_35,2022-05-05 00:00:00+00:00,2022-05-06 00:00:00+00:00,306.046,-1,2942,GS
GS_EVT_20220617_000000_36,2022-06-16 00:00:00+00:00,2022-06-17 00:00:00+00:00,278.192,-1,2971,GS
GS_EVT_20220623_000000_37,2022-06-22 00:00:00+00:00,2022-06-23 00:00:00+00:00,279.799,-1,2974,GS
GS_EVT_20220804_000000_38,2022-08-03 00:00:00+00:00,2022-08-04 00:00:00+00:00,328.628,1,3003,GS
GS_EVT_20221013_000000_39,2022-10-12 00:00:00+00:00,2022-10-13 00:00:00+00:00,288.528,-1,3052,GS
GS_EVT_20230324_000000_40,2023-03-23 00:00:00+00:00,2023-03-24 00:00:00+00:00,310.15,-1,3163,GS
GS_EVT_20230525_000000_41,2023-05-24 00:00:00+00:00,2023-05-25 00:00:00+00:00,318.92,-1,3206,GS
GS_EVT_20231012_000000_42,2023-10-11 00:00:00+00:00,2023-10-12 00:00:00+00:00,314.15,-1,3302,GS
GS_EVT_20231019_000000_43,2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,301.96,-1,3307,GS
GS_EVT_20231124_000000_44,2023-11-22 00:00:00+00:00,2023-11-24 00:00:00+00:00,338.8,1,3332,GS
GS_EVT_20240423_000000_45,2024-04-22 00:00:00+00:00,2024-04-23 00:00:00+00:00,417.71,1,3434,GS
GS_EVT_20241107_000000_46,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,590.0,1,3572,GS
GS_EVT_20250328_000000_47,2025-03-27 00:00:00+00:00,2025-03-28 00:00:00+00:00,556.1,-1,3667,GS
