event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
HD_EVT_20110310_000000_0,2011-03-09 00:00:00+00:00,2011-03-10 00:00:00+00:00,28.566,1,133,HD
HD_EVT_20110415_000000_1,2011-04-14 00:00:00+00:00,2011-04-15 00:00:00+00:00,29.0263,1,159,HD
HD_EVT_20110616_000000_2,2011-06-15 00:00:00+00:00,2011-06-16 00:00:00+00:00,26.252,-1,201,HD
HD_EVT_20110819_000000_3,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,24.5523,-1,246,HD
HD_EVT_20120702_000000_4,2012-06-29 00:00:00+00:00,2012-07-02 00:00:00+00:00,41.9368,1,464,HD
HD_EVT_20121120_000000_5,2012-11-19 00:00:00+00:00,2012-11-20 00:00:00+00:00,50.3185,1,561,HD
HD_EVT_20130724_000000_6,2013-07-23 00:00:00+00:00,2013-07-24 00:00:00+00:00,64.9896,1,729,HD
HD_EVT_20130828_000000_7,2013-08-27 00:00:00+00:00,2013-08-28 00:00:00+00:00,59.8719,-1,754,HD
HD_EVT_20131210_000000_8,2013-12-09 00:00:00+00:00,2013-12-10 00:00:00+00:00,64.7345,1,826,HD
HD_EVT_20140730_000000_9,2014-07-29 00:00:00+00:00,2014-07-30 00:00:00+00:00,67.2889,1,985,HD
HD_EVT_20150123_000000_10,2015-01-22 00:00:00+00:00,2015-01-23 00:00:00+00:00,88.537,1,1107,HD
HD_EVT_20151030_000000_11,2015-10-29 00:00:00+00:00,2015-10-30 00:00:00+00:00,104.357,1,1302,HD
HD_EVT_20160126_000000_12,2016-01-25 00:00:00+00:00,2016-01-26 00:00:00+00:00,103.552,-1,1360,HD
HD_EVT_20170213_000000_13,2017-02-10 00:00:00+00:00,2017-02-13 00:00:00+00:00,122.011,1,1625,HD
HD_EVT_20170515_000000_14,2017-05-12 00:00:00+00:00,2017-05-15 00:00:00+00:00,137.447,1,1688,HD
HD_EVT_20170921_000000_15,2017-09-20 00:00:00+00:00,2017-09-21 00:00:00+00:00,140.46,1,1778,HD
HD_EVT_20180521_000000_16,2018-05-18 00:00:00+00:00,2018-05-21 00:00:00+00:00,168.202,1,1944,HD
HD_EVT_20180918_000000_17,2018-09-17 00:00:00+00:00,2018-09-18 00:00:00+00:00,188.458,1,2027,HD
HD_EVT_20190412_000000_18,2019-04-11 00:00:00+00:00,2019-04-12 00:00:00+00:00,185.033,1,2169,HD
HD_EVT_20190530_000000_19,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00,174.071,-1,2201,HD
HD_EVT_20191014_000000_20,2019-10-11 00:00:00+00:00,2019-10-14 00:00:00+00:00,217.515,1,2296,HD
HD_EVT_20200714_000000_21,2020-07-13 00:00:00+00:00,2020-07-14 00:00:00+00:00,235.386,1,2484,HD
HD_EVT_20210304_000000_22,2021-03-03 00:00:00+00:00,2021-03-04 00:00:00+00:00,244.61,-1,2645,HD
HD_EVT_20210412_000000_23,2021-04-09 00:00:00+00:00,2021-04-12 00:00:00+00:00,305.473,1,2671,HD
HD_EVT_20210426_000000_24,2021-04-23 00:00:00+00:00,2021-04-26 00:00:00+00:00,311.214,1,2681,HD
HD_EVT_20210812_000000_25,2021-08-11 00:00:00+00:00,2021-08-12 00:00:00+00:00,326.052,1,2757,HD
HD_EVT_20211103_000000_26,2021-11-02 00:00:00+00:00,2021-11-03 00:00:00+00:00,356.159,1,2815,HD
HD_EVT_20220204_000000_27,2022-02-03 00:00:00+00:00,2022-02-04 00:00:00+00:00,354.579,-1,2879,HD
HD_EVT_20220401_000000_28,2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,294.894,-1,2918,HD
HD_EVT_20220630_000000_29,2022-06-29 00:00:00+00:00,2022-06-30 00:00:00+00:00,267.358,-1,2979,HD
HD_EVT_20220811_000000_30,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,309.931,1,3008,HD
HD_EVT_20221202_000000_31,2022-12-01 00:00:00+00:00,2022-12-02 00:00:00+00:00,321.08,1,3087,HD
HD_EVT_20240122_000000_32,2024-01-19 00:00:00+00:00,2024-01-22 00:00:00+00:00,359.36,1,3370,HD
HD_EVT_20240425_000000_33,2024-04-24 00:00:00+00:00,2024-04-25 00:00:00+00:00,329.72,-1,3436,HD
HD_EVT_20240729_000000_34,2024-07-26 00:00:00+00:00,2024-07-29 00:00:00+00:00,359.21,1,3500,HD
HD_EVT_20240911_000000_35,2024-09-10 00:00:00+00:00,2024-09-11 00:00:00+00:00,369.55,1,3531,HD
HD_EVT_20241014_000000_36,2024-10-11 00:00:00+00:00,2024-10-14 00:00:00+00:00,411.48,1,3554,HD
HD_EVT_20241204_000000_37,2024-12-03 00:00:00+00:00,2024-12-04 00:00:00+00:00,426.15,1,3590,HD
HD_EVT_20250825_000000_38,2025-08-22 00:00:00+00:00,2025-08-25 00:00:00+00:00,410.47,1,3769,HD
