event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
IBM_EVT_20101222_000000_0,2010-12-21 00:00:00+00:00,2010-12-22 00:00:00+00:00,95.7125,1,80,IBM
IBM_EVT_20110705_000000_1,2011-07-01 00:00:00+00:00,2011-07-05 00:00:00+00:00,114.544,1,213,IBM
IBM_EVT_20111115_000000_2,2011-11-14 00:00:00+00:00,2011-11-15 00:00:00+00:00,124.771,1,307,IBM
IBM_EVT_20120209_000000_3,2012-02-08 00:00:00+00:00,2012-02-09 00:00:00+00:00,128.958,1,365,IBM
IBM_EVT_20120322_000000_4,2012-03-21 00:00:00+00:00,2012-03-22 00:00:00+00:00,136.287,1,394,IBM
IBM_EVT_20120928_000000_5,2012-09-27 00:00:00+00:00,2012-09-28 00:00:00+00:00,138.561,1,526,IBM
IBM_EVT_20121015_000000_6,2012-10-12 00:00:00+00:00,2012-10-15 00:00:00+00:00,140.728,1,537,IBM
IBM_EVT_20130305_000000_7,2013-03-04 00:00:00+00:00,2013-03-05 00:00:00+00:00,139.879,1,631,IBM
IBM_EVT_20130710_000000_8,2013-07-09 00:00:00+00:00,2013-07-10 00:00:00+00:00,130.774,-1,719,IBM
IBM_EVT_20130828_000000_9,2013-08-27 00:00:00+00:00,2013-08-28 00:00:00+00:00,125.514,-1,754,IBM
IBM_EVT_20140723_000000_10,2014-07-22 00:00:00+00:00,2014-07-23 00:00:00+00:00,135.41,1,980,IBM
IBM_EVT_20141121_000000_11,2014-11-20 00:00:00+00:00,2014-11-21 00:00:00+00:00,114.368,-1,1066,IBM
IBM_EVT_20150521_000000_12,2015-05-20 00:00:00+00:00,2015-05-21 00:00:00+00:00,124.264,1,1189,IBM
IBM_EVT_20150615_000000_13,2015-06-12 00:00:00+00:00,2015-06-15 00:00:00+00:00,118.546,-1,1205,IBM
IBM_EVT_20150804_000000_14,2015-08-03 00:00:00+00:00,2015-08-04 00:00:00+00:00,113.558,-1,1240,IBM
IBM_EVT_20161019_000000_15,2016-10-18 00:00:00+00:00,2016-10-19 00:00:00+00:00,113.548,-1,1546,IBM
IBM_EVT_20161117_000000_16,2016-11-16 00:00:00+00:00,2016-11-17 00:00:00+00:00,120.594,1,1567,IBM
IBM_EVT_20161205_000000_17,2016-12-02 00:00:00+00:00,2016-12-05 00:00:00+00:00,121.853,1,1578,IBM
IBM_EVT_20170123_000000_18,2017-01-20 00:00:00+00:00,2017-01-23 00:00:00+00:00,128.831,1,1610,IBM
IBM_EVT_20170223_000000_19,2017-02-22 00:00:00+00:00,2017-02-23 00:00:00+00:00,138.951,1,1632,IBM
IBM_EVT_20170519_000000_20,2017-05-18 00:00:00+00:00,2017-05-19 00:00:00+00:00,116.418,-1,1692,IBM
IBM_EVT_20171002_000000_21,2017-09-29 00:00:00+00:00,2017-10-02 00:00:00+00:00,113.226,1,1785,IBM
IBM_EVT_20180124_000000_22,2018-01-23 00:00:00+00:00,2018-01-24 00:00:00+00:00,131.203,1,1863,IBM
IBM_EVT_20180502_000000_23,2018-05-01 00:00:00+00:00,2018-05-02 00:00:00+00:00,114.779,-1,1931,IBM
IBM_EVT_20180516_000000_24,2018-05-15 00:00:00+00:00,2018-05-16 00:00:00+00:00,115.451,-1,1941,IBM
IBM_EVT_20180907_000000_25,2018-09-06 00:00:00+00:00,2018-09-07 00:00:00+00:00,118.536,1,2020,IBM
IBM_EVT_20180927_000000_26,2018-09-26 00:00:00+00:00,2018-09-27 00:00:00+00:00,123.464,1,2034,IBM
IBM_EVT_20181018_000000_27,2018-10-17 00:00:00+00:00,2018-10-18 00:00:00+00:00,107.781,-1,2049,IBM
IBM_EVT_20190211_000000_28,2019-02-08 00:00:00+00:00,2019-02-11 00:00:00+00:00,111.724,1,2126,IBM
IBM_EVT_20190411_000000_29,2019-04-10 00:00:00+00:00,2019-04-11 00:00:00+00:00,119.648,1,2168,IBM
IBM_EVT_20190711_000000_30,2019-07-10 00:00:00+00:00,2019-07-11 00:00:00+00:00,118.536,1,2230,IBM
IBM_EVT_20191001_000000_31,2019-09-30 00:00:00+00:00,2019-10-01 00:00:00+00:00,124.02,1,2287,IBM
IBM_EVT_20200212_000000_32,2020-02-11 00:00:00+00:00,2020-02-12 00:00:00+00:00,133.906,1,2379,IBM
IBM_EVT_20200402_000000_33,2020-04-01 00:00:00+00:00,2020-04-02 00:00:00+00:00,91.7757,-1,2414,IBM
IBM_EVT_20200903_000000_34,2020-09-02 00:00:00+00:00,2020-09-03 00:00:00+00:00,114.622,1,2521,IBM
IBM_EVT_20201105_000000_35,2020-11-04 00:00:00+00:00,2020-11-05 00:00:00+00:00,101.3,-1,2565,IBM
IBM_EVT_20210406_000000_36,2021-04-05 00:00:00+00:00,2021-04-06 00:00:00+00:00,124.615,1,2667,IBM
IBM_EVT_20210913_000000_37,2021-09-10 00:00:00+00:00,2021-09-13 00:00:00+00:00,130.12,-1,2778,IBM
IBM_EVT_20211105_000000_38,2021-11-04 00:00:00+00:00,2021-11-05 00:00:00+00:00,114.163,-1,2817,IBM
IBM_EVT_20211110_000000_39,2021-11-09 00:00:00+00:00,2021-11-10 00:00:00+00:00,115.285,-1,2820,IBM
IBM_EVT_20220531_000000_40,2022-05-27 00:00:00+00:00,2022-05-31 00:00:00+00:00,134.872,1,2958,IBM
IBM_EVT_20221007_000000_41,2022-10-06 00:00:00+00:00,2022-10-07 00:00:00+00:00,120.068,-1,3048,IBM
IBM_EVT_20221107_000000_42,2022-11-04 00:00:00+00:00,2022-11-07 00:00:00+00:00,135.03,1,3069,IBM
IBM_EVT_20221202_000000_43,2022-12-01 00:00:00+00:00,2022-12-02 00:00:00+00:00,148.13,1,3087,IBM
IBM_EVT_20230127_000000_44,2023-01-26 00:00:00+00:00,2023-01-27 00:00:00+00:00,134.44,-1,3124,IBM
IBM_EVT_20230217_000000_45,2023-02-16 00:00:00+00:00,2023-02-17 00:00:00+00:00,134.5,-1,3139,IBM
IBM_EVT_20230721_000000_46,2023-07-20 00:00:00+00:00,2023-07-21 00:00:00+00:00,138.21,1,3244,IBM
IBM_EVT_20230921_000000_47,2023-09-20 00:00:00+00:00,2023-09-21 00:00:00+00:00,149.0,1,3287,IBM
IBM_EVT_20240305_000000_48,2024-03-04 00:00:00+00:00,2024-03-05 00:00:00+00:00,192.0,1,3400,IBM
IBM_EVT_20240712_000000_49,2024-07-11 00:00:00+00:00,2024-07-12 00:00:00+00:00,178.56,1,3489,IBM
IBM_EVT_20240807_000000_50,2024-08-06 00:00:00+00:00,2024-08-07 00:00:00+00:00,188.08,1,3507,IBM
IBM_EVT_20240923_000000_51,2024-09-20 00:00:00+00:00,2024-09-23 00:00:00+00:00,218.0,1,3539,IBM
IBM_EVT_20250131_000000_52,2025-01-30 00:00:00+00:00,2025-01-31 00:00:00+00:00,256.05,1,3628,IBM
IBM_EVT_20250311_000000_53,2025-03-10 00:00:00+00:00,2025-03-11 00:00:00+00:00,255.35,1,3654,IBM
