event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
INTC_EVT_20101126_000000_0,2010-11-24 00:00:00+00:00,2010-11-26 00:00:00+00:00,14.8123,1,62,INTC
INTC_EVT_20110330_000000_1,2011-03-29 00:00:00+00:00,2011-03-30 00:00:00+00:00,14.2468,-1,147,INTC
INTC_EVT_20110413_000000_2,2011-04-12 00:00:00+00:00,2011-04-13 00:00:00+00:00,13.8766,-1,157,INTC
INTC_EVT_20110511_000000_3,2011-05-10 00:00:00+00:00,2011-05-11 00:00:00+00:00,16.3656,1,176,INTC
INTC_EVT_20120712_000000_4,2012-07-11 00:00:00+00:00,2012-07-12 00:00:00+00:00,18.3084,-1,471,INTC
INTC_EVT_20121003_000000_5,2012-10-02 00:00:00+00:00,2012-10-03 00:00:00+00:00,16.7787,-1,529,INTC
INTC_EVT_20121129_000000_6,2012-11-28 00:00:00+00:00,2012-11-29 00:00:00+00:00,14.704,-1,567,INTC
INTC_EVT_20130816_000000_7,2013-08-15 00:00:00+00:00,2013-08-16 00:00:00+00:00,16.8549,-1,746,INTC
INTC_EVT_20140113_000000_8,2014-01-10 00:00:00+00:00,2014-01-13 00:00:00+00:00,19.7404,1,848,INTC
INTC_EVT_20140620_000000_9,2014-06-19 00:00:00+00:00,2014-06-20 00:00:00+00:00,23.6095,1,958,INTC
INTC_EVT_20140730_000000_10,2014-07-29 00:00:00+00:00,2014-07-30 00:00:00+00:00,26.9396,1,985,INTC
INTC_EVT_20141229_000000_11,2014-12-26 00:00:00+00:00,2014-12-29 00:00:00+00:00,29.7947,1,1090,INTC
INTC_EVT_20150302_000000_12,2015-02-27 00:00:00+00:00,2015-03-02 00:00:00+00:00,26.6738,-1,1132,INTC
INTC_EVT_20150325_000000_13,2015-03-24 00:00:00+00:00,2015-03-25 00:00:00+00:00,24.6704,-1,1149,INTC
INTC_EVT_20150402_000000_14,2015-04-01 00:00:00+00:00,2015-04-02 00:00:00+00:00,24.6802,-1,1155,INTC
INTC_EVT_20150803_000000_15,2015-07-31 00:00:00+00:00,2015-08-03 00:00:00+00:00,23.4083,-1,1239,INTC
INTC_EVT_20160203_000000_16,2016-02-02 00:00:00+00:00,2016-02-03 00:00:00+00:00,24.5707,-1,1366,INTC
INTC_EVT_20160520_000000_17,2016-05-19 00:00:00+00:00,2016-05-20 00:00:00+00:00,24.7905,-1,1441,INTC
INTC_EVT_20160621_000000_18,2016-06-20 00:00:00+00:00,2016-06-21 00:00:00+00:00,26.9033,1,1462,INTC
INTC_EVT_20161202_000000_19,2016-12-01 00:00:00+00:00,2016-12-02 00:00:00+00:00,28.5473,-1,1577,INTC
INTC_EVT_20170526_000000_20,2017-05-25 00:00:00+00:00,2017-05-26 00:00:00+00:00,31.1456,1,1697,INTC
INTC_EVT_20170622_000000_21,2017-06-21 00:00:00+00:00,2017-06-22 00:00:00+00:00,29.6872,-1,1715,INTC
INTC_EVT_20170915_000000_22,2017-09-14 00:00:00+00:00,2017-09-15 00:00:00+00:00,31.6282,1,1774,INTC
INTC_EVT_20170922_000000_23,2017-09-21 00:00:00+00:00,2017-09-22 00:00:00+00:00,31.9759,1,1779,INTC
INTC_EVT_20171016_000000_24,2017-10-13 00:00:00+00:00,2017-10-16 00:00:00+00:00,34.3633,1,1795,INTC
INTC_EVT_20190424_000000_25,2019-04-23 00:00:00+00:00,2019-04-24 00:00:00+00:00,52.5555,1,2176,INTC
INTC_EVT_20190507_000000_26,2019-05-06 00:00:00+00:00,2019-05-07 00:00:00+00:00,45.7246,-1,2185,INTC
INTC_EVT_20190520_000000_27,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,39.7602,-1,2194,INTC
INTC_EVT_20191016_000000_28,2019-10-15 00:00:00+00:00,2019-10-16 00:00:00+00:00,47.6333,1,2298,INTC
INTC_EVT_20200122_000000_29,2020-01-21 00:00:00+00:00,2020-01-22 00:00:00+00:00,55.8483,1,2364,INTC
INTC_EVT_20200212_000000_30,2020-02-11 00:00:00+00:00,2020-02-12 00:00:00+00:00,62.1545,1,2379,INTC
