event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
JNJ_EVT_20110314_000000_0,2011-03-11 00:00:00+00:00,2011-03-14 00:00:00+00:00,42.5437,-1,135,JNJ
JNJ_EVT_20110418_000000_1,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,43.2282,1,160,JNJ
JNJ_EVT_20110819_000000_2,2011-08-18 00:00:00+00:00,2011-08-19 00:00:00+00:00,45.3111,-1,246,JNJ
JNJ_EVT_20120202_000000_3,2012-02-01 00:00:00+00:00,2012-02-02 00:00:00+00:00,48.4326,1,360,JNJ
JNJ_EVT_20120611_000000_4,2012-06-08 00:00:00+00:00,2012-06-11 00:00:00+00:00,47.1195,-1,449,JNJ
JNJ_EVT_20121002_000000_5,2012-10-01 00:00:00+00:00,2012-10-02 00:00:00+00:00,52.1875,1,528,JNJ
JNJ_EVT_20130206_000000_6,2013-02-05 00:00:00+00:00,2013-02-06 00:00:00+00:00,56.8015,1,613,JNJ
JNJ_EVT_20130321_000000_7,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00,60.7446,1,643,JNJ
JNJ_EVT_20130730_000000_8,2013-07-29 00:00:00+00:00,2013-07-30 00:00:00+00:00,72.3055,1,733,JNJ
JNJ_EVT_20140404_000000_9,2014-04-03 00:00:00+00:00,2014-04-04 00:00:00+00:00,78.0297,1,905,JNJ
JNJ_EVT_20140619_000000_10,2014-06-18 00:00:00+00:00,2014-06-19 00:00:00+00:00,81.9308,1,957,JNJ
JNJ_EVT_20140916_000000_11,2014-09-15 00:00:00+00:00,2014-09-16 00:00:00+00:00,83.7263,1,1018,JNJ
JNJ_EVT_20150707_000000_12,2015-07-06 00:00:00+00:00,2015-07-07 00:00:00+00:00,80.6794,-1,1220,JNJ
JNJ_EVT_20160309_000000_13,2016-03-08 00:00:00+00:00,2016-03-09 00:00:00+00:00,89.3788,1,1390,JNJ
JNJ_EVT_20160405_000000_14,2016-04-04 00:00:00+00:00,2016-04-05 00:00:00+00:00,90.5448,1,1408,JNJ
JNJ_EVT_20160629_000000_15,2016-06-28 00:00:00+00:00,2016-06-29 00:00:00+00:00,100.105,1,1468,JNJ
JNJ_EVT_20160727_000000_16,2016-07-26 00:00:00+00:00,2016-07-27 00:00:00+00:00,105.381,1,1487,JNJ
JNJ_EVT_20161208_000000_17,2016-12-07 00:00:00+00:00,2016-12-08 00:00:00+00:00,94.3801,-1,1581,JNJ
JNJ_EVT_20170104_000000_18,2017-01-03 00:00:00+00:00,2017-01-04 00:00:00+00:00,98.6145,1,1598,JNJ
JNJ_EVT_20171026_000000_19,2017-10-25 00:00:00+00:00,2017-10-26 00:00:00+00:00,124.102,1,1803,JNJ
JNJ_EVT_20180125_000000_20,2018-01-24 00:00:00+00:00,2018-01-25 00:00:00+00:00,124.68,1,1864,JNJ
JNJ_EVT_20180725_000000_21,2018-07-24 00:00:00+00:00,2018-07-25 00:00:00+00:00,114.717,1,1989,JNJ
JNJ_EVT_20190312_000000_22,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,125.612,1,2146,JNJ
JNJ_EVT_20191129_000000_23,2019-11-27 00:00:00+00:00,2019-11-29 00:00:00+00:00,127.318,1,2329,JNJ
JNJ_EVT_20200109_000000_24,2020-01-08 00:00:00+00:00,2020-01-09 00:00:00+00:00,134.869,1,2356,JNJ
JNJ_EVT_20200204_000000_25,2020-02-03 00:00:00+00:00,2020-02-04 00:00:00+00:00,140.174,1,2373,JNJ
JNJ_EVT_20200623_000000_26,2020-06-22 00:00:00+00:00,2020-06-23 00:00:00+00:00,134.772,-1,2470,JNJ
JNJ_EVT_20210823_000000_27,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,172.693,1,2764,JNJ
JNJ_EVT_20211011_000000_28,2021-10-08 00:00:00+00:00,2021-10-11 00:00:00+00:00,155.718,-1,2798,JNJ
JNJ_EVT_20220420_000000_29,2022-04-19 00:00:00+00:00,2022-04-20 00:00:00+00:00,178.713,1,2930,JNJ
JNJ_EVT_20221214_000000_30,2022-12-13 00:00:00+00:00,2022-12-14 00:00:00+00:00,178.58,1,3095,JNJ
JNJ_EVT_20230207_000000_31,2023-02-06 00:00:00+00:00,2023-02-07 00:00:00+00:00,161.6,-1,3131,JNJ
JNJ_EVT_20230309_000000_32,2023-03-08 00:00:00+00:00,2023-03-09 00:00:00+00:00,153.46,-1,3152,JNJ
JNJ_EVT_20230815_000000_33,2023-08-14 00:00:00+00:00,2023-08-15 00:00:00+00:00,172.8,1,3261,JNJ
JNJ_EVT_20231012_000000_34,2023-10-11 00:00:00+00:00,2023-10-12 00:00:00+00:00,155.92,-1,3302,JNJ
JNJ_EVT_20240918_000000_35,2024-09-17 00:00:00+00:00,2024-09-18 00:00:00+00:00,166.63,1,3536,JNJ
JNJ_EVT_20241108_000000_36,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,157.0,-1,3573,JNJ
JNJ_EVT_20241120_000000_37,2024-11-19 00:00:00+00:00,2024-11-20 00:00:00+00:00,153.14,-1,3581,JNJ
JNJ_EVT_20250212_000000_38,2025-02-11 00:00:00+00:00,2025-02-12 00:00:00+00:00,155.3,1,3636,JNJ
JNJ_EVT_20250310_000000_39,2025-03-07 00:00:00+00:00,2025-03-10 00:00:00+00:00,167.3076,1,3653,JNJ
JNJ_EVT_20250717_000000_40,2025-07-16 00:00:00+00:00,2025-07-17 00:00:00+00:00,163.18,1,3742,JNJ
