event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
JPM_EVT_20110624_000000_0,2011-06-23 00:00:00+00:00,2011-06-24 00:00:00+00:00,29.0351,-1,207,JPM
JPM_EVT_20120221_000000_1,2012-02-17 00:00:00+00:00,2012-02-21 00:00:00+00:00,28.6352,1,372,JPM
JPM_EVT_20120402_000000_2,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,33.8992,1,401,JPM
JPM_EVT_20120524_000000_3,2012-05-23 00:00:00+00:00,2012-05-24 00:00:00+00:00,25.6791,-1,438,JPM
JPM_EVT_20121016_000000_4,2012-10-15 00:00:00+00:00,2012-10-16 00:00:00+00:00,32.4206,1,538,JPM
JPM_EVT_20130117_000000_5,2013-01-16 00:00:00+00:00,2013-01-17 00:00:00+00:00,35.4004,1,600,JPM
JPM_EVT_20130925_000000_6,2013-09-24 00:00:00+00:00,2013-09-25 00:00:00+00:00,38.8301,-1,773,JPM
JPM_EVT_20131223_000000_7,2013-12-20 00:00:00+00:00,2013-12-23 00:00:00+00:00,45.156,1,835,JPM
JPM_EVT_20140115_000000_8,2014-01-14 00:00:00+00:00,2014-01-15 00:00:00+00:00,45.265,1,850,JPM
JPM_EVT_20141208_000000_9,2014-12-05 00:00:00+00:00,2014-12-08 00:00:00+00:00,50.0711,1,1076,JPM
JPM_EVT_20150127_000000_10,2015-01-26 00:00:00+00:00,2015-01-27 00:00:00+00:00,45.1226,-1,1109,JPM
JPM_EVT_20150511_000000_11,2015-05-08 00:00:00+00:00,2015-05-11 00:00:00+00:00,52.8848,1,1181,JPM
JPM_EVT_20150723_000000_12,2015-07-22 00:00:00+00:00,2015-07-23 00:00:00+00:00,57.2518,1,1232,JPM
JPM_EVT_20160212_000000_13,2016-02-11 00:00:00+00:00,2016-02-12 00:00:00+00:00,46.0254,-1,1373,JPM
JPM_EVT_20160525_000000_14,2016-05-24 00:00:00+00:00,2016-05-25 00:00:00+00:00,54.105,1,1444,JPM
JPM_EVT_20160805_000000_15,2016-08-04 00:00:00+00:00,2016-08-05 00:00:00+00:00,54.6946,1,1494,JPM
JPM_EVT_20161118_000000_16,2016-11-17 00:00:00+00:00,2016-11-18 00:00:00+00:00,65.9356,1,1568,JPM
JPM_EVT_20171017_000000_17,2017-10-16 00:00:00+00:00,2017-10-17 00:00:00+00:00,84.8407,1,1796,JPM
JPM_EVT_20180502_000000_18,2018-05-01 00:00:00+00:00,2018-05-02 00:00:00+00:00,94.4903,-1,1931,JPM
JPM_EVT_20180703_000000_19,2018-07-02 00:00:00+00:00,2018-07-03 00:00:00+00:00,92.1314,-1,1974,JPM
JPM_EVT_20180806_000000_20,2018-08-03 00:00:00+00:00,2018-08-06 00:00:00+00:00,102.636,1,1997,JPM
JPM_EVT_20190429_000000_21,2019-04-26 00:00:00+00:00,2019-04-29 00:00:00+00:00,103.019,1,2179,JPM
JPM_EVT_20190724_000000_22,2019-07-23 00:00:00+00:00,2019-07-24 00:00:00+00:00,104.63,1,2239,JPM
JPM_EVT_20190919_000000_23,2019-09-18 00:00:00+00:00,2019-09-19 00:00:00+00:00,108.354,1,2279,JPM
JPM_EVT_20191016_000000_24,2019-10-15 00:00:00+00:00,2019-10-16 00:00:00+00:00,109.464,1,2298,JPM
JPM_EVT_20191226_000000_25,2019-12-24 00:00:00+00:00,2019-12-26 00:00:00+00:00,125.841,1,2347,JPM
JPM_EVT_20200617_000000_26,2020-06-16 00:00:00+00:00,2020-06-17 00:00:00+00:00,95.1417,1,2466,JPM
JPM_EVT_20200811_000000_27,2020-08-10 00:00:00+00:00,2020-08-11 00:00:00+00:00,97.3168,1,2504,JPM
JPM_EVT_20201026_000000_28,2020-10-23 00:00:00+00:00,2020-10-26 00:00:00+00:00,97.0731,1,2557,JPM
JPM_EVT_20210107_000000_29,2021-01-06 00:00:00+00:00,2021-01-07 00:00:00+00:00,129.25,1,2607,JPM
JPM_EVT_20210720_000000_30,2021-07-19 00:00:00+00:00,2021-07-20 00:00:00+00:00,141.177,-1,2740,JPM
JPM_EVT_20211220_000000_31,2021-12-17 00:00:00+00:00,2021-12-20 00:00:00+00:00,149.783,-1,2847,JPM
JPM_EVT_20220225_000000_32,2022-02-24 00:00:00+00:00,2022-02-25 00:00:00+00:00,141.649,-1,2893,JPM
JPM_EVT_20220311_000000_33,2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,129.201,-1,2903,JPM
JPM_EVT_20220422_000000_34,2022-04-21 00:00:00+00:00,2022-04-22 00:00:00+00:00,127.993,-1,2932,JPM
JPM_EVT_20220506_000000_35,2022-05-05 00:00:00+00:00,2022-05-06 00:00:00+00:00,121.627,-1,2942,JPM
JPM_EVT_20220519_000000_36,2022-05-18 00:00:00+00:00,2022-05-19 00:00:00+00:00,116.115,-1,2951,JPM
JPM_EVT_20220701_000000_37,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,110.672,-1,2980,JPM
JPM_EVT_20221024_000000_38,2022-10-21 00:00:00+00:00,2022-10-24 00:00:00+00:00,122.07,1,3059,JPM
JPM_EVT_20230710_000000_39,2023-07-07 00:00:00+00:00,2023-07-10 00:00:00+00:00,144.5,1,3235,JPM
JPM_EVT_20230807_000000_40,2023-08-04 00:00:00+00:00,2023-08-07 00:00:00+00:00,156.6,1,3255,JPM
JPM_EVT_20240313_000000_41,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,190.36,1,3406,JPM
JPM_EVT_20241206_000000_42,2024-12-05 00:00:00+00:00,2024-12-06 00:00:00+00:00,245.75,1,3592,JPM
JPM_EVT_20250212_000000_43,2025-02-11 00:00:00+00:00,2025-02-12 00:00:00+00:00,274.08,1,3636,JPM
JPM_EVT_20250724_000000_44,2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,297.42,1,3747,JPM
