event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
KO_EVT_20101029_000000_0,2010-10-28 00:00:00+00:00,2010-10-29 00:00:00+00:00,21.0675,1,43,KO
KO_EVT_20101202_000000_1,2010-12-01 00:00:00+00:00,2010-12-02 00:00:00+00:00,22.3065,1,66,KO
KO_EVT_20110103_000000_2,2010-12-31 00:00:00+00:00,2011-01-03 00:00:00+00:00,22.7136,1,87,KO
KO_EVT_20110613_000000_3,2011-06-10 00:00:00+00:00,2011-06-13 00:00:00+00:00,22.7911,-1,198,KO
KO_EVT_20120309_000000_4,2012-03-08 00:00:00+00:00,2012-03-09 00:00:00+00:00,24.6505,1,385,KO
KO_EVT_20120425_000000_5,2012-04-24 00:00:00+00:00,2012-04-25 00:00:00+00:00,26.6578,1,417,KO
KO_EVT_20120730_000000_6,2012-07-27 00:00:00+00:00,2012-07-30 00:00:00+00:00,28.7219,1,483,KO
KO_EVT_20130516_000000_7,2013-05-15 00:00:00+00:00,2013-05-16 00:00:00+00:00,31.5503,1,682,KO
KO_EVT_20131001_000000_8,2013-09-30 00:00:00+00:00,2013-10-01 00:00:00+00:00,28.3382,-1,777,KO
KO_EVT_20131202_000000_9,2013-11-29 00:00:00+00:00,2013-12-02 00:00:00+00:00,30.1136,1,820,KO
KO_EVT_20140220_000000_10,2014-02-19 00:00:00+00:00,2014-02-20 00:00:00+00:00,27.8156,-1,874,KO
KO_EVT_20140721_000000_11,2014-07-18 00:00:00+00:00,2014-07-21 00:00:00+00:00,32.12,1,978,KO
KO_EVT_20141112_000000_12,2014-11-11 00:00:00+00:00,2014-11-12 00:00:00+00:00,32.6563,1,1059,KO
KO_EVT_20141128_000000_13,2014-11-26 00:00:00+00:00,2014-11-28 00:00:00+00:00,34.2115,1,1070,KO
KO_EVT_20150330_000000_14,2015-03-27 00:00:00+00:00,2015-03-30 00:00:00+00:00,31.2821,-1,1152,KO
KO_EVT_20160329_000000_15,2016-03-28 00:00:00+00:00,2016-03-29 00:00:00+00:00,36.9401,1,1403,KO
KO_EVT_20160520_000000_16,2016-05-19 00:00:00+00:00,2016-05-20 00:00:00+00:00,35.8527,-1,1441,KO
KO_EVT_20160725_000000_17,2016-07-22 00:00:00+00:00,2016-07-25 00:00:00+00:00,37.1828,1,1485,KO
KO_EVT_20161118_000000_18,2016-11-17 00:00:00+00:00,2016-11-18 00:00:00+00:00,33.5753,-1,1568,KO
KO_EVT_20170310_000000_19,2017-03-09 00:00:00+00:00,2017-03-10 00:00:00+00:00,34.8476,1,1643,KO
KO_EVT_20170502_000000_20,2017-05-01 00:00:00+00:00,2017-05-02 00:00:00+00:00,35.9809,1,1679,KO
KO_EVT_20170908_000000_21,2017-09-07 00:00:00+00:00,2017-09-08 00:00:00+00:00,38.7682,1,1769,KO
KO_EVT_20180717_000000_22,2018-07-16 00:00:00+00:00,2018-07-17 00:00:00+00:00,38.8495,1,1983,KO
KO_EVT_20190311_000000_23,2019-03-08 00:00:00+00:00,2019-03-11 00:00:00+00:00,39.834,-1,2145,KO
KO_EVT_20191021_000000_24,2019-10-18 00:00:00+00:00,2019-10-21 00:00:00+00:00,49.2051,1,2301,KO
KO_EVT_20200131_000000_25,2020-01-30 00:00:00+00:00,2020-01-31 00:00:00+00:00,53.6875,1,2371,KO
KO_EVT_20200218_000000_26,2020-02-14 00:00:00+00:00,2020-02-18 00:00:00+00:00,54.4529,1,2382,KO
KO_EVT_20201012_000000_27,2020-10-09 00:00:00+00:00,2020-10-12 00:00:00+00:00,47.4973,1,2547,KO
KO_EVT_20210316_000000_28,2021-03-15 00:00:00+00:00,2021-03-16 00:00:00+00:00,48.61,1,2653,KO
KO_EVT_20210517_000000_29,2021-05-14 00:00:00+00:00,2021-05-17 00:00:00+00:00,52.0658,1,2696,KO
KO_EVT_20210707_000000_30,2021-07-06 00:00:00+00:00,2021-07-07 00:00:00+00:00,51.3876,-1,2731,KO
KO_EVT_20211111_000000_31,2021-11-10 00:00:00+00:00,2021-11-11 00:00:00+00:00,54.7681,1,2821,KO
KO_EVT_20211214_000000_32,2021-12-13 00:00:00+00:00,2021-12-14 00:00:00+00:00,55.7507,1,2843,KO
KO_EVT_20220923_000000_33,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,58.5448,-1,3038,KO
KO_EVT_20221020_000000_34,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,55.3773,-1,3057,KO
KO_EVT_20230630_000000_35,2023-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,60.0,-1,3230,KO
KO_EVT_20230901_000000_36,2023-08-31 00:00:00+00:00,2023-09-01 00:00:00+00:00,60.0,-1,3274,KO
KO_EVT_20230922_000000_37,2023-09-21 00:00:00+00:00,2023-09-22 00:00:00+00:00,57.85,-1,3288,KO
KO_EVT_20240724_000000_38,2024-07-23 00:00:00+00:00,2024-07-24 00:00:00+00:00,65.09,1,3497,KO
KO_EVT_20241002_000000_39,2024-10-01 00:00:00+00:00,2024-10-02 00:00:00+00:00,71.39,1,3546,KO
