event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
LLY_EVT_20101122_000000_0,2010-11-19 00:00:00+00:00,2010-11-22 00:00:00+00:00,24.4706,-1,59,LLY
LLY_EVT_20110601_000000_1,2011-05-31 00:00:00+00:00,2011-06-01 00:00:00+00:00,27.8963,1,190,LLY
LLY_EVT_20111230_000000_2,2011-12-29 00:00:00+00:00,2011-12-30 00:00:00+00:00,31.0624,1,338,LLY
LLY_EVT_20120403_000000_3,2012-04-02 00:00:00+00:00,2012-04-03 00:00:00+00:00,30.6879,1,402,LLY
LLY_EVT_20120928_000000_4,2012-09-27 00:00:00+00:00,2012-09-28 00:00:00+00:00,36.7496,1,526,LLY
LLY_EVT_20130226_000000_5,2013-02-25 00:00:00+00:00,2013-02-26 00:00:00+00:00,42.7747,1,626,LLY
LLY_EVT_20130325_000000_6,2013-03-22 00:00:00+00:00,2013-03-25 00:00:00+00:00,44.0535,1,645,LLY
LLY_EVT_20130422_000000_7,2013-04-19 00:00:00+00:00,2013-04-22 00:00:00+00:00,45.4473,1,664,LLY
LLY_EVT_20140925_000000_8,2014-09-24 00:00:00+00:00,2014-09-25 00:00:00+00:00,55.0219,1,1025,LLY
LLY_EVT_20141111_000000_9,2014-11-10 00:00:00+00:00,2014-11-11 00:00:00+00:00,57.0061,1,1058,LLY
LLY_EVT_20141124_000000_10,2014-11-21 00:00:00+00:00,2014-11-24 00:00:00+00:00,56.7971,1,1067,LLY
LLY_EVT_20150514_000000_11,2015-05-13 00:00:00+00:00,2015-05-14 00:00:00+00:00,61.9187,1,1184,LLY
LLY_EVT_20150810_000000_12,2015-08-07 00:00:00+00:00,2015-08-10 00:00:00+00:00,70.557,-1,1244,LLY
LLY_EVT_20151230_000000_13,2015-12-29 00:00:00+00:00,2015-12-30 00:00:00+00:00,74.5601,1,1343,LLY
LLY_EVT_20160112_000000_14,2016-01-11 00:00:00+00:00,2016-01-12 00:00:00+00:00,69.5268,-1,1351,LLY
LLY_EVT_20161206_000000_15,2016-12-05 00:00:00+00:00,2016-12-06 00:00:00+00:00,59.5154,-1,1579,LLY
LLY_EVT_20170721_000000_16,2017-07-20 00:00:00+00:00,2017-07-21 00:00:00+00:00,75.9342,1,1735,LLY
LLY_EVT_20170817_000000_17,2017-08-16 00:00:00+00:00,2017-08-17 00:00:00+00:00,72.6076,-1,1754,LLY
LLY_EVT_20170829_000000_18,2017-08-28 00:00:00+00:00,2017-08-29 00:00:00+00:00,70.9255,-1,1762,LLY
LLY_EVT_20171012_000000_19,2017-10-11 00:00:00+00:00,2017-10-12 00:00:00+00:00,77.754,1,1793,LLY
LLY_EVT_20180326_000000_20,2018-03-23 00:00:00+00:00,2018-03-26 00:00:00+00:00,69.2196,-1,1905,LLY
LLY_EVT_20180518_000000_21,2018-05-17 00:00:00+00:00,2018-05-18 00:00:00+00:00,75.1149,1,1943,LLY
LLY_EVT_20180620_000000_22,2018-06-19 00:00:00+00:00,2018-06-20 00:00:00+00:00,79.9561,1,1965,LLY
LLY_EVT_20180725_000000_23,2018-07-24 00:00:00+00:00,2018-07-25 00:00:00+00:00,85.8743,1,1989,LLY
LLY_EVT_20181120_000000_24,2018-11-19 00:00:00+00:00,2018-11-20 00:00:00+00:00,107.018,1,2072,LLY
LLY_EVT_20190906_000000_25,2019-09-05 00:00:00+00:00,2019-09-06 00:00:00+00:00,108.712,1,2270,LLY
LLY_EVT_20191024_000000_26,2019-10-23 00:00:00+00:00,2019-10-24 00:00:00+00:00,101.818,-1,2304,LLY
LLY_EVT_20191119_000000_27,2019-11-18 00:00:00+00:00,2019-11-19 00:00:00+00:00,108.633,1,2322,LLY
LLY_EVT_20191125_000000_28,2019-11-22 00:00:00+00:00,2019-11-25 00:00:00+00:00,111.079,1,2326,LLY
LLY_EVT_20200721_000000_29,2020-07-20 00:00:00+00:00,2020-07-21 00:00:00+00:00,160.542,1,2489,LLY
LLY_EVT_20201230_000000_30,2020-12-29 00:00:00+00:00,2020-12-30 00:00:00+00:00,162.711,1,2602,LLY
LLY_EVT_20210521_000000_31,2021-05-20 00:00:00+00:00,2021-05-21 00:00:00+00:00,196.026,1,2700,LLY
LLY_EVT_20210816_000000_32,2021-08-13 00:00:00+00:00,2021-08-16 00:00:00+00:00,260.457,1,2759,LLY
LLY_EVT_20220718_000000_33,2022-07-15 00:00:00+00:00,2022-07-18 00:00:00+00:00,328.131,1,2990,LLY
LLY_EVT_20230227_000000_34,2023-02-24 00:00:00+00:00,2023-02-27 00:00:00+00:00,322.6,-1,3144,LLY
LLY_EVT_20230706_000000_35,2023-07-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,463.12,1,3233,LLY
LLY_EVT_20240110_000000_36,2024-01-09 00:00:00+00:00,2024-01-10 00:00:00+00:00,628.49,1,3363,LLY
LLY_EVT_20240122_000000_37,2024-01-19 00:00:00+00:00,2024-01-22 00:00:00+00:00,630.0,1,3370,LLY
LLY_EVT_20240530_000000_38,2024-05-29 00:00:00+00:00,2024-05-30 00:00:00+00:00,812.79,1,3460,LLY
LLY_EVT_20240812_000000_39,2024-08-09 00:00:00+00:00,2024-08-12 00:00:00+00:00,904.21,1,3510,LLY
LLY_EVT_20240821_000000_40,2024-08-20 00:00:00+00:00,2024-08-21 00:00:00+00:00,955.615,1,3517,LLY
LLY_EVT_20240828_000000_41,2024-08-27 00:00:00+00:00,2024-08-28 00:00:00+00:00,954.15,1,3522,LLY
LLY_EVT_20240930_000000_42,2024-09-27 00:00:00+00:00,2024-09-30 00:00:00+00:00,864.52,-1,3544,LLY
LLY_EVT_20250522_000000_43,2025-05-21 00:00:00+00:00,2025-05-22 00:00:00+00:00,717.1,-1,3705,LLY
