event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
LMT_EVT_20110216_000000_0,2011-02-15 00:00:00+00:00,2011-02-16 00:00:00+00:00,55.3804,1,118,LMT
LMT_EVT_20110425_000000_1,2011-04-21 00:00:00+00:00,2011-04-25 00:00:00+00:00,53.2189,-1,164,LMT
LMT_EVT_20110520_000000_2,2011-05-19 00:00:00+00:00,2011-05-20 00:00:00+00:00,55.1979,1,183,LMT
LMT_EVT_20120403_000000_3,2012-04-02 00:00:00+00:00,2012-04-03 00:00:00+00:00,65.3319,1,402,LMT
LMT_EVT_20120604_000000_4,2012-06-01 00:00:00+00:00,2012-06-04 00:00:00+00:00,59.0085,-1,444,LMT
LMT_EVT_20130212_000000_5,2013-02-11 00:00:00+00:00,2013-02-12 00:00:00+00:00,65.2701,-1,617,LMT
LMT_EVT_20130325_000000_6,2013-03-22 00:00:00+00:00,2013-03-25 00:00:00+00:00,69.7814,1,645,LMT
LMT_EVT_20130409_000000_7,2013-04-08 00:00:00+00:00,2013-04-09 00:00:00+00:00,71.823,1,655,LMT
LMT_EVT_20130904_000000_8,2013-09-03 00:00:00+00:00,2013-09-04 00:00:00+00:00,94.8362,1,758,LMT
LMT_EVT_20140513_000000_9,2014-05-12 00:00:00+00:00,2014-05-13 00:00:00+00:00,130.608,1,931,LMT
LMT_EVT_20150323_000000_10,2015-03-20 00:00:00+00:00,2015-03-23 00:00:00+00:00,164.073,1,1147,LMT
LMT_EVT_20150701_000000_11,2015-06-30 00:00:00+00:00,2015-07-01 00:00:00+00:00,151.337,-1,1217,LMT
LMT_EVT_20150811_000000_12,2015-08-10 00:00:00+00:00,2015-08-11 00:00:00+00:00,170.087,1,1245,LMT
LMT_EVT_20151118_000000_13,2015-11-17 00:00:00+00:00,2015-11-18 00:00:00+00:00,182.381,1,1315,LMT
LMT_EVT_20170602_000000_14,2017-06-01 00:00:00+00:00,2017-06-02 00:00:00+00:00,242.023,1,1701,LMT
LMT_EVT_20170615_000000_15,2017-06-14 00:00:00+00:00,2017-06-15 00:00:00+00:00,240.728,1,1710,LMT
LMT_EVT_20180620_000000_16,2018-06-19 00:00:00+00:00,2018-06-20 00:00:00+00:00,266.522,-1,1965,LMT
LMT_EVT_20190819_000000_17,2019-08-16 00:00:00+00:00,2019-08-19 00:00:00+00:00,343.941,1,2257,LMT
LMT_EVT_20200320_000000_18,2020-03-19 00:00:00+00:00,2020-03-20 00:00:00+00:00,289.775,-1,2405,LMT
LMT_EVT_20200529_000000_19,2020-05-28 00:00:00+00:00,2020-05-29 00:00:00+00:00,367.441,1,2453,LMT
LMT_EVT_20200812_000000_20,2020-08-11 00:00:00+00:00,2020-08-12 00:00:00+00:00,365.585,1,2505,LMT
LMT_EVT_20211202_000000_21,2021-12-01 00:00:00+00:00,2021-12-02 00:00:00+00:00,321.553,-1,2835,LMT
LMT_EVT_20220114_000000_22,2022-01-13 00:00:00+00:00,2022-01-14 00:00:00+00:00,355.833,1,2865,LMT
LMT_EVT_20220411_000000_23,2022-04-08 00:00:00+00:00,2022-04-11 00:00:00+00:00,455.035,1,2924,LMT
LMT_EVT_20220714_000000_24,2022-07-13 00:00:00+00:00,2022-07-14 00:00:00+00:00,398.052,-1,2988,LMT
LMT_EVT_20230203_000000_25,2023-02-02 00:00:00+00:00,2023-02-03 00:00:00+00:00,459.27,-1,3129,LMT
LMT_EVT_20230308_000000_26,2023-03-07 00:00:00+00:00,2023-03-08 00:00:00+00:00,481.04,1,3151,LMT
LMT_EVT_20230510_000000_27,2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,452.81,-1,3195,LMT
LMT_EVT_20231002_000000_28,2023-09-29 00:00:00+00:00,2023-10-02 00:00:00+00:00,408.96,-1,3294,LMT
LMT_EVT_20231026_000000_29,2023-10-25 00:00:00+00:00,2023-10-26 00:00:00+00:00,448.01,1,3312,LMT
LMT_EVT_20240116_000000_30,2024-01-12 00:00:00+00:00,2024-01-16 00:00:00+00:00,466.27,1,3366,LMT
LMT_EVT_20240215_000000_31,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,418.58,-1,3388,LMT
LMT_EVT_20241126_000000_32,2024-11-25 00:00:00+00:00,2024-11-26 00:00:00+00:00,519.39,-1,3585,LMT
LMT_EVT_20250129_000000_33,2025-01-28 00:00:00+00:00,2025-01-29 00:00:00+00:00,459.5,-1,3626,LMT
LMT_EVT_20250204_000000_34,2025-02-03 00:00:00+00:00,2025-02-04 00:00:00+00:00,454.75,-1,3630,LMT
LMT_EVT_20250213_000000_35,2025-02-12 00:00:00+00:00,2025-02-13 00:00:00+00:00,442.5,-1,3637,LMT
LMT_EVT_20250509_000000_36,2025-05-08 00:00:00+00:00,2025-05-09 00:00:00+00:00,476.38,1,3696,LMT
LMT_EVT_20250602_000000_37,2025-05-30 00:00:00+00:00,2025-06-02 00:00:00+00:00,478.89,1,3711,LMT
