event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
LOW_EVT_20111103_000000_0,2011-11-02 00:00:00+00:00,2011-11-03 00:00:00+00:00,17.6254,1,299,LOW
LOW_EVT_20111215_000000_1,2011-12-14 00:00:00+00:00,2011-12-15 00:00:00+00:00,20.3272,1,328,LOW
LOW_EVT_20120425_000000_2,2012-04-24 00:00:00+00:00,2012-04-25 00:00:00+00:00,26.2274,1,417,LOW
LOW_EVT_20120713_000000_3,2012-07-12 00:00:00+00:00,2012-07-13 00:00:00+00:00,22.1717,-1,472,LOW
LOW_EVT_20120917_000000_4,2012-09-14 00:00:00+00:00,2012-09-17 00:00:00+00:00,24.6906,1,517,LOW
LOW_EVT_20130103_000000_5,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,30.5572,1,590,LOW
LOW_EVT_20130529_000000_6,2013-05-28 00:00:00+00:00,2013-05-29 00:00:00+00:00,36.1171,1,690,LOW
LOW_EVT_20131105_000000_7,2013-11-04 00:00:00+00:00,2013-11-05 00:00:00+00:00,42.3753,1,802,LOW
LOW_EVT_20131213_000000_8,2013-12-12 00:00:00+00:00,2013-12-13 00:00:00+00:00,40.1156,-1,829,LOW
LOW_EVT_20150610_000000_9,2015-06-09 00:00:00+00:00,2015-06-10 00:00:00+00:00,60.1926,-1,1202,LOW
LOW_EVT_20160121_000000_10,2016-01-20 00:00:00+00:00,2016-01-21 00:00:00+00:00,60.7721,-1,1357,LOW
LOW_EVT_20160212_000000_11,2016-02-11 00:00:00+00:00,2016-02-12 00:00:00+00:00,56.7372,-1,1373,LOW
LOW_EVT_20160314_000000_12,2016-03-11 00:00:00+00:00,2016-03-14 00:00:00+00:00,63.8083,1,1393,LOW
LOW_EVT_20161221_000000_13,2016-12-20 00:00:00+00:00,2016-12-21 00:00:00+00:00,66.5101,1,1590,LOW
LOW_EVT_20170608_000000_14,2017-06-07 00:00:00+00:00,2017-06-08 00:00:00+00:00,70.647,-1,1705,LOW
LOW_EVT_20171016_000000_15,2017-10-13 00:00:00+00:00,2017-10-16 00:00:00+00:00,74.9154,1,1795,LOW
LOW_EVT_20171211_000000_16,2017-12-08 00:00:00+00:00,2017-12-11 00:00:00+00:00,78.358,1,1834,LOW
LOW_EVT_20180111_000000_17,2018-01-10 00:00:00+00:00,2018-01-11 00:00:00+00:00,86.5615,1,1855,LOW
LOW_EVT_20180917_000000_18,2018-09-14 00:00:00+00:00,2018-09-17 00:00:00+00:00,105.503,1,2026,LOW
LOW_EVT_20181001_000000_19,2018-09-28 00:00:00+00:00,2018-10-01 00:00:00+00:00,107.254,1,2036,LOW
LOW_EVT_20181206_000000_20,2018-12-04 00:00:00+00:00,2018-12-06 00:00:00+00:00,82.849,-1,2082,LOW
LOW_EVT_20190211_000000_21,2019-02-08 00:00:00+00:00,2019-02-11 00:00:00+00:00,91.0949,1,2126,LOW
LOW_EVT_20190313_000000_22,2019-03-12 00:00:00+00:00,2019-03-13 00:00:00+00:00,94.7611,1,2147,LOW
LOW_EVT_20190612_000000_23,2019-06-11 00:00:00+00:00,2019-06-12 00:00:00+00:00,90.5599,-1,2210,LOW
LOW_EVT_20190822_000000_24,2019-08-21 00:00:00+00:00,2019-08-22 00:00:00+00:00,102.576,1,2260,LOW
LOW_EVT_20190906_000000_25,2019-09-05 00:00:00+00:00,2019-09-06 00:00:00+00:00,108.588,1,2270,LOW
LOW_EVT_20191009_000000_26,2019-10-08 00:00:00+00:00,2019-10-09 00:00:00+00:00,101.784,-1,2293,LOW
LOW_EVT_20191217_000000_27,2019-12-16 00:00:00+00:00,2019-12-17 00:00:00+00:00,115.274,1,2341,LOW
LOW_EVT_20200306_000000_28,2020-03-05 00:00:00+00:00,2020-03-06 00:00:00+00:00,99.3123,-1,2395,LOW
LOW_EVT_20200330_000000_29,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,83.4947,-1,2411,LOW
LOW_EVT_20200804_000000_30,2020-08-03 00:00:00+00:00,2020-08-04 00:00:00+00:00,144.458,1,2499,LOW
LOW_EVT_20200902_000000_31,2020-09-01 00:00:00+00:00,2020-09-02 00:00:00+00:00,161.904,1,2520,LOW
LOW_EVT_20210203_000000_32,2021-02-02 00:00:00+00:00,2021-02-03 00:00:00+00:00,161.479,1,2625,LOW
LOW_EVT_20220414_000000_33,2022-04-13 00:00:00+00:00,2022-04-14 00:00:00+00:00,203.134,-1,2927,LOW
LOW_EVT_20221202_000000_34,2022-12-01 00:00:00+00:00,2022-12-02 00:00:00+00:00,212.4,1,3087,LOW
LOW_EVT_20230214_000000_35,2023-02-13 00:00:00+00:00,2023-02-14 00:00:00+00:00,212.03,1,3136,LOW
LOW_EVT_20230323_000000_36,2023-03-22 00:00:00+00:00,2023-03-23 00:00:00+00:00,192.72,-1,3162,LOW
LOW_EVT_20230711_000000_37,2023-07-10 00:00:00+00:00,2023-07-11 00:00:00+00:00,231.27,1,3236,LOW
LOW_EVT_20231107_000000_38,2023-11-06 00:00:00+00:00,2023-11-07 00:00:00+00:00,194.26,-1,3320,LOW
LOW_EVT_20231222_000000_39,2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,224.035,1,3352,LOW
LOW_EVT_20240703_000000_40,2024-07-02 00:00:00+00:00,2024-07-03 00:00:00+00:00,215.83,-1,3483,LOW
LOW_EVT_20241209_000000_41,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,273.99,1,3593,LOW
LOW_EVT_20241227_000000_42,2024-12-26 00:00:00+00:00,2024-12-27 00:00:00+00:00,248.35,-1,3606,LOW
LOW_EVT_20250110_000000_43,2025-01-08 00:00:00+00:00,2025-01-10 00:00:00+00:00,247.0,-1,3614,LOW
LOW_EVT_20250228_000000_44,2025-02-27 00:00:00+00:00,2025-02-28 00:00:00+00:00,248.17,-1,3647,LOW
