event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MA_EVT_20101111_000000_0,2010-11-10 00:00:00+00:00,2010-11-11 00:00:00+00:00,23.6675,1,52,MA
MA_EVT_20101223_000000_1,2010-12-22 00:00:00+00:00,2010-12-23 00:00:00+00:00,20.4008,-1,81,MA
MA_EVT_20110104_000000_2,2011-01-03 00:00:00+00:00,2011-01-04 00:00:00+00:00,20.7716,-1,88,MA
MA_EVT_20110328_000000_3,2011-03-25 00:00:00+00:00,2011-03-28 00:00:00+00:00,23.5429,1,144,MA
MA_EVT_20110520_000000_4,2011-05-19 00:00:00+00:00,2011-05-20 00:00:00+00:00,26.7557,1,182,MA
MA_EVT_20110624_000000_5,2011-06-23 00:00:00+00:00,2011-06-24 00:00:00+00:00,25.6462,-1,206,MA
MA_EVT_20120123_000000_6,2012-01-20 00:00:00+00:00,2012-01-23 00:00:00+00:00,31.9803,-1,351,MA
MA_EVT_20120614_000000_7,2012-06-13 00:00:00+00:00,2012-06-14 00:00:00+00:00,38.5646,-1,451,MA
MA_EVT_20121114_000000_8,2012-11-13 00:00:00+00:00,2012-11-14 00:00:00+00:00,44.5557,1,556,MA
MA_EVT_20130620_000000_9,2013-06-19 00:00:00+00:00,2013-06-20 00:00:00+00:00,54.7267,1,705,MA
MA_EVT_20130719_000000_10,2013-07-18 00:00:00+00:00,2013-07-19 00:00:00+00:00,56.5938,1,725,MA
MA_EVT_20130912_000000_11,2013-09-11 00:00:00+00:00,2013-09-12 00:00:00+00:00,62.5481,1,763,MA
MA_EVT_20131209_000000_12,2013-12-06 00:00:00+00:00,2013-12-09 00:00:00+00:00,72.1738,1,824,MA
MA_EVT_20140108_000000_13,2014-01-07 00:00:00+00:00,2014-01-08 00:00:00+00:00,79.3202,1,844,MA
MA_EVT_20140414_000000_14,2014-04-11 00:00:00+00:00,2014-04-14 00:00:00+00:00,66.2145,-1,910,MA
MA_EVT_20150811_000000_15,2015-08-10 00:00:00+00:00,2015-08-11 00:00:00+00:00,92.9932,1,1244,MA
MA_EVT_20160705_000000_16,2016-07-01 00:00:00+00:00,2016-07-05 00:00:00+00:00,84.788,-1,1470,MA
MA_EVT_20170106_000000_17,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,103.912,1,1599,MA
MA_EVT_20170329_000000_18,2017-03-28 00:00:00+00:00,2017-03-29 00:00:00+00:00,108.458,1,1655,MA
MA_EVT_20170713_000000_19,2017-07-12 00:00:00+00:00,2017-07-13 00:00:00+00:00,122.076,1,1728,MA
MA_EVT_20171113_000000_20,2017-11-10 00:00:00+00:00,2017-11-13 00:00:00+00:00,144.774,1,1814,MA
MA_EVT_20180104_000000_21,2018-01-03 00:00:00+00:00,2018-01-04 00:00:00+00:00,150.406,1,1849,MA
MA_EVT_20180725_000000_22,2018-07-24 00:00:00+00:00,2018-07-25 00:00:00+00:00,205.274,1,1988,MA
MA_EVT_20180911_000000_23,2018-09-10 00:00:00+00:00,2018-09-11 00:00:00+00:00,205.792,1,2021,MA
MA_EVT_20180926_000000_24,2018-09-25 00:00:00+00:00,2018-09-26 00:00:00+00:00,217.595,1,2032,MA
MA_EVT_20190301_000000_25,2019-02-28 00:00:00+00:00,2019-03-01 00:00:00+00:00,222.42,1,2138,MA
MA_EVT_20191126_000000_26,2019-11-25 00:00:00+00:00,2019-11-26 00:00:00+00:00,283.906,1,2326,MA
MA_EVT_20191205_000000_27,2019-12-04 00:00:00+00:00,2019-12-05 00:00:00+00:00,283.368,1,2332,MA
MA_EVT_20200212_000000_28,2020-02-11 00:00:00+00:00,2020-02-12 00:00:00+00:00,325.974,1,2378,MA
MA_EVT_20200603_000000_29,2020-06-02 00:00:00+00:00,2020-06-03 00:00:00+00:00,301.461,1,2455,MA
MA_EVT_20220630_000000_30,2022-06-29 00:00:00+00:00,2022-06-30 00:00:00+00:00,314.31,-1,2978,MA
MA_EVT_20220812_000000_31,2022-08-11 00:00:00+00:00,2022-08-12 00:00:00+00:00,354.169,1,3008,MA
MA_EVT_20221007_000000_32,2022-10-06 00:00:00+00:00,2022-10-07 00:00:00+00:00,296.66,-1,3047,MA
MA_EVT_20230316_000000_33,2023-03-15 00:00:00+00:00,2023-03-16 00:00:00+00:00,346.62,-1,3156,MA
MA_EVT_20230720_000000_34,2023-07-19 00:00:00+00:00,2023-07-20 00:00:00+00:00,397.14,1,3242,MA
MA_EVT_20240119_000000_35,2024-01-18 00:00:00+00:00,2024-01-19 00:00:00+00:00,432.55,1,3368,MA
