event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MCD_EVT_20110303_000000_0,2011-03-02 00:00:00+00:00,2011-03-03 00:00:00+00:00,54.2519,-1,128,MCD
MCD_EVT_20110420_000000_1,2011-04-19 00:00:00+00:00,2011-04-20 00:00:00+00:00,55.6356,1,162,MCD
MCD_EVT_20111104_000000_2,2011-11-03 00:00:00+00:00,2011-11-04 00:00:00+00:00,67.8836,1,300,MCD
MCD_EVT_20111114_000000_3,2011-11-11 00:00:00+00:00,2011-11-14 00:00:00+00:00,68.9832,1,306,MCD
MCD_EVT_20120611_000000_4,2012-06-08 00:00:00+00:00,2012-06-11 00:00:00+00:00,66.5273,-1,449,MCD
MCD_EVT_20120917_000000_5,2012-09-14 00:00:00+00:00,2012-09-17 00:00:00+00:00,69.1356,1,517,MCD
MCD_EVT_20121010_000000_6,2012-10-09 00:00:00+00:00,2012-10-10 00:00:00+00:00,70.0336,1,534,MCD
MCD_EVT_20121116_000000_7,2012-11-15 00:00:00+00:00,2012-11-16 00:00:00+00:00,63.4243,-1,559,MCD
MCD_EVT_20121218_000000_8,2012-12-17 00:00:00+00:00,2012-12-18 00:00:00+00:00,68.4167,1,580,MCD
MCD_EVT_20130625_000000_9,2013-06-24 00:00:00+00:00,2013-06-25 00:00:00+00:00,75.6535,-1,709,MCD
MCD_EVT_20130821_000000_10,2013-08-20 00:00:00+00:00,2013-08-21 00:00:00+00:00,73.6992,-1,749,MCD
MCD_EVT_20130903_000000_11,2013-08-30 00:00:00+00:00,2013-09-03 00:00:00+00:00,74.0504,-1,757,MCD
MCD_EVT_20131120_000000_12,2013-11-19 00:00:00+00:00,2013-11-20 00:00:00+00:00,75.9741,1,813,MCD
MCD_EVT_20140318_000000_13,2014-03-17 00:00:00+00:00,2014-03-18 00:00:00+00:00,77.4445,1,892,MCD
MCD_EVT_20141114_000000_14,2014-11-13 00:00:00+00:00,2014-11-14 00:00:00+00:00,76.7925,1,1061,MCD
MCD_EVT_20141204_000000_15,2014-12-03 00:00:00+00:00,2014-12-04 00:00:00+00:00,77.5124,1,1074,MCD
MCD_EVT_20141216_000000_16,2014-12-15 00:00:00+00:00,2014-12-16 00:00:00+00:00,71.5334,-1,1082,MCD
MCD_EVT_20150122_000000_17,2015-01-21 00:00:00+00:00,2015-01-22 00:00:00+00:00,73.6018,-1,1106,MCD
MCD_EVT_20150818_000000_18,2015-08-17 00:00:00+00:00,2015-08-18 00:00:00+00:00,82.6406,1,1250,MCD
MCD_EVT_20170515_000000_19,2017-05-12 00:00:00+00:00,2017-05-15 00:00:00+00:00,126.876,1,1688,MCD
MCD_EVT_20180214_000000_20,2018-02-13 00:00:00+00:00,2018-02-14 00:00:00+00:00,143.428,-1,1878,MCD
MCD_EVT_20180302_000000_21,2018-03-01 00:00:00+00:00,2018-03-02 00:00:00+00:00,133.141,-1,1889,MCD
MCD_EVT_20181009_000000_22,2018-10-08 00:00:00+00:00,2018-10-09 00:00:00+00:00,152.242,1,2042,MCD
MCD_EVT_20181018_000000_23,2018-10-17 00:00:00+00:00,2018-10-18 00:00:00+00:00,150.865,1,2049,MCD
MCD_EVT_20181106_000000_24,2018-11-05 00:00:00+00:00,2018-11-06 00:00:00+00:00,163.002,1,2062,MCD
MCD_EVT_20181129_000000_25,2018-11-28 00:00:00+00:00,2018-11-29 00:00:00+00:00,172.67,1,2078,MCD
MCD_EVT_20190404_000000_26,2019-04-03 00:00:00+00:00,2019-04-04 00:00:00+00:00,173.299,1,2163,MCD
MCD_EVT_20191016_000000_27,2019-10-15 00:00:00+00:00,2019-10-16 00:00:00+00:00,191.878,-1,2298,MCD
MCD_EVT_20191126_000000_28,2019-11-25 00:00:00+00:00,2019-11-26 00:00:00+00:00,177.961,-1,2327,MCD
MCD_EVT_20200102_000000_29,2019-12-31 00:00:00+00:00,2020-01-02 00:00:00+00:00,184.728,1,2351,MCD
MCD_EVT_20200129_000000_30,2020-01-28 00:00:00+00:00,2020-01-29 00:00:00+00:00,197.484,1,2369,MCD
MCD_EVT_20200728_000000_31,2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,187.678,1,2494,MCD
MCD_EVT_20211124_000000_32,2021-11-23 00:00:00+00:00,2021-11-24 00:00:00+00:00,247.556,1,2830,MCD
MCD_EVT_20220105_000000_33,2022-01-04 00:00:00+00:00,2022-01-05 00:00:00+00:00,263.401,1,2858,MCD
MCD_EVT_20221006_000000_34,2022-10-05 00:00:00+00:00,2022-10-06 00:00:00+00:00,238.0,-1,3047,MCD
MCD_EVT_20230508_000000_35,2023-05-05 00:00:00+00:00,2023-05-08 00:00:00+00:00,297.1,1,3193,MCD
MCD_EVT_20230918_000000_36,2023-09-15 00:00:00+00:00,2023-09-18 00:00:00+00:00,278.72,-1,3284,MCD
MCD_EVT_20241011_000000_37,2024-10-10 00:00:00+00:00,2024-10-11 00:00:00+00:00,304.42,1,3553,MCD
MCD_EVT_20250110_000000_38,2025-01-08 00:00:00+00:00,2025-01-10 00:00:00+00:00,287.41,-1,3614,MCD
MCD_EVT_20250617_000000_39,2025-06-16 00:00:00+00:00,2025-06-17 00:00:00+00:00,295.825,-1,3722,MCD
MCD_EVT_20250626_000000_40,2025-06-25 00:00:00+00:00,2025-06-26 00:00:00+00:00,286.0,-1,3728,MCD
MCD_EVT_20250807_000000_41,2025-08-06 00:00:00+00:00,2025-08-07 00:00:00+00:00,308.25,1,3757,MCD
