event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MMC_EVT_20110923_000000_0,2011-09-22 00:00:00+00:00,2011-09-23 00:00:00+00:00,21.0881,-1,270,MMC
MMC_EVT_20111227_000000_1,2011-12-23 00:00:00+00:00,2011-12-27 00:00:00+00:00,25.3609,1,335,MMC
MMC_EVT_20130315_000000_2,2013-03-14 00:00:00+00:00,2013-03-15 00:00:00+00:00,30.6679,1,639,MMC
MMC_EVT_20130321_000000_3,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00,31.0074,1,643,MMC
MMC_EVT_20150511_000000_4,2015-05-08 00:00:00+00:00,2015-05-11 00:00:00+00:00,50.5779,1,1181,MMC
MMC_EVT_20150709_000000_5,2015-07-08 00:00:00+00:00,2015-07-09 00:00:00+00:00,49.9466,-1,1222,MMC
MMC_EVT_20150901_000000_6,2015-08-31 00:00:00+00:00,2015-09-01 00:00:00+00:00,46.2098,-1,1260,MMC
MMC_EVT_20150929_000000_7,2015-09-28 00:00:00+00:00,2015-09-29 00:00:00+00:00,45.2491,-1,1279,MMC
MMC_EVT_20160226_000000_8,2016-02-25 00:00:00+00:00,2016-02-26 00:00:00+00:00,51.5109,1,1382,MMC
MMC_EVT_20160329_000000_9,2016-03-28 00:00:00+00:00,2016-03-29 00:00:00+00:00,53.2915,1,1403,MMC
MMC_EVT_20160511_000000_10,2016-05-10 00:00:00+00:00,2016-05-11 00:00:00+00:00,57.4025,1,1434,MMC
MMC_EVT_20161128_000000_11,2016-11-25 00:00:00+00:00,2016-11-28 00:00:00+00:00,62.5269,1,1573,MMC
MMC_EVT_20161209_000000_12,2016-12-08 00:00:00+00:00,2016-12-09 00:00:00+00:00,62.4564,1,1582,MMC
MMC_EVT_20170705_000000_13,2017-07-03 00:00:00+00:00,2017-07-05 00:00:00+00:00,71.0646,1,1723,MMC
MMC_EVT_20181108_000000_14,2018-11-07 00:00:00+00:00,2018-11-08 00:00:00+00:00,81.5059,1,2064,MMC
MMC_EVT_20181119_000000_15,2018-11-16 00:00:00+00:00,2018-11-19 00:00:00+00:00,82.4419,1,2071,MMC
MMC_EVT_20181203_000000_16,2018-11-30 00:00:00+00:00,2018-12-03 00:00:00+00:00,83.5406,1,2080,MMC
MMC_EVT_20190103_000000_17,2019-01-02 00:00:00+00:00,2019-01-03 00:00:00+00:00,73.8247,-1,2100,MMC
MMC_EVT_20190211_000000_18,2019-02-08 00:00:00+00:00,2019-02-11 00:00:00+00:00,84.9242,1,2126,MMC
MMC_EVT_20190517_000000_19,2019-05-16 00:00:00+00:00,2019-05-17 00:00:00+00:00,89.5434,1,2193,MMC
MMC_EVT_20190620_000000_20,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,93.0817,1,2216,MMC
MMC_EVT_20190726_000000_21,2019-07-25 00:00:00+00:00,2019-07-26 00:00:00+00:00,96.4513,1,2241,MMC
MMC_EVT_20191113_000000_22,2019-11-12 00:00:00+00:00,2019-11-13 00:00:00+00:00,99.1629,1,2318,MMC
MMC_EVT_20200327_000000_23,2020-03-26 00:00:00+00:00,2020-03-27 00:00:00+00:00,79.2966,-1,2410,MMC
MMC_EVT_20200813_000000_24,2020-08-12 00:00:00+00:00,2020-08-13 00:00:00+00:00,112.463,1,2506,MMC
MMC_EVT_20210204_000000_25,2021-02-03 00:00:00+00:00,2021-02-04 00:00:00+00:00,108.83,-1,2626,MMC
MMC_EVT_20210315_000000_26,2021-03-12 00:00:00+00:00,2021-03-15 00:00:00+00:00,114.875,1,2652,MMC
MMC_EVT_20210326_000000_27,2021-03-25 00:00:00+00:00,2021-03-26 00:00:00+00:00,115.907,1,2661,MMC
MMC_EVT_20210730_000000_28,2021-07-29 00:00:00+00:00,2021-07-30 00:00:00+00:00,144.114,1,2748,MMC
MMC_EVT_20211015_000000_29,2021-10-14 00:00:00+00:00,2021-10-15 00:00:00+00:00,159.339,1,2802,MMC
MMC_EVT_20211123_000000_30,2021-11-22 00:00:00+00:00,2021-11-23 00:00:00+00:00,167.002,1,2829,MMC
MMC_EVT_20220408_000000_31,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,172.054,1,2923,MMC
MMC_EVT_20220420_000000_32,2022-04-19 00:00:00+00:00,2022-04-20 00:00:00+00:00,171.736,1,2930,MMC
MMC_EVT_20220617_000000_33,2022-06-16 00:00:00+00:00,2022-06-17 00:00:00+00:00,143.558,-1,2971,MMC
MMC_EVT_20220804_000000_34,2022-08-03 00:00:00+00:00,2022-08-04 00:00:00+00:00,164.797,1,3003,MMC
MMC_EVT_20220908_000000_35,2022-09-07 00:00:00+00:00,2022-09-08 00:00:00+00:00,164.319,1,3027,MMC
MMC_EVT_20221202_000000_36,2022-12-01 00:00:00+00:00,2022-12-02 00:00:00+00:00,171.18,1,3087,MMC
MMC_EVT_20230103_000000_37,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,166.31,-1,3107,MMC
MMC_EVT_20230324_000000_38,2023-03-23 00:00:00+00:00,2023-03-24 00:00:00+00:00,158.0,-1,3163,MMC
MMC_EVT_20230908_000000_39,2023-09-07 00:00:00+00:00,2023-09-08 00:00:00+00:00,195.77,1,3278,MMC
MMC_EVT_20231212_000000_40,2023-12-11 00:00:00+00:00,2023-12-12 00:00:00+00:00,198.99,1,3344,MMC
MMC_EVT_20250107_000000_41,2025-01-06 00:00:00+00:00,2025-01-07 00:00:00+00:00,209.075,-1,3612,MMC
