event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MRK_EVT_20110418_000000_0,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,21.8646,1,160,MRK
MRK_EVT_20110511_000000_1,2011-05-10 00:00:00+00:00,2011-05-11 00:00:00+00:00,23.5095,1,176,MRK
MRK_EVT_20120713_000000_2,2012-07-12 00:00:00+00:00,2012-07-13 00:00:00+00:00,29.1315,1,472,MRK
MRK_EVT_20120726_000000_3,2012-07-25 00:00:00+00:00,2012-07-26 00:00:00+00:00,29.1242,1,481,MRK
MRK_EVT_20121002_000000_4,2012-10-01 00:00:00+00:00,2012-10-02 00:00:00+00:00,31.0262,1,528,MRK
MRK_EVT_20130205_000000_5,2013-02-04 00:00:00+00:00,2013-02-05 00:00:00+00:00,28.3513,-1,612,MRK
MRK_EVT_20130313_000000_6,2013-03-12 00:00:00+00:00,2013-03-13 00:00:00+00:00,31.004,1,637,MRK
MRK_EVT_20130403_000000_7,2013-04-02 00:00:00+00:00,2013-04-03 00:00:00+00:00,31.3288,1,651,MRK
MRK_EVT_20130419_000000_8,2013-04-18 00:00:00+00:00,2013-04-19 00:00:00+00:00,32.622,1,663,MRK
MRK_EVT_20130617_000000_9,2013-06-14 00:00:00+00:00,2013-06-17 00:00:00+00:00,33.9538,1,703,MRK
MRK_EVT_20131028_000000_10,2013-10-25 00:00:00+00:00,2013-10-28 00:00:00+00:00,32.3054,-1,796,MRK
MRK_EVT_20131106_000000_11,2013-11-05 00:00:00+00:00,2013-11-06 00:00:00+00:00,32.299,-1,803,MRK
MRK_EVT_20140131_000000_12,2014-01-30 00:00:00+00:00,2014-01-31 00:00:00+00:00,38.1404,1,861,MRK
MRK_EVT_20150126_000000_13,2015-01-23 00:00:00+00:00,2015-01-26 00:00:00+00:00,46.132,1,1108,MRK
MRK_EVT_20160405_000000_14,2016-04-04 00:00:00+00:00,2016-04-05 00:00:00+00:00,41.5614,1,1408,MRK
MRK_EVT_20170210_000000_15,2017-02-09 00:00:00+00:00,2017-02-10 00:00:00+00:00,50.5786,1,1624,MRK
MRK_EVT_20171121_000000_16,2017-11-20 00:00:00+00:00,2017-11-21 00:00:00+00:00,43.6829,-1,1821,MRK
MRK_EVT_20180105_000000_17,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,46.5106,1,1851,MRK
MRK_EVT_20180814_000000_18,2018-08-13 00:00:00+00:00,2018-08-14 00:00:00+00:00,54.8772,1,2003,MRK
MRK_EVT_20190222_000000_19,2019-02-21 00:00:00+00:00,2019-02-22 00:00:00+00:00,66.6314,1,2134,MRK
MRK_EVT_20190702_000000_20,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00,71.5028,1,2224,MRK
MRK_EVT_20200110_000000_21,2020-01-09 00:00:00+00:00,2020-01-10 00:00:00+00:00,76.9843,1,2357,MRK
MRK_EVT_20200825_000000_22,2020-08-24 00:00:00+00:00,2020-08-25 00:00:00+00:00,74.9146,1,2514,MRK
MRK_EVT_20201102_000000_23,2020-10-30 00:00:00+00:00,2020-11-02 00:00:00+00:00,67.1507,-1,2562,MRK
MRK_EVT_20210120_000000_24,2021-01-19 00:00:00+00:00,2021-01-20 00:00:00+00:00,73.7012,1,2615,MRK
MRK_EVT_20210204_000000_25,2021-02-03 00:00:00+00:00,2021-02-04 00:00:00+00:00,68.141,-1,2626,MRK
MRK_EVT_20210219_000000_26,2021-02-18 00:00:00+00:00,2021-02-19 00:00:00+00:00,66.786,-1,2636,MRK
MRK_EVT_20210615_000000_27,2021-06-14 00:00:00+00:00,2021-06-15 00:00:00+00:00,68.0059,-1,2716,MRK
MRK_EVT_20210719_000000_28,2021-07-16 00:00:00+00:00,2021-07-19 00:00:00+00:00,70.0868,1,2739,MRK
MRK_EVT_20220627_000000_29,2022-06-24 00:00:00+00:00,2022-06-27 00:00:00+00:00,86.9724,1,2976,MRK
MRK_EVT_20220712_000000_30,2022-07-11 00:00:00+00:00,2022-07-12 00:00:00+00:00,87.5135,1,2986,MRK
MRK_EVT_20221024_000000_31,2022-10-21 00:00:00+00:00,2022-10-24 00:00:00+00:00,90.7308,1,3059,MRK
MRK_EVT_20231020_000000_32,2023-10-19 00:00:00+00:00,2023-10-20 00:00:00+00:00,96.6337,-1,3308,MRK
MRK_EVT_20240116_000000_33,2024-01-12 00:00:00+00:00,2024-01-16 00:00:00+00:00,115.342,1,3366,MRK
MRK_EVT_20240328_000000_34,2024-03-27 00:00:00+00:00,2024-03-28 00:00:00+00:00,129.308,1,3417,MRK
