event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MSFT_EVT_20101028_000000_0,2010-10-27 00:00:00+00:00,2010-10-28 00:00:00+00:00,20.1346,1,42,MSFT
MSFT_EVT_20120113_000000_1,2012-01-12 00:00:00+00:00,2012-01-13 00:00:00+00:00,22.0381,1,347,MSFT
MSFT_EVT_20120127_000000_2,2012-01-26 00:00:00+00:00,2012-01-27 00:00:00+00:00,23.2286,1,356,MSFT
MSFT_EVT_20130102_000000_3,2012-12-31 00:00:00+00:00,2013-01-02 00:00:00+00:00,22.1067,-1,589,MSFT
MSFT_EVT_20130417_000000_4,2013-04-16 00:00:00+00:00,2013-04-17 00:00:00+00:00,23.601,1,661,MSFT
MSFT_EVT_20131011_000000_5,2013-10-10 00:00:00+00:00,2013-10-11 00:00:00+00:00,27.9395,1,785,MSFT
MSFT_EVT_20140311_000000_6,2014-03-10 00:00:00+00:00,2014-03-11 00:00:00+00:00,31.8905,1,887,MSFT
MSFT_EVT_20150316_000000_7,2015-03-13 00:00:00+00:00,2015-03-16 00:00:00+00:00,35.8658,-1,1142,MSFT
MSFT_EVT_20150518_000000_8,2015-05-15 00:00:00+00:00,2015-05-18 00:00:00+00:00,41.4946,1,1186,MSFT
MSFT_EVT_20150902_000000_9,2015-09-01 00:00:00+00:00,2015-09-02 00:00:00+00:00,37.1141,-1,1261,MSFT
MSFT_EVT_20160614_000000_10,2016-06-13 00:00:00+00:00,2016-06-14 00:00:00+00:00,44.6407,-1,1457,MSFT
MSFT_EVT_20170817_000000_11,2017-08-16 00:00:00+00:00,2017-08-17 00:00:00+00:00,67.8343,1,1754,MSFT
MSFT_EVT_20171003_000000_12,2017-10-02 00:00:00+00:00,2017-10-03 00:00:00+00:00,68.8375,1,1786,MSFT
MSFT_EVT_20171222_000000_13,2017-12-21 00:00:00+00:00,2017-12-22 00:00:00+00:00,79.1255,1,1843,MSFT
MSFT_EVT_20180921_000000_14,2018-09-20 00:00:00+00:00,2018-09-21 00:00:00+00:00,107.0,1,2030,MSFT
MSFT_EVT_20190301_000000_15,2019-02-28 00:00:00+00:00,2019-03-01 00:00:00+00:00,106.866,1,2139,MSFT
MSFT_EVT_20190520_000000_16,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,120.186,1,2194,MSFT
MSFT_EVT_20200103_000000_17,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,151.432,1,2352,MSFT
MSFT_EVT_20200214_000000_18,2020-02-13 00:00:00+00:00,2020-02-14 00:00:00+00:00,175.275,1,2381,MSFT
MSFT_EVT_20200317_000000_19,2020-03-16 00:00:00+00:00,2020-03-17 00:00:00+00:00,134.28,-1,2402,MSFT
MSFT_EVT_20200804_000000_20,2020-08-03 00:00:00+00:00,2020-08-04 00:00:00+00:00,205.964,1,2499,MSFT
MSFT_EVT_20210406_000000_21,2021-04-05 00:00:00+00:00,2021-04-06 00:00:00+00:00,239.896,1,2667,MSFT
MSFT_EVT_20210615_000000_22,2021-06-14 00:00:00+00:00,2021-06-15 00:00:00+00:00,252.27,1,2716,MSFT
MSFT_EVT_20210831_000000_23,2021-08-30 00:00:00+00:00,2021-08-31 00:00:00+00:00,296.175,1,2770,MSFT
MSFT_EVT_20220307_000000_24,2022-03-04 00:00:00+00:00,2022-03-07 00:00:00+00:00,281.819,-1,2899,MSFT
MSFT_EVT_20230214_000000_25,2023-02-13 00:00:00+00:00,2023-02-14 00:00:00+00:00,268.268,1,3136,MSFT
MSFT_EVT_20230330_000000_26,2023-03-29 00:00:00+00:00,2023-03-30 00:00:00+00:00,280.342,1,3167,MSFT
MSFT_EVT_20230508_000000_27,2023-05-05 00:00:00+00:00,2023-05-08 00:00:00+00:00,305.888,1,3193,MSFT
MSFT_EVT_20240111_000000_28,2024-01-10 00:00:00+00:00,2024-01-11 00:00:00+00:00,383.135,1,3364,MSFT
MSFT_EVT_20250528_000000_29,2025-05-27 00:00:00+00:00,2025-05-28 00:00:00+00:00,461.22,1,3708,MSFT
MSFT_EVT_20250725_000000_30,2025-07-24 00:00:00+00:00,2025-07-25 00:00:00+00:00,512.465,1,3748,MSFT
MSFT_EVT_20250811_000000_31,2025-08-08 00:00:00+00:00,2025-08-11 00:00:00+00:00,522.3,1,3759,MSFT
