event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
MS_EVT_20110412_000000_0,2011-04-11 00:00:00+00:00,2011-04-12 00:00:00+00:00,20.9904,-1,155,MS
MS_EVT_20110512_000000_1,2011-05-11 00:00:00+00:00,2011-05-12 00:00:00+00:00,19.4648,-1,176,MS
MS_EVT_20120424_000000_2,2012-04-23 00:00:00+00:00,2012-04-24 00:00:00+00:00,13.5941,-1,415,MS
MS_EVT_20121205_000000_3,2012-12-04 00:00:00+00:00,2012-12-05 00:00:00+00:00,13.4527,-1,570,MS
MS_EVT_20121226_000000_4,2012-12-24 00:00:00+00:00,2012-12-26 00:00:00+00:00,15.3247,1,584,MS
MS_EVT_20130103_000000_5,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,15.6788,1,589,MS
MS_EVT_20130211_000000_6,2013-02-08 00:00:00+00:00,2013-02-11 00:00:00+00:00,18.7389,1,615,MS
MS_EVT_20130801_000000_7,2013-07-31 00:00:00+00:00,2013-08-01 00:00:00+00:00,22.3522,1,734,MS
MS_EVT_20130911_000000_8,2013-09-10 00:00:00+00:00,2013-09-11 00:00:00+00:00,22.934,1,762,MS
MS_EVT_20131112_000000_9,2013-11-11 00:00:00+00:00,2013-11-12 00:00:00+00:00,24.338,1,806,MS
MS_EVT_20131202_000000_10,2013-11-29 00:00:00+00:00,2013-12-02 00:00:00+00:00,25.5996,1,819,MS
MS_EVT_20140521_000000_11,2014-05-20 00:00:00+00:00,2014-05-21 00:00:00+00:00,24.3694,-1,936,MS
MS_EVT_20151202_000000_12,2015-12-01 00:00:00+00:00,2015-12-02 00:00:00+00:00,29.4818,1,1323,MS
MS_EVT_20160526_000000_13,2016-05-25 00:00:00+00:00,2016-05-26 00:00:00+00:00,23.5335,1,1444,MS
MS_EVT_20161108_000000_14,2016-11-07 00:00:00+00:00,2016-11-08 00:00:00+00:00,28.8784,1,1559,MS
MS_EVT_20171130_000000_15,2017-11-29 00:00:00+00:00,2017-11-30 00:00:00+00:00,44.9429,1,1826,MS
MS_EVT_20180129_000000_16,2018-01-26 00:00:00+00:00,2018-01-29 00:00:00+00:00,50.0632,1,1865,MS
MS_EVT_20180703_000000_17,2018-07-02 00:00:00+00:00,2018-07-03 00:00:00+00:00,42.0702,-1,1973,MS
MS_EVT_20180808_000000_18,2018-08-07 00:00:00+00:00,2018-08-08 00:00:00+00:00,44.3169,1,1998,MS
MS_EVT_20181221_000000_19,2018-12-20 00:00:00+00:00,2018-12-21 00:00:00+00:00,34.1891,-1,2092,MS
MS_EVT_20190425_000000_20,2019-04-24 00:00:00+00:00,2019-04-25 00:00:00+00:00,42.3214,1,2176,MS
MS_EVT_20190821_000000_21,2019-08-20 00:00:00+00:00,2019-08-21 00:00:00+00:00,36.7988,-1,2258,MS
MS_EVT_20191009_000000_22,2019-10-08 00:00:00+00:00,2019-10-09 00:00:00+00:00,36.5359,-1,2292,MS
MS_EVT_20191022_000000_23,2019-10-21 00:00:00+00:00,2019-10-22 00:00:00+00:00,40.7742,1,2301,MS
MS_EVT_20191227_000000_24,2019-12-26 00:00:00+00:00,2019-12-27 00:00:00+00:00,47.014,1,2347,MS
MS_EVT_20200212_000000_25,2020-02-11 00:00:00+00:00,2020-02-12 00:00:00+00:00,51.8331,1,2378,MS
MS_EVT_20200305_000000_26,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,40.1169,-1,2393,MS
MS_EVT_20200330_000000_27,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,30.9132,-1,2410,MS
MS_EVT_20201124_000000_28,2020-11-23 00:00:00+00:00,2020-11-24 00:00:00+00:00,57.6863,1,2577,MS
MS_EVT_20201202_000000_29,2020-12-01 00:00:00+00:00,2020-12-02 00:00:00+00:00,59.5072,1,2582,MS
MS_EVT_20211122_000000_30,2021-11-19 00:00:00+00:00,2021-11-22 00:00:00+00:00,94.9492,-1,2827,MS
MS_EVT_20221121_000000_31,2022-11-18 00:00:00+00:00,2022-11-21 00:00:00+00:00,89.06,1,3078,MS
MS_EVT_20230202_000000_32,2023-02-01 00:00:00+00:00,2023-02-02 00:00:00+00:00,98.88,1,3127,MS
MS_EVT_20230406_000000_33,2023-04-05 00:00:00+00:00,2023-04-06 00:00:00+00:00,83.9,-1,3171,MS
MS_EVT_20230810_000000_34,2023-08-09 00:00:00+00:00,2023-08-10 00:00:00+00:00,87.91,1,3257,MS
MS_EVT_20231019_000000_35,2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,74.87,-1,3306,MS
MS_EVT_20240105_000000_36,2024-01-04 00:00:00+00:00,2024-01-05 00:00:00+00:00,92.21,1,3359,MS
MS_EVT_20240705_000000_37,2024-07-03 00:00:00+00:00,2024-07-05 00:00:00+00:00,100.1,1,3483,MS
MS_EVT_20241107_000000_38,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,130.74,1,3571,MS
MS_EVT_20250117_000000_39,2025-01-16 00:00:00+00:00,2025-01-17 00:00:00+00:00,136.16,1,3618,MS
