event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
NEE_EVT_20101209_000000_0,2010-12-08 00:00:00+00:00,2010-12-09 00:00:00+00:00,9.09289,-1,71,NEE
NEE_EVT_20110519_000000_1,2011-05-18 00:00:00+00:00,2011-05-19 00:00:00+00:00,10.57,1,181,NEE
NEE_EVT_20110802_000000_2,2011-08-01 00:00:00+00:00,2011-08-02 00:00:00+00:00,10.0068,-1,232,NEE
NEE_EVT_20120313_000000_3,2012-03-12 00:00:00+00:00,2012-03-13 00:00:00+00:00,11.3832,1,386,NEE
NEE_EVT_20120402_000000_4,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,11.4531,1,400,NEE
NEE_EVT_20120503_000000_5,2012-05-02 00:00:00+00:00,2012-05-03 00:00:00+00:00,11.9109,1,422,NEE
NEE_EVT_20120607_000000_6,2012-06-06 00:00:00+00:00,2012-06-07 00:00:00+00:00,12.4613,1,446,NEE
NEE_EVT_20120806_000000_7,2012-08-03 00:00:00+00:00,2012-08-06 00:00:00+00:00,13.3769,1,487,NEE
NEE_EVT_20130204_000000_8,2013-02-01 00:00:00+00:00,2013-02-04 00:00:00+00:00,13.8741,1,610,NEE
NEE_EVT_20130419_000000_9,2013-04-18 00:00:00+00:00,2013-04-19 00:00:00+00:00,15.344,1,662,NEE
NEE_EVT_20130730_000000_10,2013-07-29 00:00:00+00:00,2013-07-30 00:00:00+00:00,17.1536,1,732,NEE
NEE_EVT_20150123_000000_11,2015-01-22 00:00:00+00:00,2015-01-23 00:00:00+00:00,22.5135,1,1106,NEE
NEE_EVT_20150309_000000_12,2015-03-06 00:00:00+00:00,2015-03-09 00:00:00+00:00,20.3868,-1,1136,NEE
NEE_EVT_20150728_000000_13,2015-07-27 00:00:00+00:00,2015-07-28 00:00:00+00:00,21.517,1,1234,NEE
NEE_EVT_20150811_000000_14,2015-08-10 00:00:00+00:00,2015-08-11 00:00:00+00:00,22.1856,1,1244,NEE
NEE_EVT_20150911_000000_15,2015-09-10 00:00:00+00:00,2015-09-11 00:00:00+00:00,19.6573,-1,1266,NEE
NEE_EVT_20161110_000000_16,2016-11-09 00:00:00+00:00,2016-11-10 00:00:00+00:00,25.2149,-1,1561,NEE
NEE_EVT_20161202_000000_17,2016-12-01 00:00:00+00:00,2016-12-02 00:00:00+00:00,24.7325,-1,1576,NEE
NEE_EVT_20161227_000000_18,2016-12-23 00:00:00+00:00,2016-12-27 00:00:00+00:00,25.9041,1,1592,NEE
NEE_EVT_20171207_000000_19,2017-12-06 00:00:00+00:00,2017-12-07 00:00:00+00:00,35.1804,1,1831,NEE
NEE_EVT_20180119_000000_20,2018-01-18 00:00:00+00:00,2018-01-19 00:00:00+00:00,33.7794,-1,1859,NEE
NEE_EVT_20181203_000000_21,2018-11-30 00:00:00+00:00,2018-12-03 00:00:00+00:00,41.4323,1,2079,NEE
NEE_EVT_20190718_000000_22,2019-07-17 00:00:00+00:00,2019-07-18 00:00:00+00:00,48.9198,1,2234,NEE
NEE_EVT_20190912_000000_23,2019-09-11 00:00:00+00:00,2019-09-12 00:00:00+00:00,51.9048,1,2273,NEE
NEE_EVT_20191227_000000_24,2019-12-26 00:00:00+00:00,2019-12-27 00:00:00+00:00,56.986,1,2347,NEE
