event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
NFLX_EVT_20101213_000000_0,2010-12-10 00:00:00+00:00,2010-12-13 00:00:00+00:00,27.507,1,73,NFLX
NFLX_EVT_20110720_000000_1,2011-07-19 00:00:00+00:00,2011-07-20 00:00:00+00:00,40.429,1,223,NFLX
NFLX_EVT_20110906_000000_2,2011-09-02 00:00:00+00:00,2011-09-06 00:00:00+00:00,29.869,-1,256,NFLX
NFLX_EVT_20111026_000000_3,2011-10-25 00:00:00+00:00,2011-10-26 00:00:00+00:00,11.247,-1,292,NFLX
NFLX_EVT_20111122_000000_4,2011-11-21 00:00:00+00:00,2011-11-22 00:00:00+00:00,9.887,-1,311,NFLX
NFLX_EVT_20120222_000000_5,2012-02-21 00:00:00+00:00,2012-02-22 00:00:00+00:00,16.417,1,372,NFLX
NFLX_EVT_20120712_000000_6,2012-07-11 00:00:00+00:00,2012-07-12 00:00:00+00:00,11.646,1,470,NFLX
NFLX_EVT_20120720_000000_7,2012-07-19 00:00:00+00:00,2012-07-20 00:00:00+00:00,11.809,1,476,NFLX
NFLX_EVT_20130122_000000_8,2013-01-18 00:00:00+00:00,2013-01-22 00:00:00+00:00,14.236,1,601,NFLX
NFLX_EVT_20140129_000000_9,2014-01-28 00:00:00+00:00,2014-01-29 00:00:00+00:00,57.589,1,858,NFLX
NFLX_EVT_20140206_000000_10,2014-02-05 00:00:00+00:00,2014-02-06 00:00:00+00:00,58.06,1,864,NFLX
NFLX_EVT_20140305_000000_11,2014-03-04 00:00:00+00:00,2014-03-05 00:00:00+00:00,64.856,1,882,NFLX
NFLX_EVT_20140624_000000_12,2014-06-23 00:00:00+00:00,2014-06-24 00:00:00+00:00,62.579,1,959,NFLX
NFLX_EVT_20140910_000000_13,2014-09-09 00:00:00+00:00,2014-09-10 00:00:00+00:00,68.687,1,1013,NFLX
NFLX_EVT_20150204_000000_14,2015-02-03 00:00:00+00:00,2015-02-04 00:00:00+00:00,65.041,1,1114,NFLX
NFLX_EVT_20150211_000000_15,2015-02-10 00:00:00+00:00,2015-02-11 00:00:00+00:00,64.83,1,1119,NFLX
NFLX_EVT_20150528_000000_16,2015-05-27 00:00:00+00:00,2015-05-28 00:00:00+00:00,89.714,1,1192,NFLX
NFLX_EVT_20150624_000000_17,2015-06-23 00:00:00+00:00,2015-06-24 00:00:00+00:00,100.01,1,1211,NFLX
NFLX_EVT_20150730_000000_18,2015-07-29 00:00:00+00:00,2015-07-30 00:00:00+00:00,106.4,1,1236,NFLX
NFLX_EVT_20150911_000000_19,2015-09-10 00:00:00+00:00,2015-09-11 00:00:00+00:00,98.57,-1,1266,NFLX
NFLX_EVT_20151203_000000_20,2015-12-02 00:00:00+00:00,2015-12-03 00:00:00+00:00,129.62,1,1324,NFLX
NFLX_EVT_20160414_000000_21,2016-04-13 00:00:00+00:00,2016-04-14 00:00:00+00:00,110.01,1,1414,NFLX
NFLX_EVT_20160505_000000_22,2016-05-04 00:00:00+00:00,2016-05-05 00:00:00+00:00,90.91,-1,1429,NFLX
NFLX_EVT_20160513_000000_23,2016-05-12 00:00:00+00:00,2016-05-13 00:00:00+00:00,87.39,-1,1435,NFLX
NFLX_EVT_20161028_000000_24,2016-10-27 00:00:00+00:00,2016-10-28 00:00:00+00:00,126.08,1,1552,NFLX
NFLX_EVT_20170519_000000_25,2017-05-18 00:00:00+00:00,2017-05-19 00:00:00+00:00,156.15,1,1691,NFLX
NFLX_EVT_20171106_000000_26,2017-11-03 00:00:00+00:00,2017-11-06 00:00:00+00:00,200.0,1,1809,NFLX
NFLX_EVT_20180221_000000_27,2018-02-20 00:00:00+00:00,2018-02-21 00:00:00+00:00,282.07,1,1881,NFLX
NFLX_EVT_20180612_000000_28,2018-06-11 00:00:00+00:00,2018-06-12 00:00:00+00:00,363.6,1,1958,NFLX
NFLX_EVT_20180809_000000_29,2018-08-08 00:00:00+00:00,2018-08-09 00:00:00+00:00,347.96,-1,1999,NFLX
NFLX_EVT_20190530_000000_30,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00,350.55,-1,2200,NFLX
NFLX_EVT_20190710_000000_31,2019-07-09 00:00:00+00:00,2019-07-10 00:00:00+00:00,382.77,1,2228,NFLX
NFLX_EVT_20190911_000000_32,2019-09-10 00:00:00+00:00,2019-09-11 00:00:00+00:00,285.7,-1,2272,NFLX
NFLX_EVT_20191118_000000_33,2019-11-15 00:00:00+00:00,2019-11-18 00:00:00+00:00,296.0,1,2320,NFLX
NFLX_EVT_20200227_000000_34,2020-02-26 00:00:00+00:00,2020-02-27 00:00:00+00:00,371.46,1,2388,NFLX
NFLX_EVT_20200716_000000_35,2020-07-15 00:00:00+00:00,2020-07-16 00:00:00+00:00,526.48,1,2485,NFLX
NFLX_EVT_20201012_000000_36,2020-10-09 00:00:00+00:00,2020-10-12 00:00:00+00:00,548.81,1,2546,NFLX
NFLX_EVT_20201124_000000_37,2020-11-23 00:00:00+00:00,2020-11-24 00:00:00+00:00,478.84,-1,2577,NFLX
NFLX_EVT_20210429_000000_38,2021-04-28 00:00:00+00:00,2021-04-29 00:00:00+00:00,507.6,-1,2683,NFLX
NFLX_EVT_20210820_000000_39,2021-08-19 00:00:00+00:00,2021-08-20 00:00:00+00:00,545.09,1,2762,NFLX
NFLX_EVT_20211112_000000_40,2021-11-11 00:00:00+00:00,2021-11-12 00:00:00+00:00,660.01,1,2821,NFLX
NFLX_EVT_20220104_000000_41,2022-01-03 00:00:00+00:00,2022-01-04 00:00:00+00:00,599.91,-1,2856,NFLX
NFLX_EVT_20221201_000000_42,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,303.99,1,3085,NFLX
NFLX_EVT_20230320_000000_43,2023-03-17 00:00:00+00:00,2023-03-20 00:00:00+00:00,299.79,-1,3158,NFLX
NFLX_EVT_20230512_000000_44,2023-05-11 00:00:00+00:00,2023-05-12 00:00:00+00:00,344.76,1,3196,NFLX
NFLX_EVT_20231012_000000_45,2023-10-11 00:00:00+00:00,2023-10-12 00:00:00+00:00,366.48,-1,3301,NFLX
NFLX_EVT_20240314_000000_46,2024-03-13 00:00:00+00:00,2024-03-14 00:00:00+00:00,615.0,1,3406,NFLX
NFLX_EVT_20241211_000000_47,2024-12-10 00:00:00+00:00,2024-12-11 00:00:00+00:00,924.71,1,3594,NFLX
NFLX_EVT_20250205_000000_48,2025-02-04 00:00:00+00:00,2025-02-05 00:00:00+00:00,987.73,1,3630,NFLX
NFLX_EVT_20250507_000000_49,2025-05-06 00:00:00+00:00,2025-05-07 00:00:00+00:00,1139.175,1,3693,NFLX
NFLX_EVT_20250715_000000_50,2025-07-14 00:00:00+00:00,2025-07-15 00:00:00+00:00,1262.0,1,3739,NFLX
