event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
NKE_EVT_20101210_000000_0,2010-12-09 00:00:00+00:00,2010-12-10 00:00:00+00:00,19.1126,1,72,NKE
NKE_EVT_20110228_000000_1,2011-02-25 00:00:00+00:00,2011-02-28 00:00:00+00:00,19.2307,1,125,NKE
NKE_EVT_20110328_000000_2,2011-03-25 00:00:00+00:00,2011-03-28 00:00:00+00:00,16.7585,-1,145,NKE
NKE_EVT_20110519_000000_3,2011-05-18 00:00:00+00:00,2011-05-19 00:00:00+00:00,18.6179,1,182,NKE
NKE_EVT_20120223_000000_4,2012-02-22 00:00:00+00:00,2012-02-23 00:00:00+00:00,23.4104,1,374,NKE
NKE_EVT_20120920_000000_5,2012-09-19 00:00:00+00:00,2012-09-20 00:00:00+00:00,21.9705,1,520,NKE
NKE_EVT_20130212_000000_6,2013-02-11 00:00:00+00:00,2013-02-12 00:00:00+00:00,24.5686,1,617,NKE
NKE_EVT_20130410_000000_7,2013-04-09 00:00:00+00:00,2013-04-10 00:00:00+00:00,26.9286,1,656,NKE
NKE_EVT_20130513_000000_8,2013-05-10 00:00:00+00:00,2013-05-13 00:00:00+00:00,28.9843,1,679,NKE
NKE_EVT_20130809_000000_9,2013-08-08 00:00:00+00:00,2013-08-09 00:00:00+00:00,29.7161,1,741,NKE
NKE_EVT_20130911_000000_10,2013-09-10 00:00:00+00:00,2013-09-11 00:00:00+00:00,30.2932,1,763,NKE
NKE_EVT_20131104_000000_11,2013-11-01 00:00:00+00:00,2013-11-04 00:00:00+00:00,34.5225,1,801,NKE
NKE_EVT_20140310_000000_12,2014-03-07 00:00:00+00:00,2014-03-10 00:00:00+00:00,36.0298,1,886,NKE
NKE_EVT_20140408_000000_13,2014-04-07 00:00:00+00:00,2014-04-08 00:00:00+00:00,32.8645,-1,907,NKE
NKE_EVT_20140414_000000_14,2014-04-11 00:00:00+00:00,2014-04-14 00:00:00+00:00,32.6295,-1,911,NKE
NKE_EVT_20140918_000000_15,2014-09-17 00:00:00+00:00,2014-09-18 00:00:00+00:00,37.4776,1,1020,NKE
NKE_EVT_20141022_000000_16,2014-10-21 00:00:00+00:00,2014-10-22 00:00:00+00:00,41.5085,1,1044,NKE
NKE_EVT_20141205_000000_17,2014-12-04 00:00:00+00:00,2014-12-05 00:00:00+00:00,45.4483,1,1075,NKE
NKE_EVT_20150209_000000_18,2015-02-06 00:00:00+00:00,2015-02-09 00:00:00+00:00,42.0262,-1,1118,NKE
NKE_EVT_20150330_000000_19,2015-03-27 00:00:00+00:00,2015-03-30 00:00:00+00:00,46.6134,1,1152,NKE
NKE_EVT_20151001_000000_20,2015-09-30 00:00:00+00:00,2015-10-01 00:00:00+00:00,57.0176,1,1281,NKE
NKE_EVT_20160128_000000_21,2016-01-27 00:00:00+00:00,2016-01-28 00:00:00+00:00,55.9874,-1,1362,NKE
NKE_EVT_20160627_000000_22,2016-06-24 00:00:00+00:00,2016-06-27 00:00:00+00:00,48.5332,-1,1466,NKE
NKE_EVT_20170126_000000_23,2017-01-25 00:00:00+00:00,2017-01-26 00:00:00+00:00,50.8259,1,1613,NKE
NKE_EVT_20170511_000000_24,2017-05-10 00:00:00+00:00,2017-05-11 00:00:00+00:00,51.3703,-1,1686,NKE
NKE_EVT_20180615_000000_25,2018-06-14 00:00:00+00:00,2018-06-15 00:00:00+00:00,71.5231,1,1962,NKE
NKE_EVT_20190926_000000_26,2019-09-25 00:00:00+00:00,2019-09-26 00:00:00+00:00,88.8926,1,2284,NKE
NKE_EVT_20191010_000000_27,2019-10-09 00:00:00+00:00,2019-10-10 00:00:00+00:00,90.7171,1,2294,NKE
NKE_EVT_20200324_000000_28,2020-03-23 00:00:00+00:00,2020-03-24 00:00:00+00:00,64.087,-1,2407,NKE
NKE_EVT_20200909_000000_29,2020-09-08 00:00:00+00:00,2020-09-09 00:00:00+00:00,110.755,1,2524,NKE
NKE_EVT_20210729_000000_30,2021-07-28 00:00:00+00:00,2021-07-29 00:00:00+00:00,163.569,1,2747,NKE
NKE_EVT_20210921_000000_31,2021-09-20 00:00:00+00:00,2021-09-21 00:00:00+00:00,153.167,-1,2784,NKE
NKE_EVT_20220519_000000_32,2022-05-18 00:00:00+00:00,2022-05-19 00:00:00+00:00,108.038,-1,2951,NKE
NKE_EVT_20221021_000000_33,2022-10-20 00:00:00+00:00,2022-10-21 00:00:00+00:00,86.7537,-1,3058,NKE
NKE_EVT_20230707_000000_34,2023-07-06 00:00:00+00:00,2023-07-07 00:00:00+00:00,104.8,-1,3234,NKE
NKE_EVT_20230919_000000_35,2023-09-18 00:00:00+00:00,2023-09-19 00:00:00+00:00,95.04,-1,3285,NKE
NKE_EVT_20231211_000000_36,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,117.79,1,3343,NKE
NKE_EVT_20240923_000000_37,2024-09-20 00:00:00+00:00,2024-09-23 00:00:00+00:00,85.4,1,3539,NKE
NKE_EVT_20241119_000000_38,2024-11-18 00:00:00+00:00,2024-11-19 00:00:00+00:00,74.5,-1,3580,NKE
NKE_EVT_20250404_000000_39,2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,53.22,-1,3672,NKE
