event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
NVDA_EVT_20101119_000000_0,2010-11-18 00:00:00+00:00,2010-11-19 00:00:00+00:00,0.304435,1,58,NVDA
NVDA_EVT_20101221_000000_1,2010-12-20 00:00:00+00:00,2010-12-21 00:00:00+00:00,0.331346,1,79,NVDA
NVDA_EVT_20120209_000000_2,2012-02-08 00:00:00+00:00,2012-02-09 00:00:00+00:00,0.377687,1,365,NVDA
NVDA_EVT_20131114_000000_3,2013-11-13 00:00:00+00:00,2013-11-14 00:00:00+00:00,0.377647,1,809,NVDA
NVDA_EVT_20140801_000000_4,2014-07-31 00:00:00+00:00,2014-08-01 00:00:00+00:00,0.416437,-1,987,NVDA
NVDA_EVT_20141204_000000_5,2014-12-03 00:00:00+00:00,2014-12-04 00:00:00+00:00,0.506703,1,1074,NVDA
NVDA_EVT_20151102_000000_6,2015-10-30 00:00:00+00:00,2015-11-02 00:00:00+00:00,0.691737,1,1303,NVDA
NVDA_EVT_20160208_000000_7,2016-02-05 00:00:00+00:00,2016-02-08 00:00:00+00:00,0.635082,-1,1369,NVDA
NVDA_EVT_20160621_000000_8,2016-06-20 00:00:00+00:00,2016-06-21 00:00:00+00:00,1.17264,1,1462,NVDA
NVDA_EVT_20161114_000000_9,2016-11-11 00:00:00+00:00,2016-11-14 00:00:00+00:00,2.16667,1,1564,NVDA
NVDA_EVT_20170130_000000_10,2017-01-27 00:00:00+00:00,2017-01-30 00:00:00+00:00,2.73203,1,1615,NVDA
NVDA_EVT_20171023_000000_11,2017-10-20 00:00:00+00:00,2017-10-23 00:00:00+00:00,4.88781,1,1800,NVDA
NVDA_EVT_20171113_000000_12,2017-11-10 00:00:00+00:00,2017-11-13 00:00:00+00:00,5.34152,1,1815,NVDA
NVDA_EVT_20180112_000000_13,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,5.52965,1,1856,NVDA
NVDA_EVT_20180605_000000_14,2018-06-04 00:00:00+00:00,2018-06-05 00:00:00+00:00,6.5614,1,1954,NVDA
NVDA_EVT_20180612_000000_15,2018-06-11 00:00:00+00:00,2018-06-12 00:00:00+00:00,6.47934,1,1959,NVDA
NVDA_EVT_20181002_000000_16,2018-10-01 00:00:00+00:00,2018-10-02 00:00:00+00:00,7.14114,1,2037,NVDA
NVDA_EVT_20190104_000000_17,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,3.24704,-1,2101,NVDA
NVDA_EVT_20190417_000000_18,2019-04-16 00:00:00+00:00,2019-04-17 00:00:00+00:00,4.70667,1,2172,NVDA
NVDA_EVT_20190906_000000_19,2019-09-05 00:00:00+00:00,2019-09-06 00:00:00+00:00,4.44825,1,2270,NVDA
NVDA_EVT_20200423_000000_20,2020-04-22 00:00:00+00:00,2020-04-23 00:00:00+00:00,7.1703,1,2428,NVDA
NVDA_EVT_20200728_000000_21,2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,10.3425,1,2494,NVDA
NVDA_EVT_20201013_000000_22,2020-10-12 00:00:00+00:00,2020-10-13 00:00:00+00:00,14.2557,1,2548,NVDA
NVDA_EVT_20210601_000000_23,2021-05-28 00:00:00+00:00,2021-06-01 00:00:00+00:00,16.2338,1,2706,NVDA
NVDA_EVT_20210614_000000_24,2021-06-11 00:00:00+00:00,2021-06-14 00:00:00+00:00,17.8713,1,2715,NVDA
NVDA_EVT_20220422_000000_25,2022-04-21 00:00:00+00:00,2022-04-22 00:00:00+00:00,20.2727,-1,2932,NVDA
NVDA_EVT_20220811_000000_26,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,18.1078,1,3008,NVDA
NVDA_EVT_20221024_000000_27,2022-10-21 00:00:00+00:00,2022-10-24 00:00:00+00:00,12.4957,-1,3059,NVDA
NVDA_EVT_20230123_000000_28,2023-01-20 00:00:00+00:00,2023-01-23 00:00:00+00:00,18.0509,1,3120,NVDA
NVDA_EVT_20230306_000000_29,2023-03-03 00:00:00+00:00,2023-03-06 00:00:00+00:00,23.8736,1,3149,NVDA
NVDA_EVT_20230526_000000_30,2023-05-25 00:00:00+00:00,2023-05-26 00:00:00+00:00,37.869,1,3207,NVDA
NVDA_EVT_20230830_000000_31,2023-08-29 00:00:00+00:00,2023-08-30 00:00:00+00:00,49.0218,1,3272,NVDA
NVDA_EVT_20240215_000000_32,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,73.848,1,3388,NVDA
NVDA_EVT_20240826_000000_33,2024-08-23 00:00:00+00:00,2024-08-26 00:00:00+00:00,129.55,1,3520,NVDA
NVDA_EVT_20250204_000000_34,2025-02-03 00:00:00+00:00,2025-02-04 00:00:00+00:00,116.96,-1,3630,NVDA
NVDA_EVT_20250429_000000_35,2025-04-28 00:00:00+00:00,2025-04-29 00:00:00+00:00,107.67,-1,3688,NVDA
NVDA_EVT_20250625_000000_36,2025-06-24 00:00:00+00:00,2025-06-25 00:00:00+00:00,149.27,1,3727,NVDA
NVDA_EVT_20250724_000000_37,2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,172.44,1,3747,NVDA
