event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
ORCL_EVT_20110218_000000_0,2011-02-17 00:00:00+00:00,2011-02-18 00:00:00+00:00,27.9675,1,120,ORCL
ORCL_EVT_20110414_000000_1,2011-04-13 00:00:00+00:00,2011-04-14 00:00:00+00:00,28.2825,1,158,ORCL
ORCL_EVT_20110418_000000_2,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,28.538,1,160,ORCL
ORCL_EVT_20110509_000000_3,2011-05-06 00:00:00+00:00,2011-05-09 00:00:00+00:00,29.5433,1,174,ORCL
ORCL_EVT_20120424_000000_4,2012-04-23 00:00:00+00:00,2012-04-24 00:00:00+00:00,24.3801,-1,416,ORCL
ORCL_EVT_20120525_000000_5,2012-05-24 00:00:00+00:00,2012-05-25 00:00:00+00:00,22.3724,-1,439,ORCL
ORCL_EVT_20120806_000000_6,2012-08-03 00:00:00+00:00,2012-08-06 00:00:00+00:00,26.4779,1,488,ORCL
ORCL_EVT_20120907_000000_7,2012-09-06 00:00:00+00:00,2012-09-07 00:00:00+00:00,27.9497,1,511,ORCL
ORCL_EVT_20121022_000000_8,2012-10-19 00:00:00+00:00,2012-10-22 00:00:00+00:00,26.2461,-1,542,ORCL
ORCL_EVT_20130408_000000_9,2013-04-05 00:00:00+00:00,2013-04-08 00:00:00+00:00,27.6704,-1,654,ORCL
ORCL_EVT_20130529_000000_10,2013-05-28 00:00:00+00:00,2013-05-29 00:00:00+00:00,29.68,1,690,ORCL
ORCL_EVT_20130918_000000_11,2013-09-17 00:00:00+00:00,2013-09-18 00:00:00+00:00,28.7658,1,768,ORCL
ORCL_EVT_20131031_000000_12,2013-10-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,29.2214,1,799,ORCL
ORCL_EVT_20140113_000000_13,2014-01-10 00:00:00+00:00,2014-01-13 00:00:00+00:00,33.0941,1,848,ORCL
ORCL_EVT_20141008_000000_14,2014-10-07 00:00:00+00:00,2014-10-08 00:00:00+00:00,34.1569,-1,1034,ORCL
ORCL_EVT_20141013_000000_15,2014-10-10 00:00:00+00:00,2014-10-13 00:00:00+00:00,33.5348,-1,1037,ORCL
ORCL_EVT_20141124_000000_16,2014-11-21 00:00:00+00:00,2014-11-24 00:00:00+00:00,36.4349,1,1067,ORCL
ORCL_EVT_20150930_000000_17,2015-09-29 00:00:00+00:00,2015-09-30 00:00:00+00:00,31.8966,-1,1280,ORCL
ORCL_EVT_20160108_000000_18,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,31.4707,-1,1349,ORCL
ORCL_EVT_20160603_000000_19,2016-06-02 00:00:00+00:00,2016-06-03 00:00:00+00:00,34.8373,-1,1450,ORCL
ORCL_EVT_20170210_000000_20,2017-02-09 00:00:00+00:00,2017-02-10 00:00:00+00:00,36.6815,1,1624,ORCL
ORCL_EVT_20170710_000000_21,2017-07-07 00:00:00+00:00,2017-07-10 00:00:00+00:00,45.0073,1,1726,ORCL
ORCL_EVT_20180124_000000_22,2018-01-23 00:00:00+00:00,2018-01-24 00:00:00+00:00,47.4626,1,1863,ORCL
ORCL_EVT_20180306_000000_23,2018-03-05 00:00:00+00:00,2018-03-06 00:00:00+00:00,47.6479,1,1891,ORCL
ORCL_EVT_20190102_000000_24,2018-12-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,41.6041,-1,2099,ORCL
ORCL_EVT_20190131_000000_25,2019-01-30 00:00:00+00:00,2019-01-31 00:00:00+00:00,47.1774,1,2119,ORCL
ORCL_EVT_20190327_000000_26,2019-03-26 00:00:00+00:00,2019-03-27 00:00:00+00:00,50.0319,1,2157,ORCL
ORCL_EVT_20200218_000000_27,2020-02-14 00:00:00+00:00,2020-02-18 00:00:00+00:00,52.9557,1,2382,ORCL
ORCL_EVT_20200317_000000_28,2020-03-16 00:00:00+00:00,2020-03-17 00:00:00+00:00,41.6793,-1,2402,ORCL
ORCL_EVT_20201009_000000_29,2020-10-08 00:00:00+00:00,2020-10-09 00:00:00+00:00,59.1956,1,2546,ORCL
ORCL_EVT_20210326_000000_30,2021-03-25 00:00:00+00:00,2021-03-26 00:00:00+00:00,66.632,1,2661,ORCL
ORCL_EVT_20220106_000000_31,2022-01-05 00:00:00+00:00,2022-01-06 00:00:00+00:00,84.8474,-1,2859,ORCL
