event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
OXY_EVT_20120423_000000_0,2012-04-20 00:00:00+00:00,2012-04-23 00:00:00+00:00,60.8106,-1,415,OXY
OXY_EVT_20120601_000000_1,2012-05-31 00:00:00+00:00,2012-06-01 00:00:00+00:00,54.3471,-1,443,OXY
OXY_EVT_20120716_000000_2,2012-07-13 00:00:00+00:00,2012-07-16 00:00:00+00:00,59.8305,1,473,OXY
OXY_EVT_20130821_000000_3,2013-08-20 00:00:00+00:00,2013-08-21 00:00:00+00:00,61.8663,-1,749,OXY
OXY_EVT_20130925_000000_4,2013-09-24 00:00:00+00:00,2013-09-25 00:00:00+00:00,67.8586,1,773,OXY
OXY_EVT_20131122_000000_5,2013-11-21 00:00:00+00:00,2013-11-22 00:00:00+00:00,71.9145,1,815,OXY
OXY_EVT_20140203_000000_6,2014-01-31 00:00:00+00:00,2014-02-03 00:00:00+00:00,64.3675,-1,862,OXY
OXY_EVT_20140318_000000_7,2014-03-17 00:00:00+00:00,2014-03-18 00:00:00+00:00,71.7275,1,892,OXY
OXY_EVT_20140529_000000_8,2014-05-28 00:00:00+00:00,2014-05-29 00:00:00+00:00,73.2317,1,942,OXY
OXY_EVT_20140620_000000_9,2014-06-19 00:00:00+00:00,2014-06-20 00:00:00+00:00,77.0557,1,958,OXY
OXY_EVT_20141201_000000_10,2014-11-28 00:00:00+00:00,2014-12-01 00:00:00+00:00,57.9476,-1,1071,OXY
OXY_EVT_20150330_000000_11,2015-03-27 00:00:00+00:00,2015-03-30 00:00:00+00:00,56.038,-1,1152,OXY
OXY_EVT_20150507_000000_12,2015-05-06 00:00:00+00:00,2015-05-07 00:00:00+00:00,59.9826,1,1179,OXY
OXY_EVT_20151218_000000_13,2015-12-17 00:00:00+00:00,2015-12-18 00:00:00+00:00,52.2854,-1,1336,OXY
OXY_EVT_20160119_000000_14,2016-01-15 00:00:00+00:00,2016-01-19 00:00:00+00:00,49.9901,-1,1355,OXY
OXY_EVT_20160318_000000_15,2016-03-17 00:00:00+00:00,2016-03-18 00:00:00+00:00,56.6842,1,1397,OXY
OXY_EVT_20160906_000000_16,2016-09-02 00:00:00+00:00,2016-09-06 00:00:00+00:00,62.3544,1,1515,OXY
OXY_EVT_20160926_000000_17,2016-09-23 00:00:00+00:00,2016-09-26 00:00:00+00:00,56.6405,-1,1529,OXY
OXY_EVT_20170517_000000_18,2017-05-16 00:00:00+00:00,2017-05-17 00:00:00+00:00,50.0288,-1,1690,OXY
OXY_EVT_20171129_000000_19,2017-11-28 00:00:00+00:00,2017-11-29 00:00:00+00:00,58.4984,1,1826,OXY
OXY_EVT_20180112_000000_20,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,65.4033,1,1856,OXY
OXY_EVT_20180907_000000_21,2018-09-06 00:00:00+00:00,2018-09-07 00:00:00+00:00,67.6727,-1,2020,OXY
OXY_EVT_20190211_000000_22,2019-02-08 00:00:00+00:00,2019-02-11 00:00:00+00:00,57.9009,-1,2126,OXY
OXY_EVT_20190510_000000_23,2019-05-09 00:00:00+00:00,2019-05-10 00:00:00+00:00,51.1979,-1,2188,OXY
OXY_EVT_20190822_000000_24,2019-08-21 00:00:00+00:00,2019-08-22 00:00:00+00:00,41.7949,-1,2260,OXY
OXY_EVT_20200330_000000_25,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,11.1853,-1,2411,OXY
OXY_EVT_20210126_000000_26,2021-01-25 00:00:00+00:00,2021-01-26 00:00:00+00:00,21.6878,1,2619,OXY
OXY_EVT_20210225_000000_27,2021-02-24 00:00:00+00:00,2021-02-25 00:00:00+00:00,27.8977,1,2640,OXY
OXY_EVT_20210416_000000_28,2021-04-15 00:00:00+00:00,2021-04-16 00:00:00+00:00,24.7665,-1,2675,OXY
OXY_EVT_20210702_000000_29,2021-07-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,32.1275,1,2729,OXY
OXY_EVT_20221028_000000_30,2022-10-27 00:00:00+00:00,2022-10-28 00:00:00+00:00,72.3421,1,3063,OXY
OXY_EVT_20221107_000000_31,2022-11-04 00:00:00+00:00,2022-11-07 00:00:00+00:00,73.8989,1,3069,OXY
OXY_EVT_20230324_000000_32,2023-03-23 00:00:00+00:00,2023-03-24 00:00:00+00:00,57.875,-1,3163,OXY
OXY_EVT_20230510_000000_33,2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,58.27,-1,3195,OXY
OXY_EVT_20240313_000000_34,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,61.64,1,3406,OXY
OXY_EVT_20240419_000000_35,2024-04-18 00:00:00+00:00,2024-04-19 00:00:00+00:00,66.17,1,3432,OXY
OXY_EVT_20240523_000000_36,2024-05-22 00:00:00+00:00,2024-05-23 00:00:00+00:00,62.87,-1,3456,OXY
OXY_EVT_20240614_000000_37,2024-06-13 00:00:00+00:00,2024-06-14 00:00:00+00:00,59.85,-1,3471,OXY
OXY_EVT_20241029_000000_38,2024-10-28 00:00:00+00:00,2024-10-29 00:00:00+00:00,50.58,-1,3565,OXY
