event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
PEP_EVT_20110531_000000_0,2011-05-27 00:00:00+00:00,2011-05-31 00:00:00+00:00,50.2428,1,189,PEP
PEP_EVT_20120223_000000_1,2012-02-22 00:00:00+00:00,2012-02-23 00:00:00+00:00,45.9509,-1,374,PEP
PEP_EVT_20120302_000000_2,2012-03-01 00:00:00+00:00,2012-03-02 00:00:00+00:00,45.8548,-1,380,PEP
PEP_EVT_20121115_000000_3,2012-11-14 00:00:00+00:00,2012-11-15 00:00:00+00:00,50.7095,-1,558,PEP
PEP_EVT_20130206_000000_4,2013-02-05 00:00:00+00:00,2013-02-06 00:00:00+00:00,54.6955,1,613,PEP
PEP_EVT_20130315_000000_5,2013-03-14 00:00:00+00:00,2013-03-15 00:00:00+00:00,58.067,1,639,PEP
PEP_EVT_20130828_000000_6,2013-08-27 00:00:00+00:00,2013-08-28 00:00:00+00:00,60.0796,-1,754,PEP
PEP_EVT_20140724_000000_7,2014-07-23 00:00:00+00:00,2014-07-24 00:00:00+00:00,71.7193,1,981,PEP
PEP_EVT_20141009_000000_8,2014-10-08 00:00:00+00:00,2014-10-09 00:00:00+00:00,75.3623,1,1035,PEP
PEP_EVT_20150911_000000_9,2015-09-10 00:00:00+00:00,2015-09-11 00:00:00+00:00,73.735,-1,1267,PEP
PEP_EVT_20151016_000000_10,2015-10-15 00:00:00+00:00,2015-10-16 00:00:00+00:00,80.1641,1,1292,PEP
PEP_EVT_20151030_000000_11,2015-10-29 00:00:00+00:00,2015-10-30 00:00:00+00:00,83.2354,1,1302,PEP
PEP_EVT_20151214_000000_12,2015-12-11 00:00:00+00:00,2015-12-14 00:00:00+00:00,80.1092,-1,1332,PEP
PEP_EVT_20160329_000000_13,2016-03-28 00:00:00+00:00,2016-03-29 00:00:00+00:00,83.1168,1,1403,PEP
PEP_EVT_20160418_000000_14,2016-04-15 00:00:00+00:00,2016-04-18 00:00:00+00:00,85.6834,1,1417,PEP
PEP_EVT_20161202_000000_15,2016-12-01 00:00:00+00:00,2016-12-02 00:00:00+00:00,83.5629,-1,1577,PEP
PEP_EVT_20170302_000000_16,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,92.9428,1,1637,PEP
PEP_EVT_20170517_000000_17,2017-05-16 00:00:00+00:00,2017-05-17 00:00:00+00:00,96.0447,1,1690,PEP
PEP_EVT_20171002_000000_18,2017-09-29 00:00:00+00:00,2017-10-02 00:00:00+00:00,94.336,-1,1785,PEP
PEP_EVT_20180508_000000_19,2018-05-07 00:00:00+00:00,2018-05-08 00:00:00+00:00,85.25,-1,1935,PEP
PEP_EVT_20190621_000000_20,2019-06-20 00:00:00+00:00,2019-06-21 00:00:00+00:00,121.651,1,2217,PEP
PEP_EVT_20190705_000000_21,2019-07-03 00:00:00+00:00,2019-07-05 00:00:00+00:00,120.504,1,2226,PEP
PEP_EVT_20191001_000000_22,2019-09-30 00:00:00+00:00,2019-10-01 00:00:00+00:00,125.024,1,2287,PEP
PEP_EVT_20200218_000000_23,2020-02-14 00:00:00+00:00,2020-02-18 00:00:00+00:00,135.268,1,2382,PEP
PEP_EVT_20200319_000000_24,2020-03-18 00:00:00+00:00,2020-03-19 00:00:00+00:00,112.417,-1,2404,PEP
PEP_EVT_20210610_000000_25,2021-06-09 00:00:00+00:00,2021-06-10 00:00:00+00:00,140.572,1,2713,PEP
PEP_EVT_20220308_000000_26,2022-03-07 00:00:00+00:00,2022-03-08 00:00:00+00:00,159.189,-1,2900,PEP
PEP_EVT_20220427_000000_27,2022-04-26 00:00:00+00:00,2022-04-27 00:00:00+00:00,170.012,1,2935,PEP
PEP_EVT_20220809_000000_28,2022-08-08 00:00:00+00:00,2022-08-09 00:00:00+00:00,172.547,1,3006,PEP
PEP_EVT_20221214_000000_29,2022-12-13 00:00:00+00:00,2022-12-14 00:00:00+00:00,184.07,1,3095,PEP
PEP_EVT_20230203_000000_30,2023-02-02 00:00:00+00:00,2023-02-03 00:00:00+00:00,170.955,-1,3129,PEP
PEP_EVT_20230901_000000_31,2023-08-31 00:00:00+00:00,2023-09-01 00:00:00+00:00,178.73,-1,3274,PEP
PEP_EVT_20240503_000000_32,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,175.8,1,3442,PEP
PEP_EVT_20240822_000000_33,2024-08-21 00:00:00+00:00,2024-08-22 00:00:00+00:00,175.83,1,3518,PEP
PEP_EVT_20241118_000000_34,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,159.405,-1,3579,PEP
PEP_EVT_20241202_000000_35,2024-11-29 00:00:00+00:00,2024-12-02 00:00:00+00:00,163.315,-1,3588,PEP
PEP_EVT_20250303_000000_36,2025-02-28 00:00:00+00:00,2025-03-03 00:00:00+00:00,151.35,1,3648,PEP
PEP_EVT_20250310_000000_37,2025-03-07 00:00:00+00:00,2025-03-10 00:00:00+00:00,155.875,1,3653,PEP
PEP_EVT_20250416_000000_38,2025-04-15 00:00:00+00:00,2025-04-16 00:00:00+00:00,144.11,-1,3680,PEP
PEP_EVT_20250718_000000_39,2025-07-17 00:00:00+00:00,2025-07-18 00:00:00+00:00,146.265,1,3743,PEP
PEP_EVT_20250828_000000_40,2025-08-27 00:00:00+00:00,2025-08-28 00:00:00+00:00,147.96,1,3772,PEP
