event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
PFE_EVT_20110104_000000_0,2011-01-03 00:00:00+00:00,2011-01-04 00:00:00+00:00,11.6172,1,88,PFE
PFE_EVT_20110301_000000_1,2011-02-28 00:00:00+00:00,2011-03-01 00:00:00+00:00,12.6263,1,126,PFE
PFE_EVT_20110331_000000_2,2011-03-30 00:00:00+00:00,2011-03-31 00:00:00+00:00,13.2294,1,148,PFE
PFE_EVT_20120806_000000_3,2012-08-03 00:00:00+00:00,2012-08-06 00:00:00+00:00,16.7964,1,488,PFE
PFE_EVT_20121127_000000_4,2012-11-26 00:00:00+00:00,2012-11-27 00:00:00+00:00,16.9584,-1,565,PFE
PFE_EVT_20121218_000000_5,2012-12-17 00:00:00+00:00,2012-12-18 00:00:00+00:00,17.7215,1,580,PFE
PFE_EVT_20130103_000000_6,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,18.1636,1,590,PFE
PFE_EVT_20130410_000000_7,2013-04-09 00:00:00+00:00,2013-04-10 00:00:00+00:00,20.7995,1,656,PFE
PFE_EVT_20131017_000000_8,2013-10-16 00:00:00+00:00,2013-10-17 00:00:00+00:00,21.3783,1,789,PFE
PFE_EVT_20131105_000000_9,2013-11-04 00:00:00+00:00,2013-11-05 00:00:00+00:00,22.3776,1,802,PFE
PFE_EVT_20140515_000000_10,2014-05-14 00:00:00+00:00,2014-05-15 00:00:00+00:00,21.3666,-1,933,PFE
PFE_EVT_20141014_000000_11,2014-10-13 00:00:00+00:00,2014-10-14 00:00:00+00:00,21.2388,-1,1038,PFE
PFE_EVT_20150424_000000_12,2015-04-23 00:00:00+00:00,2015-04-24 00:00:00+00:00,26.5585,1,1170,PFE
PFE_EVT_20150514_000000_13,2015-05-13 00:00:00+00:00,2015-05-14 00:00:00+00:00,25.6439,-1,1184,PFE
PFE_EVT_20150929_000000_14,2015-09-28 00:00:00+00:00,2015-09-29 00:00:00+00:00,23.5457,-1,1279,PFE
PFE_EVT_20160523_000000_15,2016-05-20 00:00:00+00:00,2016-05-23 00:00:00+00:00,26.6462,1,1442,PFE
PFE_EVT_20160623_000000_16,2016-06-22 00:00:00+00:00,2016-06-23 00:00:00+00:00,27.3284,1,1464,PFE
PFE_EVT_20161003_000000_17,2016-09-30 00:00:00+00:00,2016-10-03 00:00:00+00:00,26.7868,-1,1534,PFE
PFE_EVT_20170426_000000_18,2017-04-25 00:00:00+00:00,2017-04-26 00:00:00+00:00,27.4348,-1,1675,PFE
PFE_EVT_20170524_000000_19,2017-05-23 00:00:00+00:00,2017-05-24 00:00:00+00:00,26.3183,-1,1695,PFE
PFE_EVT_20170807_000000_20,2017-08-04 00:00:00+00:00,2017-08-07 00:00:00+00:00,27.7168,1,1746,PFE
PFE_EVT_20180118_000000_21,2018-01-17 00:00:00+00:00,2018-01-18 00:00:00+00:00,30.9871,1,1859,PFE
PFE_EVT_20180423_000000_22,2018-04-20 00:00:00+00:00,2018-04-23 00:00:00+00:00,30.8534,1,1924,PFE
PFE_EVT_20180427_000000_23,2018-04-26 00:00:00+00:00,2018-04-27 00:00:00+00:00,30.9471,1,1928,PFE
PFE_EVT_20180816_000000_24,2018-08-15 00:00:00+00:00,2018-08-16 00:00:00+00:00,35.3269,1,2005,PFE
PFE_EVT_20181120_000000_25,2018-11-19 00:00:00+00:00,2018-11-20 00:00:00+00:00,37.9999,1,2072,PFE
PFE_EVT_20190508_000000_26,2019-05-07 00:00:00+00:00,2019-05-08 00:00:00+00:00,35.5358,-1,2186,PFE
PFE_EVT_20200310_000000_27,2020-03-09 00:00:00+00:00,2020-03-10 00:00:00+00:00,31.2741,-1,2397,PFE
PFE_EVT_20200708_000000_28,2020-07-07 00:00:00+00:00,2020-07-08 00:00:00+00:00,31.0729,-1,2480,PFE
PFE_EVT_20201005_000000_29,2020-10-02 00:00:00+00:00,2020-10-05 00:00:00+00:00,33.702,-1,2542,PFE
PFE_EVT_20210409_000000_30,2021-04-08 00:00:00+00:00,2021-04-09 00:00:00+00:00,33.825,1,2670,PFE
PFE_EVT_20210823_000000_31,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,48.2841,1,2764,PFE
PFE_EVT_20211126_000000_32,2021-11-24 00:00:00+00:00,2021-11-26 00:00:00+00:00,52.335,1,2831,PFE
PFE_EVT_20220218_000000_33,2022-02-17 00:00:00+00:00,2022-02-18 00:00:00+00:00,47.6048,-1,2889,PFE
PFE_EVT_20220608_000000_34,2022-06-07 00:00:00+00:00,2022-06-08 00:00:00+00:00,53.1879,1,2964,PFE
PFE_EVT_20220614_000000_35,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,46.9796,-1,2968,PFE
PFE_EVT_20220816_000000_36,2022-08-15 00:00:00+00:00,2022-08-16 00:00:00+00:00,48.9604,-1,3011,PFE
PFE_EVT_20221208_000000_37,2022-12-07 00:00:00+00:00,2022-12-08 00:00:00+00:00,50.18,1,3091,PFE
PFE_EVT_20231005_000000_38,2023-10-04 00:00:00+00:00,2023-10-05 00:00:00+00:00,33.45,-1,3297,PFE
PFE_EVT_20240424_000000_39,2024-04-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,26.25,-1,3435,PFE
PFE_EVT_20240801_000000_40,2024-07-31 00:00:00+00:00,2024-08-01 00:00:00+00:00,30.72,1,3503,PFE
PFE_EVT_20241127_000000_41,2024-11-26 00:00:00+00:00,2024-11-27 00:00:00+00:00,25.76,-1,3586,PFE
