event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
PG_EVT_20110121_000000_0,2011-01-20 00:00:00+00:00,2011-01-21 00:00:00+00:00,46.3569,1,100,PG
PG_EVT_20110228_000000_1,2011-02-25 00:00:00+00:00,2011-02-28 00:00:00+00:00,44.2043,-1,125,PG
PG_EVT_20110323_000000_2,2011-03-22 00:00:00+00:00,2011-03-23 00:00:00+00:00,42.8241,-1,142,PG
PG_EVT_20110511_000000_3,2011-05-10 00:00:00+00:00,2011-05-11 00:00:00+00:00,46.6943,1,176,PG
PG_EVT_20110728_000000_4,2011-07-27 00:00:00+00:00,2011-07-28 00:00:00+00:00,44.4775,-1,230,PG
PG_EVT_20130225_000000_5,2013-02-22 00:00:00+00:00,2013-02-25 00:00:00+00:00,57.94,1,625,PG
PG_EVT_20130419_000000_6,2013-04-18 00:00:00+00:00,2013-04-19 00:00:00+00:00,60.4192,1,663,PG
PG_EVT_20130801_000000_7,2013-07-31 00:00:00+00:00,2013-08-01 00:00:00+00:00,62.273,1,735,PG
PG_EVT_20131029_000000_8,2013-10-28 00:00:00+00:00,2013-10-29 00:00:00+00:00,62.639,1,797,PG
PG_EVT_20131105_000000_9,2013-11-04 00:00:00+00:00,2013-11-05 00:00:00+00:00,62.3824,1,802,PG
PG_EVT_20131209_000000_10,2013-12-06 00:00:00+00:00,2013-12-09 00:00:00+00:00,64.9357,1,825,PG
PG_EVT_20140102_000000_11,2013-12-31 00:00:00+00:00,2014-01-02 00:00:00+00:00,62.5373,-1,841,PG
PG_EVT_20150812_000000_12,2015-08-11 00:00:00+00:00,2015-08-12 00:00:00+00:00,61.6119,-1,1246,PG
PG_EVT_20150818_000000_13,2015-08-17 00:00:00+00:00,2015-08-18 00:00:00+00:00,61.3583,-1,1250,PG
PG_EVT_20160906_000000_14,2016-09-02 00:00:00+00:00,2016-09-06 00:00:00+00:00,74.0928,1,1515,PG
PG_EVT_20161117_000000_15,2016-11-16 00:00:00+00:00,2016-11-17 00:00:00+00:00,70.4504,-1,1567,PG
PG_EVT_20161201_000000_16,2016-11-30 00:00:00+00:00,2016-12-01 00:00:00+00:00,69.5537,-1,1576,PG
PG_EVT_20170208_000000_17,2017-02-07 00:00:00+00:00,2017-02-08 00:00:00+00:00,75.104,1,1622,PG
PG_EVT_20170518_000000_18,2017-05-17 00:00:00+00:00,2017-05-18 00:00:00+00:00,74.0532,-1,1691,PG
PG_EVT_20170720_000000_19,2017-07-19 00:00:00+00:00,2017-07-20 00:00:00+00:00,76.4861,1,1734,PG
PG_EVT_20171107_000000_20,2017-11-06 00:00:00+00:00,2017-11-07 00:00:00+00:00,75.0714,-1,1811,PG
PG_EVT_20180509_000000_21,2018-05-08 00:00:00+00:00,2018-05-09 00:00:00+00:00,63.6846,-1,1936,PG
PG_EVT_20180620_000000_22,2018-06-19 00:00:00+00:00,2018-06-20 00:00:00+00:00,67.7493,1,1965,PG
PG_EVT_20180703_000000_23,2018-07-02 00:00:00+00:00,2018-07-03 00:00:00+00:00,69.6898,1,1974,PG
PG_EVT_20190416_000000_24,2019-04-15 00:00:00+00:00,2019-04-16 00:00:00+00:00,96.5012,1,2171,PG
PG_EVT_20190703_000000_25,2019-07-02 00:00:00+00:00,2019-07-03 00:00:00+00:00,102.67,1,2225,PG
PG_EVT_20210716_000000_26,2021-07-15 00:00:00+00:00,2021-07-16 00:00:00+00:00,134.249,1,2738,PG
PG_EVT_20210726_000000_27,2021-07-23 00:00:00+00:00,2021-07-26 00:00:00+00:00,135.394,1,2744,PG
PG_EVT_20211119_000000_28,2021-11-18 00:00:00+00:00,2021-11-19 00:00:00+00:00,144.371,1,2827,PG
PG_EVT_20220105_000000_29,2022-01-04 00:00:00+00:00,2022-01-05 00:00:00+00:00,159.475,1,2858,PG
PG_EVT_20220429_000000_30,2022-04-28 00:00:00+00:00,2022-04-29 00:00:00+00:00,160.284,1,2937,PG
PG_EVT_20221006_000000_31,2022-10-05 00:00:00+00:00,2022-10-06 00:00:00+00:00,127.982,-1,3047,PG
PG_EVT_20230420_000000_32,2023-04-19 00:00:00+00:00,2023-04-20 00:00:00+00:00,150.37,1,3181,PG
PG_EVT_20230607_000000_33,2023-06-06 00:00:00+00:00,2023-06-07 00:00:00+00:00,144.01,-1,3214,PG
PG_EVT_20230808_000000_34,2023-08-07 00:00:00+00:00,2023-08-08 00:00:00+00:00,157.28,1,3256,PG
PG_EVT_20240129_000000_35,2024-01-26 00:00:00+00:00,2024-01-29 00:00:00+00:00,156.68,1,3375,PG
PG_EVT_20240516_000000_36,2024-05-15 00:00:00+00:00,2024-05-16 00:00:00+00:00,166.93,1,3451,PG
PG_EVT_20250310_000000_37,2025-03-07 00:00:00+00:00,2025-03-10 00:00:00+00:00,176.755,1,3653,PG
