event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
QCOM_EVT_20110128_000000_0,2011-01-27 00:00:00+00:00,2011-01-28 00:00:00+00:00,39.4525,1,105,QCOM
QCOM_EVT_20110207_000000_1,2011-02-04 00:00:00+00:00,2011-02-07 00:00:00+00:00,40.1434,1,111,QCOM
QCOM_EVT_20111005_000000_2,2011-10-04 00:00:00+00:00,2011-10-05 00:00:00+00:00,36.5931,-1,278,QCOM
QCOM_EVT_20111114_000000_3,2011-11-11 00:00:00+00:00,2011-11-14 00:00:00+00:00,41.7398,1,306,QCOM
QCOM_EVT_20120402_000000_4,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,50.6924,1,401,QCOM
QCOM_EVT_20130109_000000_5,2013-01-08 00:00:00+00:00,2013-01-09 00:00:00+00:00,48.3904,1,594,QCOM
QCOM_EVT_20130117_000000_6,2013-01-16 00:00:00+00:00,2013-01-17 00:00:00+00:00,48.8169,1,600,QCOM
QCOM_EVT_20130926_000000_7,2013-09-25 00:00:00+00:00,2013-09-26 00:00:00+00:00,52.6996,1,774,QCOM
QCOM_EVT_20141013_000000_8,2014-10-10 00:00:00+00:00,2014-10-13 00:00:00+00:00,55.4106,-1,1037,QCOM
QCOM_EVT_20150130_000000_9,2015-01-29 00:00:00+00:00,2015-01-30 00:00:00+00:00,49.3616,-1,1112,QCOM
QCOM_EVT_20150925_000000_10,2015-09-24 00:00:00+00:00,2015-09-25 00:00:00+00:00,43.1473,-1,1277,QCOM
QCOM_EVT_20151021_000000_11,2015-10-20 00:00:00+00:00,2015-10-21 00:00:00+00:00,47.4084,1,1295,QCOM
QCOM_EVT_20160314_000000_12,2016-03-11 00:00:00+00:00,2016-03-14 00:00:00+00:00,42.5851,1,1393,QCOM
QCOM_EVT_20160429_000000_13,2016-04-28 00:00:00+00:00,2016-04-29 00:00:00+00:00,42.2509,1,1426,QCOM
QCOM_EVT_20160719_000000_14,2016-07-18 00:00:00+00:00,2016-07-19 00:00:00+00:00,45.8672,1,1481,QCOM
QCOM_EVT_20160804_000000_15,2016-08-03 00:00:00+00:00,2016-08-04 00:00:00+00:00,50.2983,1,1493,QCOM
QCOM_EVT_20161028_000000_16,2016-10-27 00:00:00+00:00,2016-10-28 00:00:00+00:00,58.5325,1,1553,QCOM
QCOM_EVT_20170421_000000_17,2017-04-20 00:00:00+00:00,2017-04-21 00:00:00+00:00,44.5569,-1,1672,QCOM
QCOM_EVT_20170821_000000_18,2017-08-18 00:00:00+00:00,2017-08-21 00:00:00+00:00,44.3367,-1,1756,QCOM
QCOM_EVT_20171124_000000_19,2017-11-22 00:00:00+00:00,2017-11-24 00:00:00+00:00,59.0622,1,1823,QCOM
QCOM_EVT_20180905_000000_20,2018-09-04 00:00:00+00:00,2018-09-05 00:00:00+00:00,62.4042,1,2018,QCOM
QCOM_EVT_20181002_000000_21,2018-10-01 00:00:00+00:00,2018-10-02 00:00:00+00:00,64.729,1,2037,QCOM
QCOM_EVT_20181226_000000_22,2018-12-24 00:00:00+00:00,2018-12-26 00:00:00+00:00,49.0273,-1,2095,QCOM
QCOM_EVT_20190327_000000_23,2019-03-26 00:00:00+00:00,2019-03-27 00:00:00+00:00,52.4333,1,2157,QCOM
QCOM_EVT_20190417_000000_24,2019-04-16 00:00:00+00:00,2019-04-17 00:00:00+00:00,72.0617,1,2172,QCOM
QCOM_EVT_20190513_000000_25,2019-05-10 00:00:00+00:00,2019-05-13 00:00:00+00:00,76.1017,1,2189,QCOM
QCOM_EVT_20190912_000000_26,2019-09-11 00:00:00+00:00,2019-09-12 00:00:00+00:00,74.4424,1,2274,QCOM
QCOM_EVT_20200312_000000_27,2020-03-11 00:00:00+00:00,2020-03-12 00:00:00+00:00,65.6677,-1,2399,QCOM
QCOM_EVT_20200506_000000_28,2020-05-05 00:00:00+00:00,2020-05-06 00:00:00+00:00,74.4443,1,2437,QCOM
QCOM_EVT_20210129_000000_29,2021-01-28 00:00:00+00:00,2021-01-29 00:00:00+00:00,154.027,1,2622,QCOM
QCOM_EVT_20210430_000000_30,2021-04-29 00:00:00+00:00,2021-04-30 00:00:00+00:00,136.226,1,2685,QCOM
QCOM_EVT_20211011_000000_31,2021-10-08 00:00:00+00:00,2021-10-11 00:00:00+00:00,122.927,-1,2798,QCOM
QCOM_EVT_20221104_000000_32,2022-11-03 00:00:00+00:00,2022-11-04 00:00:00+00:00,105.935,-1,3068,QCOM
QCOM_EVT_20230215_000000_33,2023-02-14 00:00:00+00:00,2023-02-15 00:00:00+00:00,130.6,1,3137,QCOM
QCOM_EVT_20230503_000000_34,2023-05-02 00:00:00+00:00,2023-05-03 00:00:00+00:00,116.66,-1,3190,QCOM
QCOM_EVT_20230522_000000_35,2023-05-19 00:00:00+00:00,2023-05-22 00:00:00+00:00,103.672,-1,3203,QCOM
QCOM_EVT_20231222_000000_36,2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,143.25,1,3352,QCOM
QCOM_EVT_20241121_000000_37,2024-11-20 00:00:00+00:00,2024-11-21 00:00:00+00:00,155.16,-1,3582,QCOM
QCOM_EVT_20250625_000000_38,2025-06-24 00:00:00+00:00,2025-06-25 00:00:00+00:00,156.1,1,3727,QCOM
