event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
SBUX_EVT_20110317_000000_0,2011-03-16 00:00:00+00:00,2011-03-17 00:00:00+00:00,14.5503,1,138,SBUX
SBUX_EVT_20110325_000000_1,2011-03-24 00:00:00+00:00,2011-03-25 00:00:00+00:00,15.4113,1,144,SBUX
SBUX_EVT_20120402_000000_2,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,23.2349,1,401,SBUX
SBUX_EVT_20120425_000000_3,2012-04-24 00:00:00+00:00,2012-04-25 00:00:00+00:00,24.3501,1,417,SBUX
SBUX_EVT_20120730_000000_4,2012-07-27 00:00:00+00:00,2012-07-30 00:00:00+00:00,19.7389,-1,483,SBUX
SBUX_EVT_20121031_000000_5,2012-10-26 00:00:00+00:00,2012-10-31 00:00:00+00:00,19.1536,-1,547,SBUX
SBUX_EVT_20121207_000000_6,2012-12-06 00:00:00+00:00,2012-12-07 00:00:00+00:00,22.3925,1,573,SBUX
SBUX_EVT_20130307_000000_7,2013-03-06 00:00:00+00:00,2013-03-07 00:00:00+00:00,24.03,1,633,SBUX
SBUX_EVT_20130422_000000_8,2013-04-19 00:00:00+00:00,2013-04-22 00:00:00+00:00,24.5847,1,664,SBUX
SBUX_EVT_20130719_000000_9,2013-07-18 00:00:00+00:00,2013-07-19 00:00:00+00:00,28.9564,1,726,SBUX
SBUX_EVT_20130911_000000_10,2013-09-10 00:00:00+00:00,2013-09-11 00:00:00+00:00,31.4824,1,763,SBUX
SBUX_EVT_20140715_000000_11,2014-07-14 00:00:00+00:00,2014-07-15 00:00:00+00:00,33.6668,1,974,SBUX
SBUX_EVT_20150527_000000_12,2015-05-26 00:00:00+00:00,2015-05-27 00:00:00+00:00,44.3255,1,1192,SBUX
SBUX_EVT_20150611_000000_13,2015-06-10 00:00:00+00:00,2015-06-11 00:00:00+00:00,45.8786,1,1203,SBUX
SBUX_EVT_20150818_000000_14,2015-08-17 00:00:00+00:00,2015-08-18 00:00:00+00:00,50.4741,1,1250,SBUX
SBUX_EVT_20160721_000000_15,2016-07-20 00:00:00+00:00,2016-07-21 00:00:00+00:00,50.6812,1,1483,SBUX
SBUX_EVT_20161214_000000_16,2016-12-13 00:00:00+00:00,2016-12-14 00:00:00+00:00,52.3434,1,1585,SBUX
SBUX_EVT_20170731_000000_17,2017-07-28 00:00:00+00:00,2017-07-31 00:00:00+00:00,48.7277,-1,1741,SBUX
SBUX_EVT_20170818_000000_18,2017-08-17 00:00:00+00:00,2017-08-18 00:00:00+00:00,47.5475,-1,1755,SBUX
SBUX_EVT_20180418_000000_19,2018-04-17 00:00:00+00:00,2018-04-18 00:00:00+00:00,54.2411,1,1921,SBUX
SBUX_EVT_20190515_000000_20,2019-05-14 00:00:00+00:00,2019-05-15 00:00:00+00:00,71.5707,1,2191,SBUX
SBUX_EVT_20190702_000000_21,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00,79.0839,1,2224,SBUX
SBUX_EVT_20200305_000000_22,2020-03-04 00:00:00+00:00,2020-03-05 00:00:00+00:00,73.6824,-1,2394,SBUX
SBUX_EVT_20200330_000000_23,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,62.9569,-1,2411,SBUX
SBUX_EVT_20200818_000000_24,2020-08-17 00:00:00+00:00,2020-08-18 00:00:00+00:00,75.6988,1,2509,SBUX
SBUX_EVT_20201006_000000_25,2020-10-05 00:00:00+00:00,2020-10-06 00:00:00+00:00,84.7848,1,2543,SBUX
SBUX_EVT_20201026_000000_26,2020-10-23 00:00:00+00:00,2020-10-26 00:00:00+00:00,86.1024,1,2557,SBUX
SBUX_EVT_20210910_000000_27,2021-09-09 00:00:00+00:00,2021-09-10 00:00:00+00:00,116.081,1,2777,SBUX
SBUX_EVT_20220315_000000_28,2022-03-14 00:00:00+00:00,2022-03-15 00:00:00+00:00,79.0299,-1,2905,SBUX
SBUX_EVT_20230324_000000_29,2023-03-23 00:00:00+00:00,2023-03-24 00:00:00+00:00,98.22,-1,3163,SBUX
SBUX_EVT_20230920_000000_30,2023-09-19 00:00:00+00:00,2023-09-20 00:00:00+00:00,95.45,-1,3286,SBUX
SBUX_EVT_20231013_000000_31,2023-10-12 00:00:00+00:00,2023-10-13 00:00:00+00:00,91.28,-1,3303,SBUX
SBUX_EVT_20231114_000000_32,2023-11-13 00:00:00+00:00,2023-11-14 00:00:00+00:00,104.48,1,3325,SBUX
SBUX_EVT_20240313_000000_33,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,92.49,-1,3406,SBUX
SBUX_EVT_20240429_000000_34,2024-04-26 00:00:00+00:00,2024-04-29 00:00:00+00:00,88.24,-1,3438,SBUX
SBUX_EVT_20241125_000000_35,2024-11-22 00:00:00+00:00,2024-11-25 00:00:00+00:00,102.93,1,3584,SBUX
SBUX_EVT_20250108_000000_36,2025-01-07 00:00:00+00:00,2025-01-08 00:00:00+00:00,92.97,-1,3613,SBUX
SBUX_EVT_20250205_000000_37,2025-02-04 00:00:00+00:00,2025-02-05 00:00:00+00:00,110.18,1,3631,SBUX
SBUX_EVT_20250214_000000_38,2025-02-13 00:00:00+00:00,2025-02-14 00:00:00+00:00,112.82,1,3638,SBUX
SBUX_EVT_20250501_000000_39,2025-04-30 00:00:00+00:00,2025-05-01 00:00:00+00:00,80.71,-1,3690,SBUX
