event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
TGT_EVT_20110131_000000_0,2011-01-28 00:00:00+00:00,2011-01-31 00:00:00+00:00,40.053,-1,106,TGT
TGT_EVT_20110623_000000_1,2011-06-22 00:00:00+00:00,2011-06-23 00:00:00+00:00,34.1548,-1,206,TGT
TGT_EVT_20111117_000000_2,2011-11-16 00:00:00+00:00,2011-11-17 00:00:00+00:00,39.6005,1,309,TGT
TGT_EVT_20120221_000000_3,2012-02-17 00:00:00+00:00,2012-02-21 00:00:00+00:00,39.3782,1,372,TGT
TGT_EVT_20120615_000000_4,2012-06-14 00:00:00+00:00,2012-06-15 00:00:00+00:00,44.1897,1,453,TGT
TGT_EVT_20120803_000000_5,2012-08-02 00:00:00+00:00,2012-08-03 00:00:00+00:00,46.8236,1,487,TGT
TGT_EVT_20121213_000000_6,2012-12-12 00:00:00+00:00,2012-12-13 00:00:00+00:00,46.0161,-1,577,TGT
TGT_EVT_20130301_000000_7,2013-02-28 00:00:00+00:00,2013-03-01 00:00:00+00:00,48.2418,1,629,TGT
TGT_EVT_20130311_000000_8,2013-03-08 00:00:00+00:00,2013-03-11 00:00:00+00:00,50.6298,1,635,TGT
TGT_EVT_20130605_000000_9,2013-06-04 00:00:00+00:00,2013-06-05 00:00:00+00:00,54.9022,1,695,TGT
TGT_EVT_20131220_000000_10,2013-12-19 00:00:00+00:00,2013-12-20 00:00:00+00:00,48.2595,-1,834,TGT
TGT_EVT_20140611_000000_11,2014-06-10 00:00:00+00:00,2014-06-11 00:00:00+00:00,44.7375,-1,951,TGT
TGT_EVT_20140730_000000_12,2014-07-29 00:00:00+00:00,2014-07-30 00:00:00+00:00,48.3441,1,985,TGT
TGT_EVT_20150717_000000_13,2015-07-16 00:00:00+00:00,2015-07-17 00:00:00+00:00,68.7817,1,1228,TGT
TGT_EVT_20150901_000000_14,2015-08-31 00:00:00+00:00,2015-09-01 00:00:00+00:00,62.5432,-1,1260,TGT
TGT_EVT_20160119_000000_15,2016-01-15 00:00:00+00:00,2016-01-19 00:00:00+00:00,57.6127,-1,1355,TGT
TGT_EVT_20160318_000000_16,2016-03-17 00:00:00+00:00,2016-03-18 00:00:00+00:00,69.3344,1,1397,TGT
TGT_EVT_20160801_000000_17,2016-07-29 00:00:00+00:00,2016-08-01 00:00:00+00:00,62.7182,1,1490,TGT
TGT_EVT_20170127_000000_18,2017-01-26 00:00:00+00:00,2017-01-27 00:00:00+00:00,54.9898,-1,1614,TGT
TGT_EVT_20170207_000000_19,2017-02-06 00:00:00+00:00,2017-02-07 00:00:00+00:00,54.4164,-1,1621,TGT
TGT_EVT_20170314_000000_20,2017-03-13 00:00:00+00:00,2017-03-14 00:00:00+00:00,47.4559,-1,1645,TGT
TGT_EVT_20170404_000000_21,2017-04-03 00:00:00+00:00,2017-04-04 00:00:00+00:00,46.2689,-1,1660,TGT
TGT_EVT_20170613_000000_22,2017-06-12 00:00:00+00:00,2017-06-13 00:00:00+00:00,50.1449,1,1708,TGT
TGT_EVT_20171023_000000_23,2017-10-20 00:00:00+00:00,2017-10-23 00:00:00+00:00,54.324,1,1800,TGT
TGT_EVT_20180102_000000_24,2017-12-29 00:00:00+00:00,2018-01-02 00:00:00+00:00,58.5619,1,1848,TGT
TGT_EVT_20180323_000000_25,2018-03-22 00:00:00+00:00,2018-03-23 00:00:00+00:00,62.4213,-1,1904,TGT
TGT_EVT_20180725_000000_26,2018-07-24 00:00:00+00:00,2018-07-25 00:00:00+00:00,71.8769,1,1989,TGT
TGT_EVT_20190111_000000_27,2019-01-10 00:00:00+00:00,2019-01-11 00:00:00+00:00,62.676,-1,2106,TGT
TGT_EVT_20190304_000000_28,2019-03-01 00:00:00+00:00,2019-03-04 00:00:00+00:00,67.9988,1,2140,TGT
TGT_EVT_20191217_000000_29,2019-12-16 00:00:00+00:00,2019-12-17 00:00:00+00:00,119.744,1,2341,TGT
TGT_EVT_20200130_000000_30,2020-01-29 00:00:00+00:00,2020-01-30 00:00:00+00:00,107.725,-1,2370,TGT
TGT_EVT_20200313_000000_31,2020-03-12 00:00:00+00:00,2020-03-13 00:00:00+00:00,92.0361,-1,2400,TGT
TGT_EVT_20210106_000000_32,2021-01-05 00:00:00+00:00,2021-01-06 00:00:00+00:00,174.201,1,2606,TGT
TGT_EVT_20210622_000000_33,2021-06-21 00:00:00+00:00,2021-06-22 00:00:00+00:00,228.069,1,2721,TGT
TGT_EVT_20210729_000000_34,2021-07-28 00:00:00+00:00,2021-07-29 00:00:00+00:00,251.113,1,2747,TGT
TGT_EVT_20211029_000000_35,2021-10-28 00:00:00+00:00,2021-10-29 00:00:00+00:00,250.346,1,2812,TGT
TGT_EVT_20211115_000000_36,2021-11-12 00:00:00+00:00,2021-11-15 00:00:00+00:00,256.473,1,2823,TGT
TGT_EVT_20220124_000000_37,2022-01-21 00:00:00+00:00,2022-01-24 00:00:00+00:00,210.927,-1,2870,TGT
TGT_EVT_20220214_000000_38,2022-02-11 00:00:00+00:00,2022-02-14 00:00:00+00:00,206.816,-1,2885,TGT
TGT_EVT_20221014_000000_39,2022-10-13 00:00:00+00:00,2022-10-14 00:00:00+00:00,153.517,-1,3053,TGT
TGT_EVT_20230816_000000_40,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,135.0,-1,3262,TGT
TGT_EVT_20230919_000000_41,2023-09-18 00:00:00+00:00,2023-09-19 00:00:00+00:00,119.455,-1,3285,TGT
