event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
TMO_EVT_20110525_000000_0,2011-05-24 00:00:00+00:00,2011-05-25 00:00:00+00:00,61.237,1,186,TMO
TMO_EVT_20111117_000000_1,2011-11-16 00:00:00+00:00,2011-11-17 00:00:00+00:00,46.0061,-1,309,TMO
TMO_EVT_20111229_000000_2,2011-12-28 00:00:00+00:00,2011-12-29 00:00:00+00:00,42.3951,-1,337,TMO
TMO_EVT_20121206_000000_3,2012-12-05 00:00:00+00:00,2012-12-06 00:00:00+00:00,61.4058,1,572,TMO
TMO_EVT_20130117_000000_4,2013-01-16 00:00:00+00:00,2013-01-17 00:00:00+00:00,65.5908,1,600,TMO
TMO_EVT_20131104_000000_5,2013-11-01 00:00:00+00:00,2013-11-04 00:00:00+00:00,95.3178,1,801,TMO
TMO_EVT_20131209_000000_6,2013-12-06 00:00:00+00:00,2013-12-09 00:00:00+00:00,99.8553,1,825,TMO
TMO_EVT_20141030_000000_7,2014-10-29 00:00:00+00:00,2014-10-30 00:00:00+00:00,112.964,-1,1050,TMO
TMO_EVT_20141204_000000_8,2014-12-03 00:00:00+00:00,2014-12-04 00:00:00+00:00,125.513,1,1074,TMO
TMO_EVT_20150715_000000_9,2015-07-14 00:00:00+00:00,2015-07-15 00:00:00+00:00,134.328,1,1226,TMO
TMO_EVT_20150929_000000_10,2015-09-28 00:00:00+00:00,2015-09-29 00:00:00+00:00,115.859,-1,1279,TMO
TMO_EVT_20160805_000000_11,2016-08-04 00:00:00+00:00,2016-08-05 00:00:00+00:00,154.585,1,1494,TMO
TMO_EVT_20161006_000000_12,2016-10-05 00:00:00+00:00,2016-10-06 00:00:00+00:00,155.922,1,1537,TMO
TMO_EVT_20161031_000000_13,2016-10-28 00:00:00+00:00,2016-10-31 00:00:00+00:00,145.001,-1,1554,TMO
TMO_EVT_20170313_000000_14,2017-03-10 00:00:00+00:00,2017-03-13 00:00:00+00:00,157.012,1,1644,TMO
TMO_EVT_20170831_000000_15,2017-08-30 00:00:00+00:00,2017-08-31 00:00:00+00:00,181.012,1,1764,TMO
TMO_EVT_20180419_000000_16,2018-04-18 00:00:00+00:00,2018-04-19 00:00:00+00:00,217.751,1,1922,TMO
TMO_EVT_20190312_000000_17,2019-03-11 00:00:00+00:00,2019-03-12 00:00:00+00:00,253.182,1,2146,TMO
TMO_EVT_20190501_000000_18,2019-04-30 00:00:00+00:00,2019-05-01 00:00:00+00:00,274.848,1,2181,TMO
TMO_EVT_20190702_000000_19,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00,296.831,1,2224,TMO
TMO_EVT_20190826_000000_20,2019-08-23 00:00:00+00:00,2019-08-26 00:00:00+00:00,268.387,-1,2262,TMO
TMO_EVT_20190920_000000_21,2019-09-19 00:00:00+00:00,2019-09-20 00:00:00+00:00,295.144,1,2280,TMO
TMO_EVT_20200108_000000_22,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,324.036,1,2355,TMO
TMO_EVT_20201103_000000_23,2020-11-02 00:00:00+00:00,2020-11-03 00:00:00+00:00,488.734,1,2563,TMO
TMO_EVT_20210719_000000_24,2021-07-16 00:00:00+00:00,2021-07-19 00:00:00+00:00,516.958,1,2739,TMO
TMO_EVT_20210920_000000_25,2021-09-17 00:00:00+00:00,2021-09-20 00:00:00+00:00,591.145,1,2783,TMO
TMO_EVT_20220426_000000_26,2022-04-25 00:00:00+00:00,2022-04-26 00:00:00+00:00,533.231,-1,2934,TMO
TMO_EVT_20220506_000000_27,2022-05-05 00:00:00+00:00,2022-05-06 00:00:00+00:00,541.498,-1,2942,TMO
TMO_EVT_20220510_000000_28,2022-05-09 00:00:00+00:00,2022-05-10 00:00:00+00:00,526.422,-1,2944,TMO
TMO_EVT_20220629_000000_29,2022-06-28 00:00:00+00:00,2022-06-29 00:00:00+00:00,535.452,-1,2978,TMO
TMO_EVT_20230425_000000_30,2023-04-24 00:00:00+00:00,2023-04-25 00:00:00+00:00,564.15,1,3184,TMO
TMO_EVT_20230525_000000_31,2023-05-24 00:00:00+00:00,2023-05-25 00:00:00+00:00,513.97,-1,3206,TMO
TMO_EVT_20231003_000000_32,2023-10-02 00:00:00+00:00,2023-10-03 00:00:00+00:00,492.9,-1,3295,TMO
TMO_EVT_20240129_000000_33,2024-01-26 00:00:00+00:00,2024-01-29 00:00:00+00:00,550.0,1,3375,TMO
TMO_EVT_20240516_000000_34,2024-05-15 00:00:00+00:00,2024-05-16 00:00:00+00:00,598.25,1,3451,TMO
TMO_EVT_20240710_000000_35,2024-07-09 00:00:00+00:00,2024-07-10 00:00:00+00:00,533.25,-1,3487,TMO
TMO_EVT_20240910_000000_36,2024-09-09 00:00:00+00:00,2024-09-10 00:00:00+00:00,620.62,1,3530,TMO
TMO_EVT_20250814_000000_37,2025-08-13 00:00:00+00:00,2025-08-14 00:00:00+00:00,480.0,1,3762,TMO
