event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
TSLA_EVT_20101201_000000_0,2010-11-30 00:00:00+00:00,2010-12-01 00:00:00+00:00,2.39133,1,65,TSLA
TSLA_EVT_20110131_000000_1,2011-01-28 00:00:00+00:00,2011-01-31 00:00:00+00:00,1.60333,-1,106,TSLA
TSLA_EVT_20110511_000000_2,2011-05-10 00:00:00+00:00,2011-05-11 00:00:00+00:00,1.88,1,175,TSLA
TSLA_EVT_20111123_000000_3,2011-11-22 00:00:00+00:00,2011-11-23 00:00:00+00:00,2.11733,1,312,TSLA
TSLA_EVT_20120327_000000_4,2012-03-26 00:00:00+00:00,2012-03-27 00:00:00+00:00,2.47733,1,396,TSLA
TSLA_EVT_20120605_000000_5,2012-06-04 00:00:00+00:00,2012-06-05 00:00:00+00:00,1.856,-1,444,TSLA
TSLA_EVT_20121119_000000_6,2012-11-16 00:00:00+00:00,2012-11-19 00:00:00+00:00,2.138,1,559,TSLA
TSLA_EVT_20130220_000000_7,2013-02-19 00:00:00+00:00,2013-02-20 00:00:00+00:00,2.62,1,621,TSLA
TSLA_EVT_20130405_000000_8,2013-04-04 00:00:00+00:00,2013-04-05 00:00:00+00:00,2.8,1,652,TSLA
TSLA_EVT_20130729_000000_9,2013-07-26 00:00:00+00:00,2013-07-29 00:00:00+00:00,8.62133,1,731,TSLA
TSLA_EVT_20130819_000000_10,2013-08-16 00:00:00+00:00,2013-08-19 00:00:00+00:00,9.562,1,746,TSLA
TSLA_EVT_20140129_000000_11,2014-01-28 00:00:00+00:00,2014-01-29 00:00:00+00:00,11.6867,1,858,TSLA
TSLA_EVT_20140807_000000_12,2014-08-06 00:00:00+00:00,2014-08-07 00:00:00+00:00,16.6747,1,990,TSLA
TSLA_EVT_20140909_000000_13,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,18.866,1,1012,TSLA
TSLA_EVT_20150505_000000_14,2015-05-04 00:00:00+00:00,2015-05-05 00:00:00+00:00,15.8507,1,1176,TSLA
TSLA_EVT_20150701_000000_15,2015-06-30 00:00:00+00:00,2015-07-01 00:00:00+00:00,18.074,1,1216,TSLA
TSLA_EVT_20160329_000000_16,2016-03-28 00:00:00+00:00,2016-03-29 00:00:00+00:00,15.326,1,1402,TSLA
TSLA_EVT_20160623_000000_17,2016-06-22 00:00:00+00:00,2016-06-23 00:00:00+00:00,13.046,-1,1463,TSLA
TSLA_EVT_20160909_000000_18,2016-09-08 00:00:00+00:00,2016-09-09 00:00:00+00:00,13.2727,-1,1517,TSLA
TSLA_EVT_20161010_000000_19,2016-10-07 00:00:00+00:00,2016-10-10 00:00:00+00:00,13.4233,-1,1538,TSLA
TSLA_EVT_20170105_000000_20,2017-01-04 00:00:00+00:00,2017-01-05 00:00:00+00:00,15.0947,1,1598,TSLA
TSLA_EVT_20170117_000000_21,2017-01-13 00:00:00+00:00,2017-01-17 00:00:00+00:00,15.78,1,1605,TSLA
TSLA_EVT_20170222_000000_22,2017-02-21 00:00:00+00:00,2017-02-22 00:00:00+00:00,18.6873,1,1630,TSLA
TSLA_EVT_20170614_000000_23,2017-06-13 00:00:00+00:00,2017-06-14 00:00:00+00:00,25.4057,1,1708,TSLA
TSLA_EVT_20170619_000000_24,2017-06-16 00:00:00+00:00,2017-06-19 00:00:00+00:00,25.0,1,1711,TSLA
TSLA_EVT_20170803_000000_25,2017-08-02 00:00:00+00:00,2017-08-03 00:00:00+00:00,23.022,-1,1743,TSLA
TSLA_EVT_20170913_000000_26,2017-09-12 00:00:00+00:00,2017-09-13 00:00:00+00:00,24.2547,1,1771,TSLA
TSLA_EVT_20171121_000000_27,2017-11-20 00:00:00+00:00,2017-11-21 00:00:00+00:00,20.724,-1,1820,TSLA
TSLA_EVT_20180808_000000_28,2018-08-07 00:00:00+00:00,2018-08-08 00:00:00+00:00,24.606,1,1998,TSLA
TSLA_EVT_20190614_000000_29,2019-06-13 00:00:00+00:00,2019-06-14 00:00:00+00:00,14.0833,-1,2211,TSLA
TSLA_EVT_20190809_000000_30,2019-08-08 00:00:00+00:00,2019-08-09 00:00:00+00:00,15.737,1,2250,TSLA
TSLA_EVT_20191023_000000_31,2019-10-22 00:00:00+00:00,2019-10-23 00:00:00+00:00,16.9667,1,2302,TSLA
TSLA_EVT_20191106_000000_32,2019-11-05 00:00:00+00:00,2019-11-06 00:00:00+00:00,21.2,1,2312,TSLA
TSLA_EVT_20200103_000000_33,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,29.3667,1,2351,TSLA
TSLA_EVT_20200121_000000_34,2020-01-17 00:00:00+00:00,2020-01-21 00:00:00+00:00,35.35,1,2362,TSLA
TSLA_EVT_20200219_000000_35,2020-02-18 00:00:00+00:00,2020-02-19 00:00:00+00:00,61.5667,1,2382,TSLA
TSLA_EVT_20200529_000000_36,2020-05-28 00:00:00+00:00,2020-05-29 00:00:00+00:00,53.9167,1,2452,TSLA
TSLA_EVT_20200617_000000_37,2020-06-16 00:00:00+00:00,2020-06-17 00:00:00+00:00,65.8467,1,2465,TSLA
TSLA_EVT_20201119_000000_38,2020-11-18 00:00:00+00:00,2020-11-19 00:00:00+00:00,164.0,1,2574,TSLA
TSLA_EVT_20201214_000000_39,2020-12-11 00:00:00+00:00,2020-12-14 00:00:00+00:00,206.333,1,2590,TSLA
TSLA_EVT_20210520_000000_40,2021-05-19 00:00:00+00:00,2021-05-20 00:00:00+00:00,191.667,-1,2698,TSLA
TSLA_EVT_20210922_000000_41,2021-09-21 00:00:00+00:00,2021-09-22 00:00:00+00:00,247.842,1,2784,TSLA
TSLA_EVT_20211008_000000_42,2021-10-07 00:00:00+00:00,2021-10-08 00:00:00+00:00,265.403,1,2796,TSLA
TSLA_EVT_20221020_000000_43,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,208.28,-1,3056,TSLA
TSLA_EVT_20221107_000000_44,2022-11-04 00:00:00+00:00,2022-11-07 00:00:00+00:00,208.65,-1,3068,TSLA
TSLA_EVT_20230113_000000_45,2023-01-12 00:00:00+00:00,2023-01-13 00:00:00+00:00,116.55,-1,3114,TSLA
TSLA_EVT_20230228_000000_46,2023-02-27 00:00:00+00:00,2023-02-28 00:00:00+00:00,210.59,1,3144,TSLA
TSLA_EVT_20230516_000000_47,2023-05-15 00:00:00+00:00,2023-05-16 00:00:00+00:00,165.65,-1,3198,TSLA
TSLA_EVT_20230824_000000_48,2023-08-23 00:00:00+00:00,2023-08-24 00:00:00+00:00,238.66,-1,3267,TSLA
TSLA_EVT_20231110_000000_49,2023-11-09 00:00:00+00:00,2023-11-10 00:00:00+00:00,210.03,-1,3322,TSLA
TSLA_EVT_20240417_000000_50,2024-04-16 00:00:00+00:00,2024-04-17 00:00:00+00:00,157.64,-1,3429,TSLA
TSLA_EVT_20240925_000000_51,2024-09-24 00:00:00+00:00,2024-09-25 00:00:00+00:00,252.54,1,3540,TSLA
TSLA_EVT_20241119_000000_52,2024-11-18 00:00:00+00:00,2024-11-19 00:00:00+00:00,335.76,1,3579,TSLA
