event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
TSM_EVT_20110207_000000_0,2011-02-04 00:00:00+00:00,2011-02-07 00:00:00+00:00,10.1464,1,111,TSM
TSM_EVT_20110623_000000_1,2011-06-22 00:00:00+00:00,2011-06-23 00:00:00+00:00,9.44373,-1,205,TSM
TSM_EVT_20110713_000000_2,2011-07-12 00:00:00+00:00,2011-07-13 00:00:00+00:00,9.58685,-1,218,TSM
TSM_EVT_20111028_000000_3,2011-10-27 00:00:00+00:00,2011-10-28 00:00:00+00:00,9.879,1,294,TSM
TSM_EVT_20120402_000000_4,2012-03-30 00:00:00+00:00,2012-04-02 00:00:00+00:00,11.7533,1,400,TSM
TSM_EVT_20120613_000000_5,2012-06-12 00:00:00+00:00,2012-06-13 00:00:00+00:00,10.5433,-1,450,TSM
TSM_EVT_20120822_000000_6,2012-08-21 00:00:00+00:00,2012-08-22 00:00:00+00:00,11.476,1,499,TSM
TSM_EVT_20121016_000000_7,2012-10-15 00:00:00+00:00,2012-10-16 00:00:00+00:00,12.1491,1,537,TSM
TSM_EVT_20130625_000000_8,2013-06-24 00:00:00+00:00,2013-06-25 00:00:00+00:00,13.6059,-1,708,TSM
TSM_EVT_20130726_000000_9,2013-07-25 00:00:00+00:00,2013-07-26 00:00:00+00:00,13.8438,-1,730,TSM
TSM_EVT_20130808_000000_10,2013-08-07 00:00:00+00:00,2013-08-08 00:00:00+00:00,13.1558,-1,739,TSM
TSM_EVT_20130828_000000_11,2013-08-27 00:00:00+00:00,2013-08-28 00:00:00+00:00,13.0828,-1,753,TSM
TSM_EVT_20140305_000000_12,2014-03-04 00:00:00+00:00,2014-03-05 00:00:00+00:00,14.8308,1,882,TSM
TSM_EVT_20140714_000000_13,2014-07-11 00:00:00+00:00,2014-07-14 00:00:00+00:00,18.5637,1,972,TSM
TSM_EVT_20140806_000000_14,2014-08-05 00:00:00+00:00,2014-08-06 00:00:00+00:00,16.4386,-1,989,TSM
TSM_EVT_20140902_000000_15,2014-08-29 00:00:00+00:00,2014-09-02 00:00:00+00:00,17.3112,1,1007,TSM
TSM_EVT_20141111_000000_16,2014-11-10 00:00:00+00:00,2014-11-11 00:00:00+00:00,18.4325,1,1057,TSM
TSM_EVT_20141204_000000_17,2014-12-03 00:00:00+00:00,2014-12-04 00:00:00+00:00,18.8588,1,1073,TSM
TSM_EVT_20150211_000000_18,2015-02-10 00:00:00+00:00,2015-02-11 00:00:00+00:00,19.6682,1,1119,TSM
TSM_EVT_20160127_000000_19,2016-01-26 00:00:00+00:00,2016-01-27 00:00:00+00:00,18.3377,-1,1360,TSM
TSM_EVT_20160226_000000_20,2016-02-25 00:00:00+00:00,2016-02-26 00:00:00+00:00,20.0038,1,1381,TSM
TSM_EVT_20160309_000000_21,2016-03-08 00:00:00+00:00,2016-03-09 00:00:00+00:00,20.8733,1,1389,TSM
TSM_EVT_20160509_000000_22,2016-05-06 00:00:00+00:00,2016-05-09 00:00:00+00:00,19.758,-1,1431,TSM
TSM_EVT_20160802_000000_23,2016-08-01 00:00:00+00:00,2016-08-02 00:00:00+00:00,24.773,1,1490,TSM
TSM_EVT_20170308_000000_24,2017-03-07 00:00:00+00:00,2017-03-08 00:00:00+00:00,27.3649,1,1640,TSM
TSM_EVT_20170918_000000_25,2017-09-15 00:00:00+00:00,2017-09-18 00:00:00+00:00,33.7834,1,1774,TSM
TSM_EVT_20171027_000000_26,2017-10-26 00:00:00+00:00,2017-10-27 00:00:00+00:00,37.0128,1,1803,TSM
TSM_EVT_20180201_000000_27,2018-01-31 00:00:00+00:00,2018-02-01 00:00:00+00:00,40.4379,1,1868,TSM
TSM_EVT_20180809_000000_28,2018-08-08 00:00:00+00:00,2018-08-09 00:00:00+00:00,38.4855,1,1999,TSM
TSM_EVT_20190220_000000_29,2019-02-19 00:00:00+00:00,2019-02-20 00:00:00+00:00,35.7229,1,2131,TSM
TSM_EVT_20190502_000000_30,2019-05-01 00:00:00+00:00,2019-05-02 00:00:00+00:00,40.2463,1,2181,TSM
TSM_EVT_20190524_000000_31,2019-05-23 00:00:00+00:00,2019-05-24 00:00:00+00:00,35.255,-1,2197,TSM
TSM_EVT_20190925_000000_32,2019-09-24 00:00:00+00:00,2019-09-25 00:00:00+00:00,41.8287,1,2282,TSM
TSM_EVT_20200103_000000_33,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,56.1105,1,2351,TSM
TSM_EVT_20200605_000000_34,2020-06-04 00:00:00+00:00,2020-06-05 00:00:00+00:00,53.19,1,2457,TSM
TSM_EVT_20200624_000000_35,2020-06-23 00:00:00+00:00,2020-06-24 00:00:00+00:00,54.6686,1,2470,TSM
TSM_EVT_20201106_000000_36,2020-11-05 00:00:00+00:00,2020-11-06 00:00:00+00:00,86.9232,1,2565,TSM
TSM_EVT_20201214_000000_37,2020-12-11 00:00:00+00:00,2020-12-14 00:00:00+00:00,100.439,1,2590,TSM
TSM_EVT_20210910_000000_38,2021-09-09 00:00:00+00:00,2021-09-10 00:00:00+00:00,120.178,1,2776,TSM
TSM_EVT_20211011_000000_39,2021-10-08 00:00:00+00:00,2021-10-11 00:00:00+00:00,107.88,-1,2797,TSM
TSM_EVT_20220311_000000_40,2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,103.597,-1,2902,TSM
TSM_EVT_20220404_000000_41,2022-04-01 00:00:00+00:00,2022-04-04 00:00:00+00:00,102.669,-1,2918,TSM
TSM_EVT_20220923_000000_42,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,73.9685,-1,3037,TSM
TSM_EVT_20221031_000000_43,2022-10-28 00:00:00+00:00,2022-10-31 00:00:00+00:00,61.3152,-1,3063,TSM
TSM_EVT_20230918_000000_44,2023-09-15 00:00:00+00:00,2023-09-18 00:00:00+00:00,88.54,-1,3283,TSM
TSM_EVT_20240118_000000_45,2024-01-17 00:00:00+00:00,2024-01-18 00:00:00+00:00,111.2,1,3367,TSM
TSM_EVT_20241017_000000_46,2024-10-16 00:00:00+00:00,2024-10-17 00:00:00+00:00,203.35,1,3556,TSM
TSM_EVT_20250521_000000_47,2025-05-20 00:00:00+00:00,2025-05-21 00:00:00+00:00,193.295,1,3703,TSM
TSM_EVT_20250625_000000_48,2025-06-24 00:00:00+00:00,2025-06-25 00:00:00+00:00,220.8,1,3726,TSM
